Port,,AF00,AF01,AF02,AF03,AF04,AF05,AF06,AF07,AF08,AF09,AF10,AF11,AF12,AF13,AF14,AF15,
,,SYS,TIM1/2,TIM3/4/5,TIM8/9/10/11,I2C1/I2C2/I2C3,SPI1/SPI2/I2S2,SPI3/I2S3,USART1/2/3,UART4/5/USART6,CAN1/CAN2/TIM12/13/14,OTG_FS/OTG_HS,ETH,FSMC/SDIO/OTG_HS,DCMI,,,
PortA,PA0,-,TIM2_CH1_ETR,TIM5_CH1,TIM8_ETR,-,-,-,USART2_CTS,UART4_TX,-,-,ETH_MII_CRS,-,-,-,EVENT OUT,ADC123_IN0
PortA,PA1,-,TIM2_CH2,TIM5_CH2,-,-,-,-,USART2_RTS,UART4_RX,-,-,ETH_MII_RX_CLK/ETH_RMII_REF_CLK,-,-,-,EVENT OUT,ADC123_IN1
PortA,PA2,-,TIM2_CH3,TIM5_CH3,TIM9_CH1,-,-,-,USART2_TX,-,-,-,ETH_MDIO,-,-,-,EVENT OUT,ADC123_IN2
PortA,PA3,-,TIM2_CH4,TIM5_CH4,TIM9_CH2,-,-,-,USART2_RX,-,-,OTG_HS_ULPI_D0,ETH _MII_COL,-,-,-,EVENT OUT,ADC123_IN3
PortA,PA4,-,-,-,-,-,SPI1_NSS,SPI3_NSS/I2S3_WS,USART2_CK,-,-,-,-,OTG_HS_SOF,DCMI_HSYNC,-,EVENT OUT,ADC12_IN4
PortA,PA5,-,TIM2_CH1_ETR,-,TIM8_CH1N,-,SPI1_SCK,-,-,-,-,OTG_HS_ULPI_CK,-,-,-,-,EVENT OUT,ADC12_IN5
PortA,PA6,-,TIM1_BKIN,TIM3_CH1,TIM8_BKIN,-,SPI1_MISO,-,-,-,TIM13_CH1,-,-,-,DCMI_PIXCK,-,EVENT OUT,ADC12_IN6
PortA,PA7,-,TIM1_CH1N,TIM3_CH2,TIM8_CH1N,-,SPI1_MOSI,-,-,-,TIM14_CH1,-,ETH_MII _RX_DV/ETH_RMII_CRS_DV,-,-,-,EVENT OUT,ADC12_IN7
PortA,PA8,MCO_1,TIM1_CH1,-,-,I2C3_SCL,-,-,USART1_CK,-,-,OTG_FS_SOF,-,-,-,-,EVENT OUT,
PortA,PA9,-,TIM1_CH2,-,-,I2C3_SMBA,-,-,USART1_TX,-,-,-,-,-,DCMI_D0,-,EVENT OUT,
PortA,PA10,-,TIM1_CH3,-,-,-,-,-,USART1_RX,-,-,OTG_FS_ID,-,-,DCMI_D1,-,EVENT OUT,
PortA,PA11,-,TIM1_CH4,-,-,-,-,-,USART1_CTS,-,CAN1_RX,OTG_FS_DM,-,-,-,-,EVENT OUT,
PortA,PA12,-,TIM1_ETR,-,-,-,-,-,USART1_RTS,-,CAN1_TX,OTG_FS_DP,-,-,-,-,EVENT OUT,
PortA,PA13,JTMS_SWDIO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT,
PortA,PA14,JTCK_SWCLK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT,
PortA,PA15,JTDI,TIM2_CH1/TIM2_ETR,-,-,-,SPI1_NSS,SPI3_NSS/I2S3_WS,-,-,-,-,-,-,-,-,EVENT OUT,
PortB,PB0,-,TIM1_CH2N,TIM3_CH3,TIM8_CH2N,-,-,-,-,-,-,OTG_HS_ULPI_D1,ETH _MII_RXD2,-,-,-,EVENT OUT,ADC12_IN8
PortB,PB1,-,TIM1_CH3N,TIM3_CH4,TIM8_CH3N,-,-,-,-,-,-,OTG_HS_ULPI_D2,ETH _MII_RXD3,-,-,-,EVENT OUT,ADC12_IN9
PortB,PB2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT,
PortB,PB3,JTDO-SWO,TIM2_CH2,-,-,-,SPI1_SCK,SPI3_SCK/I2S3_SCK,-,-,-,-,-,-,-,-,EVENT OUT,
PortB,PB4,JTRST,-,TIM3_CH1,-,-,SPI1_MISO,SPI3_MISO,-,-,-,-,-,-,-,-,EVENT OUT,
PortB,PB5,-,-,TIM3_CH2,-,I2C1_SMBA,SPI1_MOSI,SPI3_MOSI/I2S3_SD,-,-,CAN2_RX,OTG_HS_ULPI_D7,ETH _PPS_OUT,-,DCMI_D10,-,EVENT OUT,
PortB,PB6,-,-,TIM4_CH1,-,I2C1_SCL,-,-,USART1_TX,-,CAN2_TX,-,-,-,DCMI_D5,-,EVENT OUT,
PortB,PB7,-,-,TIM4_CH2,-,I2C1_SDA,-,-,USART1_RX,-,-,-,-,FSMC_NL,DCMI_VSYNC,-,EVENT OUT,
PortB,PB8,-,-,TIM4_CH3,TIM10_CH1,I2C1_SCL,-,-,-,-,CAN1_RX,-,ETH _MII_TXD3,SDIO_D4,DCMI_D6,-,EVENT OUT,
PortB,PB9,-,-,TIM4_CH4,TIM11_CH1,I2C1_SDA,SPI2_NSS/I2S2_WS,-,-,-,CAN1_TX,-,-,SDIO_D5,DCMI_D7,-,EVENT OUT,
PortB,PB10,-,TIM2_CH3,-,-,I2C2_SCL,SPI2_SCK/I2S2_SCK,-,USART3_TX,-,-,OTG_HS_ULPI_D3,ETH_ MII_RX_ER,-,-,-,EVENT OUT,
PortB,PB11,-,TIM2_CH4,-,-,I2C2_SDA,-,-,USART3_RX,-,-,OTG_HS_ULPI_D4,ETH _MII_TX_EN/ETH_RMII_TX_EN,-,-,-,EVENT OUT,
PortB,PB12,-,TIM1_BKIN,-,-,I2C2_SMBA,SPI2_NSS/I2S2_WS,-,USART3_CK,-,CAN2_RX,OTG_HS_ULPI_D5,ETH _MII_TXD0/ETH _RMII_TXD0,OTG_HS_ID,-,-,EVENT OUT,
PortB,PB13,-,TIM1_CH1N,-,-,-,SPI2_SCK/I2S2_SCK,-,USART3_CTS,-,CAN2_TX,OTG_HS_ULPI_D6,ETH _MII_TXD1/ETH _RMII_TXD1,-,-,-,EVENT OUT,
PortB,PB14,-,TIM1_CH2N,-,TIM8_CH2N,-,SPI2_MISO,-,USART3_RTS,-,TIM12_CH1,-,-,OTG_HS_DM,-,-,EVENT OUT,
PortB,PB15,RTC_50Hz,TIM1_CH3N,-,TIM8_CH3N,-,SPI2_MOSI/I2S2_SD,-,-,-,TIM12_CH2,-,-,OTG_HS_DP,-,-,EVENT OUT,
