# USB multiplexer
USB_D_SEL,P15_0
USB_D_SEL_FB,P15_1

# LEDs
LED_RED,P0_0
LED_GREEN,P6_3
LED_BLUE,P6_0

# User switch
USR_SW,P15_7

# Flash on OSPI0
FLASH_RESET,P3_3
FLASH_CS,P3_2
FLASH_SCLK_P,P3_0
FLASH_SCLK_N,P3_1
FLASH_DQSM,P1_6
FLASH_D0,P2_0
FLASH_D1,P2_1
FLASH_D2,P2_2
FLASH_D3,P2_3
FLASH_D4,P2_4
FLASH_D5,P2_5
FLASH_D6,P2_6
FLASH_D7,P2_7

# Murata 1YN
BT_UART_RX,P1_4
BT_UART_TX,P1_5
BT_UART_CTS,P6_6
BT_UART_RTS,P6_7
BT_REG_ON,P5_7
BT_DEV_WAKE,P9_2
BT_HOST_WAKE,P13_3
WL_REG_ON,P10_4
WL_HOST_WAKE,P11_0
WL_I2S_SDI,P12_0
WL_I2S_SDO,P12_1
WL_I2S_SCLK,P12_2
WL_I2S_WS,P12_3
WL_IRQ,P9_6
WL_MISO,P12_4
WL_MOSI,P12_5
WL_SCLK,P12_6
WL_CS,P12_7

P0,P5_1
P1,P5_0
P2,P5_3
P3,P5_2
P4,P0_5
P5,P0_4
P6,P7_2
P7,P7_3
P8,P1_2
P9,P1_3

# UART buses
UART1_TX,P0_5
UART1_RX,P0_4
UART3_TX,P1_3
UART3_RX,P1_2
UART3_RTS,P7_3
UART3_CTS,P7_2
UART4_TX,P5_1
UART4_RX,P5_0
UART5_TX,P5_3
UART5_RX,P5_2
