Port            ,Pin             ,AF0             ,AF1             ,AF2             ,AF3             ,AF4             ,AF5             ,AF6             ,AF7             ,AF8             ,AF9             ,AF10            ,AF11            ,AF12            ,AF13            ,AF14            ,AF15            ,ADC
PORT1           ,P1_8            ,P1_8            ,TRACE_DATA0     ,FC4_P0          ,FC5_P4          ,CT_INP8         ,SCT0_OUT2       ,FLEXIO0_D16     ,EZH_PIO4        ,PLU_OUT0        ,ENET0_TXD2      ,I3C1_SDA        ,                ,                ,                ,                ,                ,ADC1_A8         
PORT1           ,P1_9            ,P1_9            ,TRACE_DATA1     ,FC4_P1          ,FC5_P5          ,CT_INP9         ,SCT0_OUT3       ,FLEXIO0_D17     ,EZH_PIO5        ,PLU_OUT1        ,ENET0_TXD3      ,I3C1_SCL        ,                ,                ,                ,                ,                ,ADC1_A9         
PORT1           ,P1_10           ,P1_10           ,TRACE_DATA2     ,FC4_P2          ,FC5_P6          ,CT2_MAT0        ,SCT0_IN2        ,FLEXIO0_D18     ,EZH_PIO6        ,PLU_IN0         ,ENET0_TXER      ,                ,CAN0_TXD        ,                ,                ,                ,                ,ADC1_A10        
PORT1           ,P1_11           ,P1_11           ,TRACE_DATA3     ,FC4_P3          ,                ,CT2_MAT1        ,SCT0_IN3        ,FLEXIO0_D19     ,EZH_PIO7        ,PLU_IN1         ,ENET0_RX_CLK    ,I3C1_PUR        ,CAN0_RXD        ,                ,                ,                ,                ,ADC1_A11        
PORT1           ,P1_12           ,P1_12           ,TRACE_CLK       ,FC4_P4          ,FC3_P0          ,CT2_MAT2        ,SCT0_OUT4       ,FLEXIO0_D20     ,EZH_PIO8        ,PLU_OUT2        ,ENET0_RXER      ,                ,CAN1_RXD        ,                ,                ,                ,                ,ADC1_A12        
PORT1           ,P1_13           ,P1_13           ,TRIG_IN3        ,FC4_P5          ,FC3_P1          ,CT2_MAT3        ,SCT0_OUT5       ,FLEXIO0_D21     ,EZH_PIO9        ,PLU_OUT3        ,ENET0_RXDV      ,                ,CAN1_TXD        ,                ,                ,                ,                ,ADC1_A13        
PORT1           ,P1_14           ,P1_14           ,                ,FC4_P6          ,FC3_P2          ,CT_INP10        ,SCT0_IN4        ,FLEXIO0_D22     ,EZH_PIO10       ,PLU_IN2         ,ENET0_RXD0      ,                ,                ,                ,                ,                ,                ,ADC1_A14        
PORT1           ,P1_15           ,P1_15           ,                ,                ,FC3_P3          ,CT_INP11        ,SCT0_IN5        ,FLEXIO0_D23     ,EZH_PIO11       ,PLU_IN3         ,ENET0_RXD1      ,I3C1_PUR        ,                ,                ,                ,                ,                ,ADC1_A15        
PORT1           ,P1_16           ,P1_16           ,                ,FC5_P0          ,FC3_P4          ,CT_INP12        ,SCT0_OUT6       ,FLEXIO0_D24     ,EZH_PIO12       ,PLU_OUT4        ,ENET0_RXD2      ,I3C1_SDA        ,                ,                ,                ,                ,                ,ADC1_A16        
PORT1           ,P1_17           ,P1_17           ,                ,FC5_P1          ,FC3_P5          ,CT_INP13        ,SCT0_OUT7       ,FLEXIO0_D25     ,EZH_PIO13       ,PLU_OUT5        ,ENET0_RXD3      ,I3C1_SCL        ,                ,                ,                ,                ,                ,ADC1_A17        
PORT1           ,P1_18           ,P1_18           ,FREQME_CLK_IN0  ,FC5_P2          ,FC3_P6          ,CT3_MAT0        ,SCT0_IN6        ,FLEXIO0_D26     ,EZH_PIO14       ,PLU_IN4         ,ENET0_COL       ,                ,CAN0_TXD        ,                ,                ,                ,                ,ADC1_A18        
PORT1           ,P1_19           ,P1_19           ,FREQME_CLK_IN1  ,FC5_P3          ,                ,CT3_MAT1        ,SCT0_IN7        ,FLEXIO0_D27     ,EZH_PIO15       ,PLU_IN5         ,ENET0_CRS       ,                ,CAN0_RXD        ,                ,                ,                ,                ,ADC1_A19        
PORT1           ,P1_20           ,P1_20           ,TRIG_IN2        ,FC5_P4          ,FC4_P0          ,CT3_MAT2        ,SCT0_OUT8       ,FLEXIO0_D28     ,EZH_PIO16       ,PLU_OUT6        ,ENET0_MDC       ,                ,CAN1_TXD        ,                ,                ,                ,                ,ADC1_A20        
PORT1           ,P1_21           ,P1_21           ,TRIG_OUT2       ,FC5_P5          ,FC4_P1          ,CT3_MAT3        ,SCT0_OUT9       ,FLEXIO0_D29     ,EZH_PIO17       ,PLU_OUT7        ,ENET0_MDIO      ,SAI1_MCLK       ,CAN1_RXD        ,                ,                ,                ,                ,ADC1_A21        
PORT1           ,P1_22           ,P1_22           ,TRIG_IN3        ,FC5_P6          ,FC4_P2          ,CT_INP14        ,SCT0_OUT4       ,FLEXIO0_D30     ,EZH_PIO18       ,                ,                ,                ,                ,                ,                ,                ,                ,ADC1_A22        
PORT1           ,P1_23           ,P1_23           ,                ,                ,FC4_P3          ,CT_INP15        ,SCT0_OUT5       ,FLEXIO0_D31     ,EZH_PIO19       ,                ,                ,                ,                ,                ,                ,                ,                ,ADC1_A23        
PORT1           ,P1_30           ,P1_30           ,TRIG_OUT3       ,                ,                ,CT_INP16        ,SCT0_OUT8       ,                ,                ,                ,                ,SAI0_MCLK       ,                ,                ,                ,                ,                ,                
PORT1           ,P1_31           ,P1_31           ,TRIG_IN4        ,                ,                ,CT_INP17        ,SCT0_OUT9       ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                
PORT2           ,P2_0            ,P2_0            ,TRIG_IN5        ,FC9_P6          ,uSDHC0_DATA5    ,SCT0_IN0        ,PWM1_A3         ,FLEXIO0_D8      ,EZH_PIO20       ,FLEXSPI0_B_SS1_b,                ,SAI0_RX_BCLK    ,ESPI0_RST       ,                ,                ,                ,                ,                
PORT2           ,P2_1            ,P2_1            ,TRACE_CLK       ,                ,uSDHC0_DATA4    ,SCT0_IN1        ,PWM1_B3         ,FLEXIO0_D9      ,EZH_PIO21       ,FLEXSPI0_B_DQS  ,SINC0_MCLK_OUT0 ,SAI0_RX_FS      ,ESPI0_NOTIFY    ,                ,                ,                ,                ,                
PORT2           ,P2_2            ,P2_2            ,CLKOUT          ,FC9_P3          ,uSDHC0_DATA1    ,SCT0_OUT0       ,PWM1_A2         ,FLEXIO0_D10     ,EZH_PIO22       ,FLEXSPI0_B_SS0_b,SINC0_MCLK0     ,SAI0_TXD0       ,ESPI0_CSn       ,                ,                ,                ,                ,                
PORT2           ,P2_3            ,P2_3            ,                ,FC9_P1          ,uSDHC0_DATA0    ,SCT0_OUT1       ,PWM1_B2         ,FLEXIO0_D11     ,EZH_PIO23       ,FLEXSPI0_B_SCLK ,SINC0_MBIT0     ,SAI0_RXD0       ,ESPI0_CLK       ,                ,                ,                ,                ,                
PORT2           ,P2_4            ,P2_4            ,                ,FC9_P0          ,uSDHC0_CLK      ,SCT0_OUT2       ,PWM1_A1         ,FLEXIO0_D12     ,EZH_PIO24       ,FLEXSPI0_B_DATA0,SINC0_MCLK1     ,SAI0_RXD1       ,ESPI0_DATA0     ,                ,                ,                ,                ,                
PORT2           ,P2_5            ,P2_5            ,TRIG_OUT3       ,FC9_P2          ,uSDHC0_CMD      ,SCT0_OUT3       ,PWM1_B1         ,FLEXIO0_D13     ,EZH_PIO25       ,FLEXSPI0_B_DATA1,SINC0_MBIT1     ,SAI0_TXD1       ,ESPI0_DATA1     ,                ,                ,                ,                ,                
