# phyBOARD-RT1170 Development Kit Pin Mapping
# phyCORE-i.MX RT1170 SoM + PBA-C-26 Carrier Board

# LEDs - phyCORE SoM onboard (active low)
LED_SOM_RED,GPIO_LPSR_07
LED_SOM_GREEN,GPIO_LPSR_08

# LEDs - Carrier board RGB LEDs (active low)
LED_CARRIER_RED,GPIO_AD_14
LED_CARRIER_GREEN,GPIO_LPSR_13

# Buttons
USER_BUTTON,GPIO_AD_35
POWER_BUTTON,GPIO_LPSR_04
WAKE_BUTTON,GPIO_LPSR_03
RESET_BUTTON,GPIO_LPSR_02

# Primary UART interfaces
UART1_TX,GPIO_AD_24
UART1_RX,GPIO_AD_25

# Additional UART interfaces (Carrier board)
UART2_TX,GPIO_DISP_B2_10
UART2_RX,GPIO_DISP_B2_11
UART2_CTS,GPIO_DISP_B2_13
UART2_RTS,GPIO_DISP_B2_12

UART5_TX,GPIO_AD_28
UART5_RX,GPIO_AD_29

UART6_TX,GPIO_EMC_B1_40
UART6_RX,GPIO_EMC_B1_41

UART7_TX,GPIO_DISP_B2_06
UART7_RX,GPIO_DISP_B2_07

UART8_TX_RS232,GPIO_AD_02
UART8_RX_RS232,GPIO_AD_03
UART8_CTS,GPIO_AD_04
UART8_RTS,GPIO_AD_05

# I2C interfaces
I2C1_SCL,GPIO_AD_32
I2C1_SDA,GPIO_AD_33

I2C2_SCL,GPIO_AD_18
I2C2_SDA,GPIO_AD_19

I2C3_SCL,GPIO_DISP_B2_10
I2C3_SDA,GPIO_DISP_B2_11

I2C5_SCL,GPIO_LPSR_09
I2C5_SDA,GPIO_LPSR_08

# SPI interface
SPI1_SCK,GPIO_AD_28
SPI1_CS,GPIO_AD_29

# Display interface (MIPI-DSI)
MIPI_DSI_DP0,GPIO_DISP_B1_02
MIPI_DSI_DN0,GPIO_DISP_B1_03
MIPI_DSI_DP1,GPIO_DISP_B1_00
MIPI_DSI_DN1,GPIO_DISP_B1_01
MIPI_DSI_CKP,GPIO_DISP_B1_05
MIPI_DSI_CKN,GPIO_DISP_B1_04

# Display control pins
LCD_RST_B,GPIO_DISP_B2_14
LCD_PWR_EN,GPIO_AD_26
LCD_BACKLIGHT_CTL,GPIO_AD_27
CTP_INT,GPIO_AD_26
CTP_RST_B,GPIO_DISP_B2_15

# Camera interface (MIPI-CSI) - on SoM connector (via pin definitions)
# Note: MIPI-CSI differential pairs are on SoM - reference schematic for pin assignments

# Accelerometer (ICM-40627 on LPI2C2)
ACCEL_INT1,GPIO_AD_26
ACCEL_INT2,GPIO_AD_27

# Audio codec (TLV320AIC3110 on LPI2C5 and SAI1)
SAI1_TX_BCLK,GPIO_AD_22
SAI1_TX_SYNC,GPIO_AD_23
SAI1_TX_DATA,GPIO_AD_21
SAI1_RX_DATA,GPIO_AD_20
SAI1_MCLK,GPIO_AD_17

# CAN interface (CAN3)
CAN3_TX,GPIO_LPSR_00
CAN3_RX,GPIO_LPSR_01

# SD Card interface (USDHC1)
SD1_CLK,GPIO_SD_B1_01
SD1_CMD,GPIO_SD_B1_00
SD1_DATA0,GPIO_SD_B1_02
SD1_DATA1,GPIO_SD_B1_03
SD1_DATA2,GPIO_SD_B1_04
SD1_DATA3,GPIO_SD_B1_05

# Basic ADC channels
ADC1_CH0,GPIO_AD_00
ADC1_CH1,GPIO_AD_01
ADC1_CH2,GPIO_AD_02
ADC1_CH3,GPIO_AD_03

# GPIO expansion connector
GPIO_CONN_16,GPIO_AD_16
GPIO_CONN_17,GPIO_AD_17
GPIO_CONN_18,GPIO_AD_18
GPIO_CONN_19,GPIO_AD_19
GPIO_CONN_20,GPIO_AD_20
GPIO_CONN_21,GPIO_AD_21
GPIO_CONN_22,GPIO_AD_22
GPIO_CONN_23,GPIO_AD_23
GPIO_CONN_26,GPIO_AD_26
GPIO_CONN_27,GPIO_AD_27
GPIO_CONN_LPSR_09,GPIO_LPSR_09
GPIO_CONN_LPSR_10,GPIO_LPSR_10
GPIO_CONN_LPSR_11,GPIO_LPSR_11
GPIO_CONN_LPSR_12,GPIO_LPSR_12

# JTAG interface
JTAG_TCK,GPIO_LPSR_14
JTAG_TMS,GPIO_LPSR_15
JTAG_TDI,GPIO_LPSR_12
JTAG_TDO,GPIO_LPSR_11
JTAG_nTRST,GPIO_LPSR_10
