P0_01,P1
P0_02,P2
AIN0,P2
P0_03,P3
P0_04,P4
AIN2,P4
P0_05,P5
V_BAT,P4
P0_06,P6
UART1_TX,P6
P0_07,P7
P0_08,P8
UART1_RX,P8
P0_09,P9
NFC1,P9
NFC2,P10
SPI0_MOSI,P10
P0_10,P10
P0_11,P11
P0_12,P12
VCC_OFF,P13
P0_13,P13
P0_14,P14
LED,P15
P0_15,P15
P0_16,P16
I2C_SDA,P17
P0_17,P17
P0_18,P18
P0_19,P19
I2C_SCL,P20
P0_20,P20
P0_21,P21
P0_22,P22
P0_23,P23
P0_24,P24
P0_25,P25
P0_26,P26
P0_27,P27
P0_28,P28
P0_29,P29
AIN5,P29
P0_30,P30
AIN7,P31
P0_31,P31
P1_00,P32
P1_01,P33
P1_02,P34
P1_04,P35
P1_06,P38
P1_07,P39
P1_08,P40
P1_09,P41
P1_10,P42
P1_11,P43
SPI0_MISO,P43
SPI0_SCK,P45
P1_13,P45
P1_15,P47
