Port  ,Pin  ,AF0                      ,AF1                                 ,AF2                                   ,AF3               ,AF4             ,AF5              ,AF6              ,AF7              ,AF8           ,AF9          ,AF10               ,AF11               ,AF12,AF13         ,AF14                      ,AF15
Port0 ,P0_0 ,SMIF1_SMIF0_SPIHB_SELECT1,TCPWM0_LINE0                        ,TCPWM0_LINE256,                       ,                  ,SCB3_SPI_SELECT0,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,
Port0 ,P0_1 ,SMIF1_SMIF0_SPIHB_SELECT2,TCPWM0_LINE_COMPL0                  ,TCPWM0_LINE_COMPL256                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,                             
Port1 ,P1_0 ,                         ,SMIF0_SPIHB_DATA0_TCPWM0_LINE1      ,SMIF0_SPIHB_DATA0_TCPWM0_LINE257      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,
Port1 ,P1_1 ,                         ,SMIF0_SPIHB_DATA1_TCPWM0_LINE_COMPL1,SMIF0_SPIHB_DATA1_TCPWM0_LINE_COMPL257,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,
Port1 ,P1_2 ,                         ,SMIF0_SPIHB_DATA2_TCPWM0_LINE2,     ,SMIF0_SPIHB_DATA2_TCPWM0_LINE258      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,
Port1 ,P1_3 ,                         ,SMIF0_SPIHB_DATA3_TCPWM0_LINE_COMPL2,SMIF0_SPIHB_DATA3_TCPWM0_LINE_COMPL258,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,
Port1 ,P1_4 ,                         ,SMIF0_SPIHB_DATA4_TCPWM0_LINE3      ,SMIF0_SPIHB_DATA4_TCPWM0_LINE259      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,   
Port1 ,P1_5 ,                         ,SMIF0_SPIHB_DATA5_TCPWM0_LINE_COMPL3,SMIF0_SPIHB_DATA5_TCPWM0_LINE_COMPL259,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,
Port1 ,P1_6 ,                         ,SMIF0_SPIHB_DATA6_TCPWM0_LINE4,     ,SMIF0_SPIHB_DATA6_TCPWM0_LINE260      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,
Port1 ,P1_7 ,                         ,SMIF0_SPIHB_DATA7_TCPWM0_LINE_COMPL4,SMIF0_SPIHB_DATA7_TCPWM0_LINE_COMPL260,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,
Port2 ,P2_0 ,SMIF0_SMIF0_SPIHB_SELECT1,TCPWM0_LINE5                        ,TCPWM0_LINE261                        ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,
Port3 ,P3_0 ,                         ,TCPWM0_LINE_COMPL5                  ,TCPWM0_LINE_COMPL261                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,SDHC1_CARD_MECH_WRITE_PROT,I3C_I3C_SCL 
Port3 ,P3_1 ,                         ,TCPWM0_LINE6                        ,TCPWM0_LINE262                        ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,I3C_I3C_SDA 
Port4 ,P4_0 ,                         ,SMIF1_SPIHB_DATA0_TCPWM0_LINE_COMPL6,SMIF1_SPIHB_DATA0_TCPWM0_LINE_COMPL262,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port4 ,P4_1 ,                         ,SMIF1_SPIHB_DATA1_TCPWM0_LINE7      ,SMIF1_SPIHB_DATA1_TCPWM0_LINE263      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port4 ,P4_2 ,                         ,SMIF1_SPIHB_DATA2_TCPWM0_LINE_COMPL7,SMIF1_SPIHB_DATA2_TCPWM0_LINE_COMPL263,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port4 ,P4_3 ,                         ,SMIF1_SPIHB_DATA3_TCPWM0_LINE0      ,SMIF1_SPIHB_DATA3_TCPWM0_LINE264      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SMIF1_SPIHB_DATA3_DEBUG600_TRACE_CLOCK 
Port4 ,P4_4 ,                         ,SMIF1_SPIHB_DATA4_TCPWM0_LINE_COMPL0,SMIF1_SPIHB_DATA4_TCPWM0_LINE_COMPL264,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SMIF1_SPIHB_DATA4_DEBUG600_TRACE_DATA0 
Port4 ,P4_5 ,                         ,SMIF1_SPIHB_DATA5_TCPWM0_LINE1      ,SMIF1_SPIHB_DATA5_TCPWM0_LINE265      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SMIF1_SPIHB_DATA5_DEBUG600_TRACE_DATA1 
Port4 ,P4_6 ,                         ,SMIF1_SPIHB_DATA6_TCPWM0_LINE_COMPL1,SMIF1_SPIHB_DATA6_TCPWM0_LINE_COMPL265,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SMIF1_SPIHB_DATA6_DEBUG600_TRACE_DATA2 
Port4 ,P4_7 ,                         ,SMIF1_SPIHB_DATA7_TCPWM0_LINE2      ,SMIF1_SPIHB_DATA7_TCPWM0_LINE266      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SMIF1_SPIHB_DATA7_DEBUG600_TRACE_DATA3 
Port5 ,P5_0 ,SMIF0_SMIF0_SPIHB_SELECT0,TCPWM0_LINE_COMPL2                  ,TCPWM0_LINE_COMPL266                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port6 ,P6_0 ,                         ,TCPWM0_LINE3                        ,TCPWM0_LINE267                        ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,SDHC1_CARD_MECH_WRITE_PROT, 
Port6 ,P6_1 ,                         ,TCPWM0_LINE_COMPL3                  ,TCPWM0_LINE_COMPL267                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC1_LED_CTRL 
Port6 ,P6_2 ,                         ,TCPWM0_LINE4                        ,TCPWM0_LINE268                        ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC1_CARD_IF_PWR_EN 
Port6 ,P6_3 ,                         ,TCPWM0_LINE_COMPL4                  ,TCPWM0_LINE_COMPL268                  ,                  ,                ,                 ,SCB2_SPI_SELECT1 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port6 ,P6_4 ,                         ,TCPWM0_LINE5                        ,TCPWM0_LINE269                        ,                  ,                ,                 ,SCB2_SPI_MISO    ,                 ,SCB2_UART_CTS ,             ,                   ,                   ,    ,             ,                          ,SDHC1_CARD_DAT_7TO40 
Port6 ,P6_5 ,                         ,TCPWM0_LINE_COMPL5                  ,TCPWM0_LINE_COMPL269                  ,                  ,                ,                 ,SCB2_SPI_CLK     ,SCB2_I2C_SCL     ,SCB2_UART_RX  ,             ,                   ,                   ,    ,             ,                          ,SDHC1_CARD_DAT_7TO41 
Port6 ,P6_6 ,                         ,TCPWM0_LINE6                        ,TCPWM0_LINE270                        ,                  ,                ,                 ,SCB2_SPI_SELECT0 ,                 ,SCB2_UART_RTS ,             ,                   ,                   ,    ,             ,                          ,SDHC1_CARD_DAT_7TO42 
Port6 ,P6_7 ,SMIF0_SMIF0_SPIHB_SELECT2,TCPWM0_LINE_COMPL6                  ,TCPWM0_LINE_COMPL270                  ,                  ,                ,                 ,SCB2_SPI_MOSI    ,SCB2_I2C_SDA     ,SCB2_UART_TX  ,             ,                   ,                   ,    ,             ,                          ,SDHC1_CARD_DAT_7TO43 
Port7 ,P7_0 ,SMIF0_SMIF0_SPIHB_SELECT3,TCPWM0_LINE7                        ,TCPWM0_LINE271                        ,M33SYSCPUSS_FAULT0,                ,                 ,                 ,                 ,              ,             ,PERI0_TR_IO_OUTPUT0,PERI1_TR_IO_OUTPUT0,    ,             ,                          ,SDHC1_CARD_CMD    
Port7 ,P7_1 ,                         ,TCPWM0_LINE_COMPL7                  ,TCPWM0_LINE_COMPL271                  ,M33SYSCPUSS_FAULT1,                ,                 ,                 ,                 ,              ,             ,PERI0_TR_IO_OUTPUT1,PERI1_TR_IO_OUTPUT1,    ,             ,                          ,SDHC1_CLK_CARD 
Port7 ,P7_2 ,                         ,TCPWM0_LINE0                        ,TCPWM0_LINE272                        ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC1_CARD_EMMC_RESET_N 
Port7 ,P7_3 ,                         ,TCPWM0_LINE_COMPL0                  ,TCPWM0_LINE_COMPL272                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC1_CARD_DAT_3TO00 
Port7 ,P7_4 ,                         ,TCPWM0_LINE1                        ,TCPWM0_LINE273                        ,                  ,SRSS_EXT_CLK    ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC1_CARD_DETECT_N 
Port7 ,P7_5 ,                         ,TCPWM0_LINE_COMPL1                  ,TCPWM0_LINE_COMPL273                  ,                  ,                ,                 ,                 ,                 ,              ,             ,PERI0_TR_IO_INPUT4 ,PERI1_TR_IO_INPUT4 ,    ,             ,                          ,SDHC1_CARD_DAT_3TO01 
Port7 ,P7_6 ,                         ,TCPWM0_LINE2                        ,TCPWM0_LINE274                        ,                  ,                ,                 ,                 ,                 ,              ,             ,PERI0_TR_IO_INPUT5 ,PERI1_TR_IO_INPUT5 ,    ,             ,                          ,SDHC1_CARD_DAT_3TO02 
Port7 ,P7_7 ,                         ,TCPWM0_LINE_COMPL2                  ,TCPWM0_LINE_COMPL274                  ,                  ,                ,                 ,                 ,                 ,              ,             ,PERI0_TR_IO_INPUT6 ,PERI1_TR_IO_INPUT6 ,    ,             ,                          ,SDHC1_CARD_DAT_3TO03 
Port8 ,P8_0 ,                         ,TCPWM0_LINE3                        ,TCPWM0_LINE275                        ,                  ,                ,                 ,                 ,                 ,              ,             ,PERI0_TR_IO_INPUT7 ,PERI1_TR_IO_INPUT7 ,    ,             ,                          , 
Port8 ,P8_1 ,                         ,TCPWM0_LINE_COMPL3                  ,TCPWM0_LINE_COMPL275                  ,                  ,                ,                 ,                 ,                 ,              ,PDM_PDM_CLK2 ,                   ,                   ,    ,             ,                          , 
Port8 ,P8_2 ,                         ,TCPWM0_LINE4                        ,TCPWM0_LINE276                        ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port8 ,P8_3 ,                         ,TCPWM0_LINE_COMPL4                  ,TCPWM0_LINE_COMPL276                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port8 ,P8_4 ,                         ,TCPWM0_LINE5                        ,TCPWM0_LINE277                        ,                  ,                ,                 ,                 ,                 ,              ,PDM_PDM_DATA2,                   ,                   ,    ,             ,                          , 
Port8 ,P8_5 ,                         ,TCPWM0_LINE_COMPL5                  ,TCPWM0_LINE_COMPL277                  ,                  ,                ,                 ,                 ,                 ,              ,PDM_PDM_CLK3 ,                   ,                   ,    ,             ,                          , 
Port8 ,P8_6 ,                         ,TCPWM0_LINE6                        ,TCPWM0_LINE278                        ,                  ,                ,                 ,                 ,                 ,              ,PDM_PDM_DATA3,                   ,                   ,    ,             ,                          , 
Port8 ,P8_7 ,                         ,TCPWM0_LINE_COMPL6                  ,TCPWM0_LINE_COMPL278                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port9 ,P9_0 ,                         ,TCPWM0_LINE7                        ,TCPWM0_LINE_COMPL279                  ,                  ,                ,                 ,SCB1_SPI_SELECT0 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port9 ,P9_1 ,                         ,TCPWM0_LINE0                        ,TCPWM0_LINE_COMPL256                  ,                  ,                ,                 ,SCB1_SPI_MISO    ,                 ,SCB1_UART_CTS ,PDM_PDM_DATA5,                   ,                   ,    ,             ,                          , 
Port9 ,P9_2 ,                         ,TCPWM0_LINE_COMPL7                  ,TCPWM0_LINE279                        ,                  ,                ,                 ,SCB1_SPI_MOSI    ,SCB1_I2C_SDA     ,SCB1_UART_TX  ,PDM_PDM_CLK4 ,                   ,                   ,    ,             ,                          , 
Port9 ,P9_3 ,                         ,TCPWM0_LINE_COMPL0                  ,TCPWM0_LINE256                        ,                  ,                ,                 ,SCB1_SPI_CLK     ,SCB1_I2C_SCL     ,SCB1_UART_RX  ,PDM_PDM_DATA4,                   ,                   ,    ,             ,                          , 
Port10,P10_0,                         ,TCPWM0_LINE1                        ,TCPWM0_LINE257                        ,M33SYSCPUSS_FAULT0,                ,                 ,                 ,SCB4_I2C_SCL     ,SCB4_UART_RX  ,             ,                   ,                   ,    ,             ,                          ,ETH_TXD3
