"Name","Pin","Function","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"ANT","30","RADIO0_ANT","","","","","",""
"AVCC0","35","ANALOG0_AVCC0","","","","","",""
"AVDDRF","39","RADIO0_AVDDRF","","","","","",""
"AVSS0","36","ANALOG0_AVSS0","","","","","",""
"FBIN","45","RADIO0_FBIN","","","","","",""
"LX","41","RADIO0_LX","","","","","",""
"P004","40","","","","Disabled","","","ADC0: AN04
ICU0: IRQ03
OPAMP2: AMPO"
"P010","38","","","","Disabled","","","ADC0: AN05
CTSU0: TS30
ICU0: IRQ14
OPAMP2: AMP-"
"P011","37","","","","Disabled","","","ADC0: AN06
CTSU0: TS31
ICU0: IRQ15
OPAMP2: AMP+"
"P014","32","","","","Disabled","","","ADC0: AN09
DAC0: DA"
"P015","31","","","","Disabled","","","ADC0: AN10
CTSU0: TS28
ICU0: IRQ07"
"P100","27","SPI0_MISO","Low","None","Peripheral mode","CMOS","None","ACMPLP0: CMPIN
AGT0: AGTIO
BUS_ASYNCH0: D00
GPT_POEG0: GTETRG
GPT5: GTIOCB
ICU0: IRQ02
IIC1: SCL
KINT0: KRM0
SCI0: RXD
SCI0: SCL
SCI1: SCK
SLCDC0: VL1
SPI0: MISO"
"P101","26","SPI0_MOSI","Low","None","Peripheral mode","CMOS","None","ACMPLP0: CMPREF
AGT0: AGTEE
BUS_ASYNCH0: D01
GPT_POEG1: GTETRG
GPT5: GTIOCA
ICU0: IRQ01
IIC1: SDA
KINT0: KRM1
SCI0: SDA
SCI0: TXD
SCI1: CTS
SLCDC0: VL2
SPI0: MOSI"
"P102","25","SPI0_RSPCK","Low","","Peripheral mode","CMOS","None","ACMPLP1: CMPIN
ADC0: ADTRG
ADC0: AN20
AGT0: AGTO
BUS_ASYNCH0: D02
CAN0: CRX
GPT_OPS0: GTOWLO
GPT2: GTIOCB
KINT0: KRM2
SCI0: SCK
SLCDC0: VL3
SPI0: RSPCK"
"P103","24","GPIO","Low","","Output mode (Initial High)","CMOS","","ACMPLP1: CMPREF
ADC0: AN19
BUS_ASYNCH0: D03
CAN0: CTX
GPT_OPS0: GTOWUP
GPT2: GTIOCA
KINT0: KRM3
SCI0: CTS
SLCDC0: VL4
SPI0: SSL0"
"P104","23","","","","Disabled","","","BUS_ASYNCH0: D04
CTSU0: TS13
GPT_POEG1: GTETRG
GPT1: GTIOCB
ICU0: IRQ01
KINT0: KRM4
SCI0: RXD
SCI0: SCL
SLCDC0: COM0
SPI0: SSL1"
"P105","22","","","","Disabled","","","BUS_ASYNCH0: D05
CTSU0: TS34
GPT_POEG0: GTETRG
GPT1: GTIOCA
ICU0: IRQ00
KINT0: KRM5
SLCDC0: COM1
SPI0: SSL2"
"P106","21","GPIO","Low","","Output mode (Initial High)","CMOS","","BUS_ASYNCH0: D06
GPT8: GTIOCB
KINT0: KRM6
SLCDC0: COM2
SPI0: SSL3"
"P107","20","","","","Disabled","","","BUS_ASYNCH0: D07
GPT8: GTIOCA
KINT0: KRM7
SLCDC0: COM3"
"P108","14","","","","Disabled","","","DEBUG0: SWDIO
DEBUG0: TMS
GPT_OPS0: GTOULO
GPT0: GTIOCB
SCI9: CTS
SPI1: SSL0"
"P109","15","SCI9_TXD","Low","","Peripheral mode","CMOS","None","CAN0: CTX
CGC0: CLKOUT
CTSU0: TS10
DEBUG0: TDO
DEBUG0: TRACESWO
GPT_OPS0: GTOVUP
GPT1: GTIOCA
SCI1: SCK
SCI9: SDA
SCI9: TXD
SLCDC0: SEG52
SPI1: MOSI"
"P110","16","SCI9_RXD","Low","None","Peripheral mode","CMOS","None","ACMP(0-1): VCOUT
CAN0: CRX
DEBUG0: TDI
GPT_OPS0: GTOVLO
GPT1: GTIOCB
ICU0: IRQ03
SCI9: RXD
SCI9: SCL
SLCDC0: SEG53
SPI1: MISO"
"P111","17","GPIO","Low","None","Output mode (Initial High)","CMOS","","BUS_ASYNCH0: A05
CTSU0: TS12
GPT3: GTIOCA
ICU0: IRQ04
SCI9: SCK
SLCDC0: CAPH
SPI1: RSPCK"
"P200","12","","","","Disabled","","","ICU0: NMI"
"P201","11","","","","Disabled","","","SYSTEM0: MD
SYSTEM0: VCC
SYSTEM0: VCC
SYSTEM0: VCC
SYSTEM0: VCC
SYSTEM0: VCC
SYSTEM0: VCC
SYSTEM0: VCC"
"P204","9","GPIO","Low","","Output mode (Initial High)","CMOS","","AGT1: AGTIO
BUS_ASYNCH0: A18
CAC0: CACREF
CTSU0: TS00
GPT_OPS0: GTIW
GPT4: GTIOCB
IIC0: SCL
SCI4: SCK
SCI9: SCK
SDHI0: DAT4
SLCDC0: SEG23
SPI1: RSPCK
USB_FS0: OVRCURB"
