P000,P000
P012,P012
P013,P013
P014,P014
P100,P100
P101,P101
P102,P102
P103,P103
P107,P107
P108,P108
P109,P109
P110,P110
P112,P112
P201,P201
P205,P205
P206,P206
P300,P300
P301,P301
P302,P302
P304,P304
P400,P400
P401,P401
P402,P402
P407,P407
P408,P408
P409,P409
P410,P410
P411,P411
P501,P501
P502,P502
P914,P914
P915,P915
MBAN,P000
GPIOHD10,P012
GPIOHD9,P013
GPIOHD8,P014
MBMISO,P100
MBMOSI,P101
MBSCK,P102
MBSSL,P103
MBPWM,P107
SWDIO,P108
SWO,P109
TDI,P110
TSCAP,P112
MD,P201
MBSCLI,P205
MBSDA1,P206
SWCLK,P300
SW2,P301
MBINT,P302
SW1,P304
GPIOHD5,P400
GPIOHD4,P401
GPIOHD3,P402
MBRST,P407
LED2,P408
LED1,P409
MBRX0,P410
MBTX0,P411
GPIOHD7,P501
GPIOHD6,P502
USBDP,P914
USBDM,P915

