"Name","Pin","Function","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"AVCC0","56","ADC_AVCC0","","","","","",""
"AVSS0","57","ADC_AVSS0","","","","","",""
"P000","64","","","","Disabled","","","ADC0: AN00
CTSU0: TS21
IRQ0: IRQ06
OPAMP0: AMP+"
"P001","63","","","","Disabled","","","ADC0: AN01
CTSU0: TS22
IRQ0: IRQ07
OPAMP0: AMP-"
"P002","62","","","","Disabled","","","ADC0: AN02
IRQ0: IRQ02
OPAMP0: AMPO"
"P003","61","","","","Disabled","","","ADC0: AN03
OPAMP1: AMPO"
"P004","60","","","","Disabled","","","ADC0: AN04
IRQ0: IRQ03
OPAMP2: AMPO"
"P010","59","","","","Disabled","","","ADC: VREFH0
ADC0: AN05
CTSU0: TS30
OPAMP2: AMP-"
"P011","58","","","","Disabled","","","ADC: VREFL0
ADC0: AN06
CTSU0: TS31
IRQ0: IRQ15
OPAMP2: AMP+"
"P012","55","","","","Disabled","","","ADC: VREFH
ADC0: AN07
OPAMP1: AMP-"
"P013","54","","","","Disabled","","","ADC: VREFL
ADC0: AN08
OPAMP1: AMP+"
"P014","53","","","","Disabled","","","ADC0: AN09
DAC120: DA"
"P015","52","","","","Disabled","","","ADC0: AN10
CTSU0: TS28
IRQ0: IRQ07"
"P100","48","SPI0_MISO","Low","None","Peripheral mode","CMOS","None","ADC0: AN22
AGT0: AGTIO
CMP0: CMPIN0
GPT5: GTIOCB
IIC1: SCL
IRQ0: IRQ02
KINT0: KRM0
POEG0: GTETRG
SCI0: RXD_MISO
SCI0: SCL
SCI1: SCK
SLCDC0: VL1
SPI0: MISO"
"P101","47","SPI0_MOSI","Low","None","Peripheral mode","CMOS","None","ADC0: AN21
AGT0: AGTEE
CMP0: CMPREF0
GPT5: GTIOCA
IIC1: SDA
IRQ0: IRQ01
KINT0: KRM1
POEG1: GTETRG
SCI0: SDA
SCI0: TXD_MOSI
SCI1: CTS_RTS_SS
SLCDC0: VL2
SPI0: MOSI"
"P102","46","SPI0_RSPCK","Low","","Peripheral mode","CMOS","None","ADC0: ADTRG
ADC0: AN20
AGT0: AGTO
CAN0: CRX
CMP0: CMPIN1
GPT2: GTIOCB
KINT0: KRM2
OPS0: GTOWLO
SCI0: SCK
SCI2: SDA
SCI2: TXD_MOSI
SLCDC0: VL3
SPI0: RSPCK"
"P103","45","","","","Disabled","","","ADC0: AN19
CAN0: CTX
CMP0: CMPREF1
GPT2: GTIOCA
KINT0: KRM3
OPS0: GTOWUP
SCI0: CTS_RTS_SS
SLCDC0: VL4
SPI0: SSL0"
