"Name","Pin","Function","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"AVCC0","88","ANALOG0_AVCC0","","","","","",""
"AVSS0","89","ANALOG0_AVSS0","","","","","",""
"P000","100","","","","Disabled","","","ACMPHS0: IVCMP
ADC0: AN00
ICU0: IRQ06"
"P001","99","","","","Disabled","","","ACMPHS1: IVCMP
ADC0: AN01
ICU0: IRQ07"
"P002","98","","","","Disabled","","","ACMPHS2: IVCMP
ADC0: AN02
ICU0: IRQ08"
"P003","97","","","","Disabled","","","ADC0: AN07"
"P004","96","ADC1_AN00","","","Analog mode","","","ACMPHS3: IVCMP
ADC1: AN00
ICU0: IRQ09"
"P005","95","","","","Disabled","","","ACMPHS4: IVCMP
ADC1: AN01
ICU0: IRQ10"
"P006","94","","","","Disabled","","","ACMPHS5: IVCMP
ADC1: AN02
ICU0: IRQ11"
"P007","93","","","","Disabled","","","ADC1: AN07"
"P008","92","","","","Disabled","","","ADC0: AN03
ICU0: IRQ12"
"P014","85","","","","Disabled","","","ACMPHS0: IVREF
ACMPHS1: IVREF
ACMPHS2: IVREF
ACMPHS3: IVREF
ACMPHS4: IVREF
ACMPHS5: IVREF
ADC0: AN05
ADC1: AN05
DAC0: DA"
"P015","84","","","","Disabled","","","ACMPHS0: IVCMP
ACMPHS1: IVCMP
ACMPHS2: IVCMP
ACMPHS3: IVCMP
ACMPHS4: IVCMP
ACMPHS5: IVCMP
ADC0: AN06
ADC1: AN06
DAC1: DA
ICU0: IRQ13"
"P100","75","SPI0_MISO","Low","None","Peripheral mode","CMOS","None","AGT0: AGTIO
BUS_ASYNCH0: D00
GPT_POEG0: GTETRG
GPT5: GTIOCB
ICU0: IRQ02
IIC1: SCL
KINT0: KRM0
SCI0: RXD
SCI0: SCL
SCI1: SCK
SPI0: MISO"
"P101","74","SPI0_MOSI","Low","None","Peripheral mode","CMOS","None","AGT0: AGTEE
BUS_ASYNCH0: D01
GPT_POEG1: GTETRG
GPT5: GTIOCA
ICU0: IRQ01
IIC1: SDA
KINT0: KRM1
SCI0: SDA
SCI0: TXD
SCI1: CTS
SPI0: MOSI"
"P102","73","SPI0_RSPCK","Low","","Peripheral mode","CMOS","None","ADC0: ADTRG
AGT0: AGTO
BUS_ASYNCH0: D02
CAN0: CRX
GPT_OPS0: GTOWLO
GPT2: GTIOCB
KINT0: KRM2
SCI0: SCK
SPI0: RSPCK"
"P103","72","SPI0_SSL0","Low","","Peripheral mode","CMOS","None","BUS_ASYNCH0: D03
CAN0: CTX
GPT_OPS0: GTOWUP
GPT2: GTIOCA
KINT0: KRM3
SCI0: CTS
SPI0: SSL0"
"P104","71","SCI8_RXD","Low","None","Peripheral mode","CMOS","None","BUS_ASYNCH0: D04
GPT_POEG1: GTETRG
GPT1: GTIOCB
ICU0: IRQ01
KINT0: KRM4
QSPI0: QIO0
SCI8: RXD
SCI8: SCL
SPI0: SSL1"
"P105","70","SCI8_TXD","Low","None","Peripheral mode","CMOS","None","BUS_ASYNCH0: D05
GPT_POEG0: GTETRG
GPT1: GTIOCA
ICU0: IRQ00
KINT0: KRM5
QSPI0: QIO1
SCI8: SDA
SCI8: TXD
SPI0: SSL2"
"P106","69","GPIO","Low","","Output mode (Initial Low)","CMOS","","AGT0: AGTOB
BUS_ASYNCH0: D06
GPT8: GTIOCB
KINT0: KRM6
QSPI0: QIO2
SCI8: SCK
SPI0: SSL3"
"P107","68","GPIO","Low","","Output mode (Initial Low)","CMOS","","AGT0: AGTOA
BUS_ASYNCH0: D07
GPT8: GTIOCA
KINT0: KRM7
QSPI0: QIO3
SCI8: CTS"
"P108","51","DEBUG0_TMS","Low","","Peripheral mode","CMOS","None","DEBUG0: SWDIO
DEBUG0: TMS
GPT_OPS0: GTOULO
GPT0: GTIOCB
SCI9: CTS
SPI1: SSL0"
"P109","52","DEBUG0_TDO","Low","","Peripheral mode","CMOS","None","CAN1: CTX
CGC0: CLKOUT
DEBUG0: TDO
DEBUG0: TRACESWO
GPT_OPS0: GTOVUP
GPT1: GTIOCA
SCI9: SDA
SCI9: TXD
SPI1: MOSI"
"P110","53","DEBUG0_TDI","Low","None","Peripheral mode","CMOS","None","ACMP(0-5): VCOUT
CAN1: CRX
DEBUG0: TDI
GPT_OPS0: GTOVLO
GPT1: GTIOCB
ICU0: IRQ03
SCI2: CTS
SCI9: RXD
SCI9: SCL
SPI1: MISO"
"P111","54","","","","Disabled","","","BUS_ASYNCH0: A05
GPT3: GTIOCA
ICU0: IRQ04
SCI2: SCK
SCI9: SCK
SPI1: RSPCK"
"P112","55","GPIO","Low","","Output mode (Initial Low)","CMOS","","BUS_ASYNCH0: A04
GPT3: GTIOCB
SCI1: SCK
SCI2: SDA
SCI2: TXD
SPI1: SSL0
SSI0: SSISCK"
"P113","56","","","","Disabled","","","BUS_ASYNCH0: A03
GPT2: GTIOCA
SCI2: RXD
SCI2: SCL
SSI0: SSIWS"
"P114","57","","","","Disabled","","","BUS_ASYNCH0: A02
GPT2: GTIOCB
SSI0: SSIRXD"
"P115","58","","","","Disabled","","","BUS_ASYNCH0: A01
GPT4: GTIOCA
SSI0: SSITXD"
"P200","40","","","","Disabled","","","ICU0: NMI"
"P201","39","GPIO","","","Input mode","","None","SYSTEM0: MD"
"P205","32","CTSU0_TSCAP","Low","None","Peripheral mode","CMOS","None","AGT1: AGTO
CGC0: CLKOUT
CTSU0: TSCAP
GPT_OPS0: GTIV
GPT4: GTIOCA
ICU0: IRQ01
IIC1: SCL
SCI4: SDA
SCI4: TXD
SCI9: CTS
SDHI0: DAT3
USB_FS0: OVRCURA"
