P000,P000
P001,P001
P002,P002
P003,P003
P004,P004
P005,P005
P006,P006
P007,P007
P008,P008
P009,P009
P010,P010
P014,P014
P015,P015
P100,P100
P101,P101
P102,P102
P103,P103
P104,P104
P105,P105
P106,P106
P107,P107
P108,P108
P109,P109
P110,P110
P111,P111
P112,P112
P113,P113
P114,P114
P115,P115
P200,P200
P201,P201
P202,P202
P203,P203
P204,P204
P205,P205
P206,P206
P207,P207
P208,P208
P209,P209
P210,P210
P211,P211
P212,P212
P213,P213
P214,P214
P300,P300
P301,P301
P302,P302
P303,P303
P304,P304
P305,P305
P306,P306
P307,P307
P308,P308
P309,P309
P310,P310
P311,P311
P312,P312
P313,P313
P314,P314
P315,P315
P400,P400
P401,P401
P402,P402
P403,P403
P404,P404
P405,P405
P406,P406
P407,P407
P408,P408
P409,P409
P410,P410
P411,P411
P412,P412
P413,P413
P414,P414
P415,P415
P500,P500
P501,P501
P502,P502
P503,P503
P504,P504
P505,P505
P506,P506
P507,P507
P508,P508
P511,P511
P512,P512
P513,P513
P600,P600
P601,P601
P602,P602
P603,P603
P604,P604
P605,P605
P606,P606
P607,P607
P608,P608
P609,P609
P610,P610
P611,P611
P612,P612
P613,P613
P614,P614
P615,P615
P700,P700
P701,P701
P702,P702
P703,P703
P704,P704
P705,P705
P706,P706
P707,P707
P708,P708
P800,P800
P801,P801
P802,P802
P803,P803
P804,P804
P805,P805
P806,P806
P900,P900
P901,P901
P905,P905
P906,P906
P907,P907
P908,P908
PA00,PA00
PA01,PA01
PA08,PA08
PA09,PA09
PA10,PA10
PB00,PB00
PB01,PB01
A0,P000
A1,P001
A2,P002
A3,P003
A4,P014
A5,P015
D0,P614
D1,P613
D2,P409
D3,P111
D4,P112
D5,P113
D6,P114
D7,P608
D8,P207
D9,P115
D10,P301
D11,P203
D12,P202
D13,P204
SW1,P010
SW2,P009
LED1,P006
LED2,P007
LED3,P008
SDA2,P414
SCL2,P415
SWDIO,P108
SWCLK,P300
MD,P201
LED_B,P006
LED_G,P007
LED_R,P008
