P000,P000
P001,P001
P002,P002
P003,P003
P004,P004
VREF,P010
P011,P011
P012,P012
P013,P013
P014,P014
P015,P015
P100,P100
P101,P101
P102,P102
P103,P103
P104,P104
P105,P105
P106,P106
P107,P107
P109,P109
P110,P110
P111,P111
P112,P112
P113,P113
P200,P200
MD,P201
P204,P204
P205,P205
P206,P206
P301,P301
P302,P302
P303,P303
P304,P304
P400,P400
P401,P401
P402,P402
P408,P408
P409,P409
P410,P410
P411,P411
P500,P500
P501,P501
P502,P502
SWCLK,P300
SWDIO,P108
SWO,P109
TDI,P110
TSCAP,P112
MD,P201
USERSW,P013
BOOTSW,P201
MDSW,P201
LED1,P012
MBRX9,P110
MBTX9,P109
USBDP,P914
USBDM,P915
USB_VBUS,P407
VREFL,P013
VREFH,P012
VREFH0,P010
VREFL0,P011
