CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19
P000,0,0,AN000,,,,,,,,,,,,,,,,,,,,,
P001,0,1,AN001,,,,,,,,,,,,,,,,,,,,,
P002,0,2,AN002,,,,,,,,,,,,,,,,,,,,,
P003,0,3,AN003,,,,,,,,,,,,,,,,,,,,,
P004,0,4,AN004,,,,,,,,,,,,,,,,,,,,,
P005,0,5,AN011,,,,,,,,,,,,,,,,,,,,,
P006,0,6,AN012,,,,,,,,,,,,,,,,,,,,,
P007,0,7,AN013,,,,,,,,,,,,,,,,,,,,,
P008,0,8,AN014,,,,,,,,,,,,,,,,,,,,,
-,0,9,,,,,,,,,,,,,,,,,,,,,,
P010,0,10,AN005,,,,,,,,,,,,,,,,,,,,,
P011,0,11,AN006,,,,,,,,,,,,,,,,,,,,,
P012,0,12,AN007,,,,,,,,,,,,,,,,,,,,,
P013,0,13,AN008,,,,,,,,,,,,,,,,,,,,,
P014,0,14,AN009,,,,,,,,,,,,,,,,,,,,,
P015,0,15,AN010,,,,,,,,,,,,,,,,,,,,,
P100,1,0,AN022,IRQ2,,AGTIO0,GTETRGA,GTIOC5B,RXD0/MISO0/SCL0,SCK1,MISOA,SCL1,KR00,,,,,VL1,,,,,,
P101,1,1,AN021,IRQ1,,AGTEE0,GTETRGB,GTIOC5A,TXD0/MOSI0/SDA0,CTS1_RTS1/SS1,MOSIA,SDA1,KR01,,,,,VL2,,,,,,
P102,1,2,AN020,,,AGTO0,GTOWLO,GTIOC2B,SCK0,TXD2/MOSI2/SDA2,RSPCKA,,KR02,,ADTRG0,,,VL3,,,CRX0,,,
P103,1,3,AN019,,,,GTOWUP,GTIOC2A,CTS0_RTS0/SS0,,SSLA0,,KR03,,,,,VL4,,,CTX0,,,
P104,1,4,,IRQ1,,,GTETRGB,GTIOC1B,RXD0/MISO0/SCL0,,SSLA1,,KR04,,,,,COM0,,,,,,
P105,1,5,,IRQ0,,,GTETRGA,GTIOC1A,,,SSLA2,,KR05,,,,,COM1,,,,,,
P106,1,6,,,,,,GTIOC0B,,,SSLA3,,KR06,,,,,COM2,,,,,,
P107,1,7,,,,,,GTIOC0A,,,,,KR07,,,,,COM3,,,,,,
P108,1,8,,,TMS/SWDIO,,GTOULO,GTIOC0B,,CTS9_RTS9/SS9,SSLB0,,,,,,,,,,,,,
P109,1,9,,,TDO/TRACESWO,,GTOVUP,GTIOC1A,SCK1,TXD9/MOSI9/SDA9,MOSIB,,,CLKOUT,,,TS10,SEG23,,,CTX0,,,
P110,1,10,,IRQ3,TDI,,GTOVLO,GTIOC1B,CTS2_RTS2/SS2,RXD9/MISO9/SCL9,MISOB,,,VCOUT,,,,SEG24,,,CRX0,,,
P111,1,11,,IRQ4,Hi-Z,,,GTIOC3A,SCK2,SCK9,RSPCKB,,,,,,TS12,CAPH,,,,,,
P112,1,12,,,,,,GTIOC3B,TXD2/MOSI2/SDA2,SCK1,SSLB0,,,,,,TSCAP,CAPL,,,,,SSIBCK0,
P113,1,13,,,,,,GTIOC2A,,,,,,,,,TS27,SEG00/COM4,,,,,SSILRCK0/SSIFS0,
P114,1,14,,,,,,GTIOC2B,,,,,,,,,TS29,SEG25,,,,,SSIRXD0,
P115,1,15,,,,,,GTIOC4A,,,,,,,,,TS35,SEG26,,,,,SSITXD0,
P200,2,0,,NMI,,,,,,,,,,,,,,,,,,,,
P201,2,1,,,MD,,,,,,,,,,,,,,,,,,,
P202,2,2,,,,,,GTIOC5B,SCK2,RXD9/MISO9/SCL9,MISOB,,,,,,,SEG16,,,,,,
P203,2,3,,,,,,GTIOC5A,CTS2_RTS2/SS2,TXD9/MOSI9/SDA9,MOSIB,,,,,,TSCAP,SEG15,,,,,,
P204,2,4,,,,,,GTIOC4B,SCK0,SCK9,RSPCKB,SCL0,,,CACREF,,TS00,SEG14,,,,,,USB_OVRCURB
P205,2,5,,IRQ1,,,,GTIOC4A,TXD0/MOSI0/SDA0,CTS9_RTS9/SS9,SSLB0,SCL1,,CLKOUT,,,TSCAP,SEG13,,,,,,USB_OVRCURA
P206,2,6,,IRQ0,,,,,RXD0/MISO0/SCL0,,SSLB1,SDA1,,,,,TS01,SEG12,,,,,,USB_VBUSEN
-,2,7,,,,,,,,,,,,,,,,,,,,,,
-,2,8,,,,,,,,,,,,,,,,,,,,,,
-,2,9,,,,,,,,,,,,,,,,,,,,,,
-,2,10,,,,,,,,,,,,,,,,,,,,,,
-,2,11,,,,,,,,,,,,,,,,,,,,,,
P212,2,12,,IRQ3,,AGTEE1,GTETRGB,GTIOC0B,,RXD1/MISO1/SCL1,,,,,,,,,,,,,,
P213,2,13,,IRQ2,,,GTETRGA,GTIOC0A,,TXD1/MOSI1/SDA1,,,,,,,,,,,,,,
P214,2,14,,,,,,,,,,,,,,,,,,,,,,
P215,2,15,,,,,,,,,,,,,,,,,,,,,,
