CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19
-,0,0,,,,,,,,,,,,,,,,,,,,,,
-,0,1,,,,,,,,,,,,,,,,,,,,,,
-,0,2,,,,,,,,,,,,,,,,,,,,,,
-,0,3,,,,,,,,,,,,,,,,,,,,,,
P004,0,4,AN004,IRQ3,,,,,,,,,,,,,,,,,,,,
-,0,5,,,,,,,,,,,,,,,,,,,,,,
-,0,6,,,,,,,,,,,,,,,,,,,,,,
-,0,7,,,,,,,,,,,,,,,,,,,,,,
-,0,8,,,,,,,,,,,,,,,,,,,,,,
-,0,9,,,,,,,,,,,,,,,,,,,,,,
P010,0,10,AN005,IRQ14,,,,,,,,,,,,,,,,,,,,
P011,0,11,AN006,IRQ15,,,,,,,,,,,,,,,,,,,,
-,0,12,,,,,,,,,,,,,,,,,,,,,,
-,0,13,,,,,,,,,,,,,,,,,,,,,,
P014,0,14,AN009,,,,,,,,,,,,,,,,,,,,,
P015,0,15,AN010,IRQ7,,,,,,,,,,,,,,,,,,,,
P100,1,0,AN022,IRQ2,,AGTIO0,GTETRGA,GTIOC5B,RXD0/MISO0/SCL0,SCK1,MISOA,SCL1,KR00,,,,,VL1,,,,,,
P101,1,1,AN021,IRQ1,,AGTEE0,GTETRGB,GTIOC5A,TXD0/MOSI0/SDA0,CTS1_RTS1/SS1,MOSIA,SDA1,KR01,,,,,VL2,,,,,,
P102,1,2,AN020,,,AGTO0,GTOWLO,GTIOC2B,SCK0,TXD2/MOSI2/SDA2,RSPCKA,,KR02,,ADTRG0,,,VL3,,,CRX0,,,
P103,1,3,AN019,,,,GTOWUP,GTIOC2A,CTS0_RTS0/SS0,,SSLA0,,KR03,,,,,VL4,,,CTX0,,,
P104,1,4,,IRQ1,,,GTETRGB,GTIOC1B,RXD0/MISO0/SCL0,,SSLA1,,KR04,,,,TS13,COM0,,,,,,
P105,1,5,,IRQ0,,,GTETRGA,GTIOC1A,,,SSLA2,,KR05,,,,TS34,COM1,,,,,,
P106,1,6,,,,,,GTIOC0B,,,SSLA3,,KR06,,,,,COM2,,,,,,
P107,1,7,,,,,,GTIOC0A,,,,,KR07,,,,,COM3,,,,,,
P108,1,8,,,TMS/SWDIO,,GTOULO,GTIOC0B,,CTS9_RTS9/SS9,SSLB0,,,,,,,,,,,,,
P109,1,9,,,TDO/TRACESWO,,GTOVUP,GTIOC1A,SCK1,TXD9/MOSI9/SDA9,MOSIB,,,CLKOUT,,,TS10,SEG23,,,CTX0,,,
P110,1,10,,IRQ3,TDI,,GTOVLO,GTIOC1B,CTS2_RTS2/SS2,RXD9/MISO9/SCL9,MISOB,,,VCOUT,,,,SEG24,,,CRX0,,,
P111,1,11,,IRQ4,Hi-Z,,,GTIOC3A,SCK2,SCK9,RSPCKB,,,,,,TS12,CAPH,,,,,,
-,1,12,,,,,,,,,,,,,,,,,,,,,,
-,1,13,,,,,,,,,,,,,,,,,,,,,,
-,1,14,,,,,,,,,,,,,,,,,,,,,,
-,1,15,,,,,,,,,,,,,,,,,,,,,,
P200,2,0,,NMI,,,,,,,,,,,,,,,,,,,,
P201,2,1,,,MD,,,,,,,,,,,,,,,,,,,
-,2,2,,,,,,,,,,,,,,,,,,,,,,
-,2,3,,,,,,,,,,,,,,,,,,,,,,
P204,2,4,,,,AGTIO1,GTIW,GTIOC4B,SCK4,SCK9,RSPCKB,SCL0,,,CACREF,,TS00,SEG14,,,,,,USB_OVRCURB
P205,2,5,,IRQ1,,AGTO1,GTIV,GTIOC4A,TXD4/MOSI4/SDA4,CTS9_RTS9/SS9,SSLB0,SCL1,,CLKOUT,,,TSCAP,SEG13,,,,,,USB_OVRCURA
P206,2,6,,IRQ0,,,GTIU,,RXD4/MISO4/SCL4,,SSLB1,SDA1,,,,,TS01,SEG12,,,,,,USB_VBUSEN
-,2,7,,,,,,,,,,,,,,,,,,,,,,
-,2,8,,,,,,,,,,,,,,,,,,,,,,
-,2,9,,,,,,,,,,,,,,,,,,,,,,
-,2,10,,,,,,,,,,,,,,,,,,,,,,
-,2,11,,,,,,,,,,,,,,,,,,,,,,
