IO0,GPIO0
IO1,GPIO1
IO2,GPIO2
IO3,GPIO3
IO4,GPIO4
IO5,GPIO5
IO6,GPIO6
IO7,GPIO7
IO8,GPIO8
IO9,GPIO9
IO10,GPIO10
IO11,GPIO11
IO12,GPIO12
IO13,GPIO13
IO14,GPIO14
IO15,GPIO15
IO16,GPIO16
IO17,GPIO17
IO18,GPIO18
IO19,GPIO19
IO20,GPIO20
IO21,GPIO21
IO22,GPIO22
IO23,GPIO23
IO25,GPIO25
IO26,GPIO26
IO27,GPIO27
IO28,GPIO28
IO29,GPIO29
IO30,GPIO30
IO31,GPIO31
IO32,GPIO32
IO33,GPIO33
IO34,GPIO34
IO35,GPIO35
IO39,GPIO39
IO40,GPIO40
IO41,GPIO41
IO42,GPIO42
IO43,GPIO43
IO44,GPIO44
IO45,GPIO45
IO46,GPIO46
IO47,GPIO47
SD_ENABLE,GPIO4
NEOPIXEL,GPIO26
USER_SW,GPIO27
A0,GPIO40
A1,GPIO41
A2,GPIO42
A3,GPIO43
A4,GPIO44
A5,GPIO45
A6,GPIO46
A7,GPIO47
