GP0,GPIO0
GP1,GPIO1
GP2,GPIO2
GP3,GPIO3
GP4,GPIO4
GP5,GPIO5
GP6,GPIO6
GP7,GPIO7
GP8,GPIO8
GP9,GPIO9
GP10,GPIO10
GP11,GPIO11
GP12,GPIO12
GP13,GPIO13
GP14,GPIO14
GP15,GPIO15
GP16,GPIO16
GP17,GPIO17
GP18,GPIO18
GP19,GPIO19
GP20,GPIO20
GP21,GPIO21
GP22,GPIO22
GP23,GPIO23
GP25,GPIO25
GP26,GPIO26
GP27,GPIO27
GP28,GPIO28
GP29,GPIO29
GP30,GPIO30
GP31,GPIO31
GP32,GPIO32
GP33,GPIO33
GP34,GPIO34
GP35,GPIO35
GP39,GPIO39
GP40,GPIO40
GP41,GPIO41
GP42,GPIO42
GP43,GPIO43
GP44,GPIO44
GP45,GPIO45
WL_GPIO0,EXT_GPIO0
WL_GPIO1,EXT_GPIO1
WL_GPIO2,EXT_GPIO2
WL_LED,EXT_GPIO0
SD_DET,GPIO2
RGB_LED,GPIO3
NEOPIXEL,GPIO3
B_ALRT,GPIO6
PERIPH_POWER,GPIO7
HSTX0,GPIO12
HSTX1,GPIO13
HSTX2,GPIO14
HSTX3,GPIO15
HSTX4,GPIO16
HSTX5,GPIO17
HSTX6,GPIO18
HSTX7,GPIO19
LED,GPIO25
STAT,GPIO25
SRC_5V,GPIO26
BATT_PWR,GPIO27
USER_SW,GPIO39
A0,GPIO40
A1,GPIO41
A2,GPIO42
A3,GPIO43
A4,GPIO44
A5,GPIO45
