TX,GPIO0
RX,GPIO1
RGB_CTRL,GPIO2
BUZZER,GPIO3
RS485_TX,GPIO4
RS485_RX,GPIO5
RTC_SDA,GPIO6
SDA,GPIO6
RTC_SCL,GPIO7
SCL,GPIO7
RTC_INT,GPIO8
IN1,GPIO9
DI1,GPIO9
IN2,GPIO10
DI2,GPIO10
IN3,GPIO11
DI3,GPIO11
IN4,GPIO12
DI4,GPIO12
IN5,GPIO13
DI5,GPIO13
IN6,GPIO14
DI6,GPIO14
IN7,GPIO15
DI7,GPIO15
IN8,GPIO16
DI8,GPIO16
CH1,GPIO17
RELAY1,GPIO17
CH2,GPIO18
RELAY2,GPIO18
CH3,GPIO19
RELAY3,GPIO19
CH4,GPIO20
RELAY4,GPIO20
CH5,GPIO21
RELAY5,GPIO21
CH6,GPIO22
RELAY6,GPIO22
CH7,GPIO23
RELAY7,GPIO23
CH8,GPIO24
RELAY8,GPIO24
NET_RSTN,GPIO25
W5500_RST,GPIO25
SD_SCLK,GPIO26
SD_MOSI,GPIO27
SD_MISO,GPIO28
SD_D1,GPIO29
SD_D2,GPIO30
SD_CS,GPIO31
NET_INTN,GPIO32
W5500_INT,GPIO32
NET_SCSN,GPIO33
W5500_CS,GPIO33
NET_SCLK,GPIO34
W5500_SCK,GPIO34
NET_MOSI,GPIO35
W5500_MOSI,GPIO35
NET_MISO,GPIO36
W5500_MISO,GPIO36
GP37,GPIO37
GP38,GPIO38
GP39,GPIO39
GP40,GPIO40
ADC_IO1,GPIO40
GP41,GPIO41
ADC_IO2,GPIO41
GP42,GPIO42
ADC_IO3,GPIO42
GP43,GPIO43
GP44,GPIO44
GP45,GPIO45
GP46,GPIO46
GP47,GPIO47
