# The lines contain pairs of Pin name and Pin number.
# Pin names must be valid Python identifiers.
# Pin numbers have the form PIN_Pxnn, with x being A, B, C or D.
# Lines starting with # or empty lines are ignored.

LED_TX,PIN_PA27
LED_RX,PIN_PB03

D0,PIN_PA11
D1,PIN_PA10
FLASH_MOSI,PIN_PA08
FLASH_MISO,PIN_PA14
FLASH_SCK,PIN_PA09
D5,PIN_PA15
D6,PIN_PA20
D7,PIN_PA21
D8,PIN_PA06
D9,PIN_PA07
D10,PIN_PA18
D11,PIN_PA16
D12,PIN_PA19
D13,PIN_PA17
A0,PIN_PA02
A1,PIN_PB08
A2,PIN_PB09
A3,PIN_PA04
A4,PIN_PA05
A5,PIN_PB02
TX,PIN_PB22
RX,PIN_PB23
SCL,PIN_PA23
SDA,PIN_PA22
MOSI,PIN_PB10
MISO,PIN_PA12
SCK,PIN_PB11
NEOPIXEL,PIN_PA06
FLASH_CS,PIN_PA13

USB_DM,PIN_PA24
USB_DP,PIN_PA25

SWCLK,PIN_PA30
SWDIO,PIN_PA31
