# The lines contain pairs of Pin name and Pin number.
# Pin names must be valid Python identifiers.
# Pin numbers have the form PIN_Pxnn, with x being A, B, C or D.
# Lines starting with # or empty lines are ignored.

D0,PIN_PA11
D1,PIN_PA10
D2,PIN_PA14
D3,PIN_PA09
D4,PIN_PA08
D5,PIN_PA15
D7,PIN_PA21
D9,PIN_PA07
D10,PIN_PA18
D11,PIN_PA16
D12,PIN_PA19
D13,PIN_PA17
A0,PIN_PA02
A1,PIN_PB08
A2,PIN_PB09
A3,PIN_PA04
A4,PIN_PA05
A5,PIN_PB02
SDA,PIN_PA22
SCL,PIN_PA23
MOSI,PIN_PB10
MISO,PIN_PA12
SCK,PIN_PB11
DOTSTAR_CLK,PIN_PA00
DOTSTAR_DATA,PIN_PA01
FLASH_MOSI,PIN_PB22
FLASH_MISO,PIN_PB03
FLASH_SCK,PIN_PB23
FLASH_CS,PIN_PA27

USB_DM,PIN_PA24
USB_DP,PIN_PA25

SWCLK,PIN_PA30
SWDIO,PIN_PA31
