A0,PA02
A1,PA05
A2,PA06
A3,PB00
A4,PB08
A5,PB09
AREF,PA03

D0,PA23
D1,PA22
D2,PB17
D3,PB16
D4,PB13
D5,PB14
D6,PB15
D7,PB12
D8,PA21
D9,PA20
D10,PA18
D11,PA19
D12,PA17
D13,PA16

RX,PA23
TX,PA22

SDA,PB02
SCL,PB03

SCK,PA13
MOSI,PA12
MISO,PA14

NEOPIXEL,PB22
RXLED,PB06
TXLED,PB07

# Airlift
ESP_RESET,PB05
ESP_BUSY,PB04
ESP_CS,PA15
ESP_GPIO0,PB01
ESP_RX,PA07
ESP_TX,PA04
ESP_RTS,PB23

# QSPI flash
FLASH_MOSI,PA08
FLASH_MISO,PA09
FLASH_WP,PA10
FLASH_HOLD,PA11
FLASH_SCK,PB10
FLASH_CS,PB11

# USB
USB_DM,PA24
USB_DP,PA25
USB_SOF,PA23
#USB_HOSTEN,PA17

# JLink
SWCLK,PA30
SWDIO,PA31
SWO,PB30
