# The lines contain pairs of Pin name and Pin number.
# Pin names must be valid Python identifiers.
# Pin numbers have the form PIN_Pxnn, with x being A, B, C or D.
# Lines starting with # or empty lines are ignored.

A0,PIN_PA02
A1,PIN_PB08
A2,PIN_PB09
A3,PIN_PA04
A4,PIN_PA05
A5,PIN_PA06
A6,PIN_PA07
RX,PIN_PA16
TX,PIN_PA17
D3,PIN_PA19
D4,PIN_PA20
D5,PIN_PA21
LED,PIN_PA15
BUTTON,PIN_PA00
AREF,PIN_PA03
SDA,PIN_PA12
SCL,PIN_PA13
MOSI,PIN_PB22
MISO,PIN_PB23
SCK,PIN_PA01
DOTSTAR_DATA,PIN_PB03
DOTSTAR_CLK,PIN_PB02

QSPI_CS,PIN_PB11
QSPI_SCK,PIN_PB10
QSPI_D0,PIN_PA08
QSPI_D1,PIN_PA09
QSPI_D2,PIN_PA10
QSPI_D3,PIN_PA11

LED,PIN_PA15

USB_DM,PIN_PA24
USB_DP,PIN_PA25
USB_SOF,PIN_PA26

SWCLK,PIN_PA30
SWDIO,PIN_PA31
