# EXT1
EXT1_PIN3,PB00
EXT1_PIN4,PB01
EXT1_PIN5,PB06
EXT1_PIN6,PB07
EXT1_PIN7,PB02
EXT1_PIN8,PB03
EXT1_PIN9,PB04
EXT1_PIN10,PB05
EXT1_PIN11,PA08
EXT1_PIN12,PA09
EXT1_PIN13,PB09
EXT1_PIN14,PB08
EXT1_PIN15,PA05
EXT1_PIN16,PA06
EXT1_PIN17,PA04
EXT1_PIN18,PA07

# EXT2
EXT2_PIN3,PA10
EXT2_PIN4,PA11
EXT2_PIN5,PA20
EXT2_PIN6,PA21
EXT2_PIN7,PB12
EXT2_PIN8,PB13
EXT2_PIN9,PB14
EXT2_PIN10,PB15
EXT2_PIN13,PB11
EXT2_PIN14,PB10
EXT2_PIN15,PA17
EXT2_PIN16,PA18
EXT2_PIN17,PA16
EXT2_PIN18,PA19

# EXT3
EXT3_PIN3,PA02
EXT3_PIN4,PA03
EXT3_PIN6,PA15
EXT3_PIN7,PA12
EXT3_PIN8,PA13
EXT3_PIN9,PA28
EXT3_PIN10,PA27
EXT3_PIN15,PB17
EXT3_PIN16,PB22
EXT3_PIN17,PB16
EXT3_PIN18,PB23

LED,PB30

USB_DM,PA24
USB_DP,PA25

SWCLK,PA30
SWDIO,PA31

FLASH_MOSI,PB22
FLASH_MISO,PB16
FLASH_SCK,PB23
FLASH_CS,PA13
