AIN6,PB04
AIN7,PB05
GPIO1_RTS,PA06
GPIO2_CTS,PA07
TC4_WO0,PB08
TC4_WO1,PB09
IRQ7,PB07
SPI_SS_B1,PA27
TWI_SA,PA22
TWI_SCL1,PA23
USART_RX1,PA05
USART_TX1,PA04
SPI_SS_A1,PB28
SPI_MOSI1,PB27
SPI_MISO1,PB29
SPI_SCK1,PB26

AIN12,PB00
AIN1,PA03
GPIO1,PB01
GPIO2,PB06
TCC4_WO4,PB14
TCC4_WO5,PB15
IRQ0,PD00
SPI_SS_B2,PB02
TWI_SDA,PD08
TWI_SCL2,PD09
USART_RX2,PB17
USART_TX2,PB16
SPI_SS_A2,PC06
SPI_MOSI2,PC04
SPI_MISO2,PC07
SPI_SCK2,PC05

AIN4,PC02
AIN5,PC03
GPIO3,PC01
GPIO4,PC10
TCC0_WO3,PD10
TCC0_WO4,PD11
IRQ14,PC30
SPI_SS_B3,PC31
USART_RX3,PC23
USART_TX3,PC22
SPI_SS_A3,PC14

SD_DAT0,PB18
SD_DAT1,PB19
SD_DAT2,PB20
SD_DAT3,PB21
SD_CLK,PA21
SD_CMD,PA20
SD_CD,PD20
SD_WP,PD21

PCC_SCL,PD09
PCC_SDA,PD08
PCC_DEN1,PA12
PCC_DEN2,PA13
PCC_CLK,PA14
GCLK_IO1,PA15
PCC_DATA7,PA23
PCC_DATA6,PA22
PCC_DATA5,PA21
PCC_DATA4,PA20
PCC_DATA3,PA19
PCC_DATA2,PA18
PCC_DATA1,PA17
PCC_DATA0,PA16
PCC_DATA9,PA15
PCC_DATA8,PA14
PCC_RESET,PC12
PCC_PWDN,PC11

PDEC_QDI0,PC16
PDEC_QDI1,PC17
PDEC_QDI2,PC18

ADCDAC,PA02

LED0,PC18
QT_BTN,PA16

CAN1_TX,PB12
CAN1_RX,PB13
CAN1_STBY,PC13

ETH_REF_CLK,PA14
ETH_TXEN,PA17
ETH_TXD0,PA18
ETH_TXD1,PA19
ETH_CRS_DV,PC20
ETH_RXD0,PA13
ETH_RXD1,PA12
ETH_RXER,PA15
ETH_MDC,PC11
ETH_MDIO,PC12
ETH_IRQ,PD12
ETH_RST,PC21

QSPI_SI,PA08
QSPI_SO,PA09
QSPI_WP,PA10
QSPI_HOLD,PA11
QSPI_CK,PB10
QSPI_CS,PB11

SWCLK,PA30
SWDIO,PA31
SWO,PB30
