A0_D0,PB08
A1_D1,PB09
A2_D2,PA07
A3_D3,PB04
A4_D4,PB05
A5_D5,PB06
A6_D6,PA04
A7_D7,PB07
A8_D8,PA06
SWITCH_X,PD08
SWITCH_Y,PD09
SWITCH_Z,PD10
SWITCH_B,PD12
SWITCH_U,PD20
BUTTON_1,PC26
BUTTON_2,PC27
BUTTON_3,PC28
ENABLE_5V,PC14
ENABLE_3V3,PC15
TX,PB26
RX,PB27
SDA,PA13
SCL,PA12
SDA0,PA13
SCL0,PA12
SDA1,PA17
SCL1,PA16
MOSI,PB02
MISO,PB00
SCK,PB03
CS,PB01
GPCLK0,PB15
GPCLK1,PB12
GPCLK2,PB13
SD_MOSI,PC16
SD_MISO,PC18
SD_SCK,PC17
SD_CS,PC19
SD_DET,PD21
I2S_LRCLK,PA20
I2S_SDIN,PA21
I2S_SDOUT,PA22
I2C_BCLK,PB16
LCD_MISO,PB18
LCD_MOSI,PB19
LCD_SCK,PB20
LCD_CS,PB21
LCD_BACKLIGHT,PC05
LCD_D_C,PC06
LCD_RESET,PC07
LCD_XL,PC10
LCD_YU,PC11
LCD_XR,PC12
LCD_YD,PC13
MIC,PC30
BUZZER,PD11

QSPI_CS,PB11
QSPI_SCK,PB10
QSPI_D0,PA08
QSPI_D1,PA09
QSPI_D2,PA10
QSPI_D3,PA11

LED_BLUE,PA15
LED_LCD,PC05

USB_DM,PA24
USB_DP,PA25
USB_SOF,PA23

SWCLK,PA30
SWDIO,PA31
