# The lines contain pairs of Pin name and Pin number.
# Pin names must be valid Python identifiers.
# Pin numbers have the form PIN_Pxnn, with x being A, B, C or D.
# Lines starting with # or empty lines are ignored.

D0,PIN_PA13
D1,PIN_PA12
D4,PIN_PA06
D5,PIN_PA15
D6,PIN_PA20
D7,PIN_PA21
D9,PIN_PA07
D10,PIN_PA18
D11,PIN_PA16
D12,PIN_PA19
D13,PIN_PA17
A0,PIN_PA02
A1,PIN_PB08
A2,PIN_PB09
A3,PIN_PA04
A4,PIN_PA05
A5,PIN_PB02
SDA,PIN_PA22
SCL,PIN_PA23
MOSI,PIN_PB12
MISO,PIN_PB11
SCK,PIN_PB13
FLASH_MOSI,PIN_PA08
FLASH_SCK,PIN_PA09
FLASH_CS,PIN_PA10
FLASH_MISO,PIN_PA11

RXLED,PIN_PB03
TXLED,PIN_PA27

USB_DM,PIN_PA24
USB_DP,PIN_PA25
USB_SOF,PIN_PA26

SWCLK,PIN_PA30
SWDIO,PIN_PA31
