A0,PA0
A1,PA1
A2,PA2
A3,PA3
A4,PA4
A5,PA5
A6,PA6
A7,PA7
A8,PA8
A9,PA9
A10,PA10
A11,PA11
A12,PA12
A13,PA13
A14,PA14
A15,PA15
B0,PB0
B1,PB1
B2,PB2
B3,PB3
B4,PB4
B5,PB5
B6,PB6
B7,PB7
B8,PB8
B9,PB9
B10,PB10
B11,PB11
B12,PB12
B13,PB13
B14,PB14
B15,PB15
C0,PC0
SPI2_CLK,PC1
SPI2_MISO,PC2
SPI2_MOSI,PC3
SPI2_D2,PC4
SPI2_D3,PC5
SPI2_SS,PC6
C7,PC7
C8,PC8
C9,PC9
C10,PC10
C11,PC11
C12,PC12
C13,PC13
C14,PC14
C15,PC15
D0,PD0
LED10,PD1
LED11,PD2
LED12,PD3
D4,PD4
D5,PD5
D6,PD6
D7,PD7
D8,PD8
D9,PD9
D10,PD10
D11,PD11
D12,PD12
D13,PD13
D14,PD14
D15,PD15
E0,PE0
E1,PE1
E2,PE2
E3,PE3
E4,PE4
E5,PE5
E6,PE6
E7,PE7
E8,PE8
E9,PE9
E10,PE10
E11,PE11
E12,PE12
E13,PE13
E14,PE14
E15,PE15
BTN1,PF0
BTN2,PF1
MSI0_D0,PF2
MSI0_D1,PF3
MSI0_D2,PF4
MSI0_D3,PF5
F6,PF6
F7,PF7
F8,PF8
F9,PF9
MSI0_CMD,PF10
MSI0_CLK,PF11
MSI0_CD,PF12
F13,PF13
F14,PF14
F15,PF15
G0,PG0
G1,PG1
G2,PG2
G3,PG3
G4,PG4
G5,PG5
