Port,,AF0,AF1,AF2,AF3,AF4
,,,,,,
PortA,PA0,ETH0_TXD0,,,SMC0_A21,
PortA,PA1,ETH0_TXD1,,,SMC0_A20,
PortA,PA2,ETH0_MDC,,,SMC0_A24,
PortA,PA3,ETH0_MDIO,,,SMC0_A23,
PortA,PA4,ETH0_RXD0,,,SMC0_A19,
PortA,PA5,ETH0_RXD1,,,SMC0_A18,
PortA,PA6,ETH0_RXCLK_REFCLK,,,SMC0_A17,
PortA,PA7,ETH0_CRS,,,SMC0_A16,
PortA,PA8,ETH0_RXD2,,,SMC0_A12,
PortA,PA9,ETH0_RXD3,,,SMC0_A11,
PortA,PA10,ETH0_TXEN,,,SMC0_A22,
PortA,PA11,ETH0_TXCLK,,,SMC0_A15,
PortA,PA12,ETH0_TXD2,,,SMC0_A14,
PortA,PA13,ETH0_TXD3,,,SMC0_A13,
PortA,PA14,ETH0_PTPPPS3,SINC0_D0,,SMC0_A10,
PortA,PA15,ETH0_PTPPPS2,SINC0_D1,,SMC0_A09,
PortB,PB0,ETH0_PTPPPS1,SINC0_D2,PPI0_D14,SMC0_A08,TM0_ACLK3
PortB,PB1,ETH0_PTPPPS0,SINC0_CLK,PPI0_D15,SMC0_A07,TM0_ACLK4
PortB,PB2,ETH0_PTPCLKIN0,UART1_TX,PPI0_D16,SMC0_A04,
PortB,PB3,ETH0_PTPAUXIN0,UART1_RX,PPI0_D17,SMC0_A03,TM0_ACI1
PortB,PB4,MLB0_CLK,SINC0_D3,PPI0_D12,SMC0_ARDY,ETH0_PTPAUXIN1
PortB,PB5,MLB0_SIG,,PPI0_D13,SMC0_A01,ETH0_PTPAUXIN2
PortB,PB6,MLB0_DAT,,PWM0_BH,SMC0_A02,ETH0_PTPAUXIN3
PortB,PB7,LP1_D0,PWM0_AH,TM0_TMR3,SMC0_D15,
PortB,PB8,LP1_D1,PWM0_AL,TM0_TMR4,SMC0_D14,
PortB,PB9,LP1_D2,,CAN1_TX,SMC0_D13,
PortB,PB10,LP1_D3,TM0_TMR2,CAN1_RX,SMC0_D12,TM0_ACI4
PortB,PB11,LP1_D4,,PWM0_DH,SMC0_D11,CNT0_ZM
PortB,PB12,LP1_D5,,PWM0_DL,SMC0_D10,CNT0_UD
PortB,PB13,LP1_D6,,PWM0_CH,SMC0_D09,
PortB,PB14,LP1_D7,TM0_TMR5,PWM0_CL,SMC0_D08,CNT0_DG
PortB,PB15,LP1_ACK,PWM0_TRIP0,TM0_TMR1,SMC0_AWE,
PortC,PC0,LP1_CLK,PWM0_BL,SPI0_SEL4,SMC0_ARE,
PortC,PC1,SPI2_SCK,,,,
PortC,PC2,SPI2_MISO,,,,
PortC,PC3,SPI2_MOSI,,,,
PortC,PC4,SPI2_D2,,,,
PortC,PC5,SPI2_D3,,,,
PortC,PC6,SPI2_SEL1,,,,SPI2_SS
PortC,PC7,CAN0_RX,SPI0_SEL1,,SMC0_AMS2,TM0_ACI3
PortC,PC8,CAN0_TX,,,SMC0_AMS3,
PortC,PC9,SPI0_SCK,,,,
PortC,PC10,SPI0_MISO,,,,
PortC,PC11,SPI0_MOSI,,,,TM0_CLK
PortC,PC12,SPI0_SEL3,SPI0_RDY,ACM0_T0,SMC0_A25,
PortC,PC13,UART0_TX,SPI1_SEL1,ACM0_A0,,
PortC,PC14,UART0_RX,,ACM0_A1,,TM0_ACI0
PortC,PC15,UART0_RTS,PPI0_FS3,ACM0_A2,SMC0_AMS0,
PortD,PD0,UART0_CTS,PPI0_D23,ACM0_A3,SMC0_D07,
PortD,PD1,SPI0_SEL2,,ACM0_A4,SMC0_AOE,SPI0_SS
