PA0,PA0
PA1,PA1
PA2,PA2
PA3,PA3
PA4,PA4
PA5,PA5
PA6,PA6
PA7,PA7
PA8,PA8
PA9,PA9
PA10,PA10
PA11,PA11
PA12,PA12
PA13,PA13
PA14,PA14
PA15,PA15
PB0,PB0
PB1,PB1
PB2,PB2
PB3,PB3
PB4,PB4
PB5,PB5
PB6,PB6
PB7,PB7
PB8,PB8
PB9,PB9
PB10,PB10
PB11,PB11
PB12,PB12
PB13,PB13
PB14,PB14
PB15,PB15
PC0,PC0
PC1,PC1
PC2,PC2
PC3,PC3
PC4,PC4
PC5,PC5
PC6,PC6
PC7,PC7
PC8,PC8
PC9,PC9
PC10,PC10
PC11,PC11
PC12,PC12
PC13,PC13
PC14,PC14
PC15,PC15
PD0,PD0
PD1,PD1
PD2,PD2
PD3,PD3
PD4,PD4
PD5,PD5
PD6,PD6
PD7,PD7
PD8,PD8
PD9,PD9
PD10,PD10
PD11,PD11
PD12,PD12
PD13,PD13
PD14,PD14
PD15,PD15
PE0,PE0
PE1,PE1
PE2,PE2
PE3,PE3
PE4,PE4
PE5,PE5
PE6,PE6
PE7,PE7
PE8,PE8
PE9,PE9
PE10,PE10
PE11,PE11
PE12,PE12
PE13,PE13
PE14,PE14
PE15,PE15
PH0,PH0
PH1,PH1
LD1,PE12
LD2,PE15
SW,PE0
T2,PE0
T3,PA10
SENSEL,PB12
VSENSE,PC5
FAULT,PC6
BATSTAT,PD4
MB1_AN,PA2
MB1_RST,PE7
MB1_CS,PE8
MB1_SCK,PC10
MB1_MISO,PC11
MB1_MOSI,PC12
MB1_PWM,PE9
MB1_INT,PE10
MB1_RXD,PD6
MB1_TXD,PD5
MB1_SCL,PA8
MB1_SDA,PC9
MB2_AN,PA3
MB2_RST,PE13
MB2_CS,PE11
MB2_SCK,PB13
MB2_MISO,PB14
MB2_MOSI,PB15
MB2_PWM,PD12
MB2_INT,PE14
MB2_RXD,PD9
MB2_TXD,PD8
MB2_SCL,PB10
MB2_SDA,PB11
