S1,3.3V
S2,VBUS
S3,PB9
S4,VIN
S5,PB8
S6,GND
S7,PB6
S8,PA2
S9,GND
S10,PA3
S11,PB3
S12,PA0
S13,PB10
S13A,PC3
S14,Reset
S15,PB12
S15A,PC5
S16,PB13
S16A,PC6
S17,GND
S18,PB14
S18A,PC7
S19,PA7
S20,GND
S21,PB4
S22,PA10
S23,PA5
S24,PA15
S25,GND
S26,PA4
SW,PC13
SW2,PB6
LED_GREEN,PA14
LED_YELLOW,PB0
LED_RED,PA13
LED_BLUE,PB1
SD_D0,PB7
SD_D1,PA8
SD_D2,PA9
SD_D3,PB5
SD_CMD,PA6
SD_CK,PB15
USB_DM,PA11
USB_DP,PA12
OSC_IN,PH0
OSC_OUT,PH1
OSC32_IN,PC14
OSC32_OUT,PC15
QSPI_BK1_IO3,PA1
SDIO_CMD,PA6
SDIO_D1,PA8
SDIO_D2,PA9
SDIO_D3,PB5
SDIO_D0,PB7
SDIO_CK,PB15
