In1,PA0
In2,PC4
In3,PB0
In4,PB1
In5,PC0
In6,PC1
In7,PC2
In8,PC3
Out1,PA7
Out2,PA6
Out3,PC6
Out4,PC7
Out5,PA8
Out6,PA9
Out7,PB7
Out8,PD2
MES_VIN,PA5
USER_SW,PB12
LED_1,PA13
LED_2,PA14
USB_DM,PA11
USB_DP,PA12
UART1_TX,PA15
UART1_RX,PA10
RS422_TX,PA2
RS422_RX,PA3
RS422_MODE,PC12
CAN1_RX,PB8
CAN1_TX,PB9
CAN1_SB,PC11
I2C4_SMB,PB13
I2C4_SDA,PB14
I2C4_SCL,PB15
UART3_TX,PB10
UART3_RX,PC5
SPI1_MOSI,PB5
SPI1_MISO,PB4
SPI1_SCLK,PB3
SPI1_NSS,PA4
QSPI1_D0,PC9
QSPI1_D1,PC10
QSPI1_D2,PC8
QSPI1_D3,PA1
QSPI1_CS,PB6
QSPI1_CLK,PB2
