BT_CTS,PA0
BT_RTS,PA1
BT_TX,PA2
BT_RX,PA3
,PA4
,PA5
BAT_VMON_ADC,PA6
BAT_IMON_ADC,PA7
LSM6_SCL,PA8
USB_VBUS,PA9
CHGMODE,PA10
USB_DM,PA11
USB_DP,PA12
,PA13
,PA14
,PA15
BAT_NTC,PB0
BAT_PWR_EN,PB1
BUTTON,PB2
BT_SLOWCLK,PB3
PORTB_M1,PB4
PORTB_M2,PB5
PORTA_M1,PB6
PORTA_M2,PB7
PORTB_EN,PB8
PORTA_EN,PB9
FLASH_SCK,PB10
,PB11
FLASH_NSS,PB12
LED_EN,PB13
LED_SDA,PB14
LED_SCL,PB15
,PC0
,PC1
FLASH_MISO,PC2
FLASH_MOSI,PC3
CHG_IMON_ADC,PC4
,PC5
CHGOK,PC6
PORT_3V3_EN,PC7
BT_ENABLE,PC8
LSM6_SDA,PC9
PORTB_TX,PC10
PORTB_RX,PC11
PORTA_TX,PC12
LSM6_INT1,PC13
,PC14
,PC15
,PD0
,PD1
PORTA_RX,PD2
,PD3
,PD4
,PD5
,PD6
,PD7
,PD8
,PD9
,PD10
,PD11
,PD12
,PD13
,PD14
,PD15
,PE0
,PE1
,PE2
,PE3
,PE4
,PE5
,PE6
,PE7
,PE8
,PE9
,PE10
,PE11
,PE12
,PE13
,PE14
,PE15
,PF0
,PF1
,PF2
,PF3
,PF4
,PF5
,PF6
,PF7
,PF8
,PF9
,PF10
,PF11
,PF12
,PF13
,PF14
,PF15
,PG0
,PG1
,PG2
,PG3
,PG4
,PG5
,PG6
,PG7
,PG8
,PG9
,PG10
,PG11
,PG12
,PG13
,PG14
,PG15
,PH0
,PH1
