A0,PC0
A1,PC1
A2,PC2
A3,PC3
A4,PA0
A5,PA1
A6,PA2
A7,PA3
A8,PA4
A9,PA5
A10,PA6
A11,PA7
A12,PC4
A13,PC5
D0,PB2
D1,PE7
D2,PE8
D3,PE9
D4,PE10
D5,PE11
D6,PE12
D7,PE13
D8,PE14
D9,PE15
D10,PB12
D11,PB13
D12,PB14
D13,PB15
D14,PC15
D15,PC14
D16,PC13
D17,PE6
D18,PE5
D19,PE4
D20,PE3
D21,PE2
D22,PE1
D23,PE0
D24,PB9
D25,PB8
D26,PB7
D27,PB6
D28,PB5
D29,PB4
D30,PD7
D31,PC10
D32,PC9
D33,PC8
D34,PC7
D35,PC6
D36,PD15
D37,PD14
D38,PD13
BLE_EN,PD3
BLE_IO0,PD4
PLC_PROG,PD11
PLC_EN,PD12
LED,PA15
LED1,PD0
LED2,PD1
LED3,PD2
LED4,PC11
LED5,PC12
SW,PB0
SD_SW,PB1
USB_DM,PA11
USB_DP,PA12
USB_EN,PD10
VCP_TX,PA9
VCP_RX,PA10
UART2_TX,PD5
UART2_RX,PD6
UART3_TX,PD8
UART3_RX,PD9
I2C2_SCL,PB10
I2C2_SDA,PB11
