# Arduino Header
A0,PA4
A1,PF10
A2,PA0_C
A3,PA1_C
A4,PC2_C
A5,PC3_C
D0,PJ9
D1,PJ8
D2,PJ3
D3,PF8
D4,PJ4
D5,PA6
D6,PJ7
D7,PJ0
D8,PJ5
D9,PJ6
D10,PK1
D11,PJ10
D12,PJ11
D13,PK0
D14,PD13
D15,PD12

# LEDs
LED1,PI12
LED2,PI13
LED3,PI14
LED4,PI15

# Button
SW,PC13

# SD Card
SD_DETECT,PI8
-SDMMC1_CK,PC12
-SDMMC1_CMD,PD2
-SDMMC1_D0,PC8
-SDMMC1_D1,PC9
-SDMMC1_D2,PC10
-SDMMC1_D3,PC11

# UART (ST-LINK VCP)
-UART1_TX,PA9
-UART1_RX,PA10

# USB HS ULPI
-USB_HS_CLK,PA5
-USB_HS_STP,PC0
-USB_HS_NXT,PH4
-USB_HS_DIR,PI11
-USB_HS_D0,PA3
-USB_HS_D1,PB0
-USB_HS_D2,PB1
-USB_HS_D3,PB5
-USB_HS_D4,PB10
-USB_HS_D5,PB11
-USB_HS_D6,PB12
-USB_HS_D7,PB13

# Ethernet RMII
-ETH_MDC,PC1
-ETH_MDIO,PA2
-ETH_RMII_REF_CLK,PA1
-ETH_RMII_CRS_DV,PA7
-ETH_RMII_RXD0,PC4
-ETH_RMII_RXD1,PC5
-ETH_RMII_TX_EN,PG11
-ETH_RMII_TXD0,PG13
-ETH_RMII_TXD1,PG12

# QSPI Flash
-QSPI_CLK,PB2
-QSPI_BK1_NCS,PG6
-QSPI_BK1_IO0,PD11
-QSPI_BK1_IO1,PF9
-QSPI_BK1_IO2,PF7
-QSPI_BK1_IO3,PF6

# FMC SDRAM
-FMC_SDCKE1,PH7
-FMC_SDNE1,PH6
-FMC_SDCLK,PG8
-FMC_SDNCAS,PG15
-FMC_SDNRAS,PF11
-FMC_SDNWE,PH5
-FMC_BA0,PG4
-FMC_BA1,PG5
-FMC_NBL0,PE0
-FMC_NBL1,PE1
-FMC_NBL2,PI4
-FMC_NBL3,PI5
-FMC_A0,PF0
-FMC_A1,PF1
-FMC_A2,PF2
-FMC_A3,PF3
-FMC_A4,PF4
-FMC_A5,PF5
-FMC_A6,PF12
-FMC_A7,PF13
-FMC_A8,PF14
-FMC_A9,PF15
-FMC_A10,PG0
-FMC_A11,PG1
-FMC_A12,PG2
-FMC_D0,PD14
-FMC_D1,PD15
-FMC_D2,PD0
-FMC_D3,PD1
-FMC_D4,PE7
-FMC_D5,PE8
-FMC_D6,PE9
-FMC_D7,PE10
-FMC_D8,PE11
-FMC_D9,PE12
-FMC_D10,PE13
-FMC_D11,PE14
-FMC_D12,PE15
-FMC_D13,PD8
-FMC_D14,PD9
-FMC_D15,PD10
-FMC_D16,PH8
-FMC_D17,PH9
-FMC_D18,PH10
-FMC_D19,PH11
-FMC_D20,PH12
-FMC_D21,PH13
-FMC_D22,PH14
-FMC_D23,PH15
-FMC_D24,PI0
-FMC_D25,PI1
-FMC_D26,PI2
-FMC_D27,PI3
-FMC_D28,PI6
-FMC_D29,PI7
-FMC_D30,PI9
-FMC_D31,PI10
