IO_Alarm,PC13
IO_Alarm2,PI8
IO_Analog_0,PB0
IO_Analog_1,PB1
IO_Analog_2,PC2
IO_Analog_3,PC3
OSC25MHz_IN,PH0
OSC25MHz_OUT,PH1
OSC32MHz_IN,PC14
OSC32MHz_OUT,PC15
IO_USB_ID,PB12
IO_USB_VBUS,PB13
IO_USB_DP,PB14
IO_USB_DM,PB15
IO_PD11,PD11
Type0,PE3
Type1,PE4
Type2,PE5
Type3,PE6
IO_I2C2_SCL,PH4
IO_I2C2_SDA,PH5
IO_L01_3,PA3
IO_L01_6,PA6
IO_L02_0,PA8
IO_L02_7,PA15
IO_L03_1,PI9
IO_L03_2,PI10
IO_L03_3,PI11
IO_L03_4,PI12
IO_L03_5,PI13
IO_L03_6,PI14
IO_L03_7,PI15
IO_L04_7,PC7
IO_L05_0,PC8
IO_L05_1,PC9
IO_L05_2,PC10
IO_L05_3,PC11
IO_L05_4,PC12
IO_L06_0,PJ0
IO_L06_1,PJ1
IO_L06_2,PJ2
IO_L06_3,PJ3
IO_L06_4,PJ4
IO_L06_5,PJ5
IO_L06_6,PJ6
IO_L06_7,PJ7
IO_L07_2,PD2
IO_L07_3,PD3
IO_L07_7,PD7
IO_L08_0,PI0
IO_L08_1,PI1
IO_L08_2,PI2
IO_L08_3,PI3
IO_L08_4,PI4
IO_L08_5,PI5
IO_L08_6,PI6
IO_L08_7,PI7
IO_L09_2,PB10
IO_L09_3,PB11
IO_L09_4,PB12
IO_L09_5,PB13
IO_L09_6,PB14
IO_L09_7,PB15
IO_L14_1,PH9
IO_L14_2,PH10
IO_L14_6,PH14
IO_L14_7,PH15
IO_L15_2,PG10
LED_R,PG6
UART1_TX,PA9
UART1_RX,PB7
UART2_TX,PD5
UART2_RX,PD6
UART6_TX,PC6
UART6_RX,PC7
UART7_TX,PF6
UART7_RX,PF7
I2C3_SCL,PH7
I2C3_SDA,PH8
I2C4_SCL,PH11
I2C4_SDA,PH12
SPI1_CS,PA4
SPI1_SCK,PA5
SPI1_MISO,PB4
SPI1_MOSI,PB5
SPI5_CS,PF10
SPI5_SCK,PH6
SPI5_MISO,PH7
SPI5_MOSI,PF9
CAN1_H13,PH13
CAN1_I9,PI9
-SD_D0,PC8
-SD_D1,PC9
-SD_D2,PC10
-SD_D3,PC11
-SD_CLK,PC12
-SD_CMD,PD2
SD_SW,PI1
OTG_FS_POWER,PD5
OTG_FS_OVER_CURRENT,PD4
OTG_HS_OVER_CURRENT,PE3
USB_ID,PA10
USB_DM,PA11
USB_DP,PA12
ETHPWR,PG7
ETH_MDC,PC1
ETH_MDIO,PA2
ETH_RMII_REF_CLK,PA1
ETH_RMII_CRS_DV,PA7
ETH_RMII_RXD0,PC4
ETH_RMII_RXD1,PC5
ETH_RMII_TX_EN,PG11
ETH_RMII_TXD0,PG13
ETH_RMII_TXD1,PG14
QSPI1_CS,PB6
QSPI1_CLK,PB2
QSPI1_D0,PF8
QSPI1_D1,PD12
QSPI1_D2,PE2
QSPI1_D3,PD13
SDRAMPWR,PG3
-SDRAM_SDCKE0,PH2
-SDRAM_SDNE0,PH3
-SDRAM_SDCLK,PG8
-SDRAM_SDNCAS,PG15
-SDRAM_SDNRAS,PF11
-SDRAM_SDNWE,PC0
-SDRAM_BA0,PG4
-SDRAM_BA1,PG5
-SDRAM_NBL0,PE0
-SDRAM_NBL1,PE1
-SDRAM_A0,PF0
-SDRAM_A1,PF1
-SDRAM_A2,PF2
-SDRAM_A3,PF3
-SDRAM_A4,PF4
-SDRAM_A5,PF5
-SDRAM_A6,PF12
-SDRAM_A7,PF13
-SDRAM_A8,PF14
-SDRAM_A9,PF15
-SDRAM_A10,PG0
-SDRAM_A11,PG1
-SDRAM_A12,PG2
-SDRAM_D0,PD14
-SDRAM_D1,PD15
-SDRAM_D2,PD0
-SDRAM_D3,PD1
-SDRAM_D4,PE7
-SDRAM_D5,PE8
-SDRAM_D6,PE9
-SDRAM_D7,PE10
-SDRAM_D8,PE11
-SDRAM_D9,PE12
-SDRAM_D10,PE13
-SDRAM_D11,PE14
-SDRAM_D12,PE15
-SDRAM_D13,PD8
-SDRAM_D14,PD9
-SDRAM_D15,PD10
