#P1_1,GND
#P1_2,GND
#P1_3,VBAT
#P1_4,VCC_3V3
#P1_5,VIN_5V
#P1_6,VIN_5V
P1_7,PE0
P1_8,PE1
P1_9,PE2
P1_10,PE3
P1_11,PE4
P1_12,PE5
P1_13,PE6
P1_14,PC13
P1_15,PC14
P1_16,PC15
P1_17,PC0
P1_18,PC1
P1_19,PC2
P1_20,PC3
P1_21,PA0
P1_22,PA2
P1_23,PA1
P1_24,PA3
P1_25,PA4
P1_26,PA5
P1_27,PA6
P1_28,PA7
P1_29,PC4
P1_30,PC5
P1_31,PB0
P1_32,PB1
P1_33,PB2
P1_34,PE7
P1_35,PE8
P1_36,PE9
P2_1,PE11
P2_2,PE10
P2_3,PE13
P2_4,PE12
P2_5,PE15
P2_6,PE14
P2_7,PB11
P2_8,PB10
P2_9,PB13
P2_10,PB12
P2_11,PB15
P2_12,PB14
P2_13,PD9
P2_14,PD8
P2_15,PD11
P2_16,PD10
P2_17,PD13
P2_18,PD12
P2_19,PD15
P2_20,PD14
P3_1,PC8
P3_2,PC6
P3_3,PC9
P3_4,PC7
P3_5,PA9
P3_6,PA8
P3_7,PA11
P3_8,PA10
P3_9,PA13
P3_10,PA12
P3_11,PA15
P3_12,PA14
P3_13,PC11
P3_14,PC10
P3_15,PC12
P3_16,PD0
P3_17,PD1
P3_18,PD2
P3_19,PD3
P3_20,PD4
P3_21,PD5
P3_22,PD6
P3_23,PD7
P3_24,PB3
P3_25,PB4
P3_26,PB5
P3_27,PB6
P3_28,PB7
P3_29,PB8
P3_30,PB9
#P3_31,GND
#P3_32,GND
#P3_33,VCC_3V3
#P3_34,VCC_3V3
#P3_35,GND
#P3_36,GND
DAC1,PA4
DAC2,PA5
BLUE_LED,PB9
BOOT1,PB2
USB_VBUS,PA9
USB_ID,PA10
USB_DM,PA11
USB_DP,PA12
SWCLK,PA14
SWDIO,PA13
OSC32_IN,PC14
OSC32_OUT,PC15
SD_D0,PC8
SD_D1,PC9
SD_D2,PC10
SD_D3,PC11
SD_CK,PC12
SD_CMD,PD2
SD,PA8
SD_SW,PA8
