#P1_1,GND
#P1_2,GND
#P1_3,VBAT
#P1_4,VCC_3V3
#P1_5,VIN_5V
#P1_6,VIN_5V
P1_7,PF2
P1_8,PF3
P1_9,PF4
P1_10,PF5
P1_11,PF6
P1_12,PF7
P1_13,PF8
P1_14,PF9
P1_15,PF10
P1_16,PC0
P1_17,PC1
P1_18,PC2
P1_19,PC3
P1_20,PA0
P1_21,PA1
P1_22,PA2
P1_23,PA3
P1_24,PA4
P1_25,PA5
P1_26,PA6
P1_27,PA7
P1_28,PC4
P1_29,PC5
P1_30,PB0
P1_31,PB1
P1_32,PB2
P1_33,PF11
P1_34,PF12
P1_35,PF13
P1_36,PF14
P1_37,PF15
P1_38,PG0
P1_39,PG1
P1_40,PE7
P1_41,PE8
P1_42,PE9
#P1_43,GND
#P1_44,GND
P2_1,PG7
P2_2,PG6
P2_3,PG5
P2_4,PG4
P2_5,PG3
P2_6,PG2
P2_7,PD15
P2_8,PD14
P2_9,PD13
P2_10,PD12
P2_11,PD11
P2_12,PD10
P2_13,PD9
P2_14,PD8
P2_15,PB15
P2_16,PB14
P2_17,PB13
P2_18,PB12
P2_19,PB11
P2_20,PB10
P2_21,PE15
P2_22,PE14
P2_23,PE13
P2_24,PE12
P2_25,PE11
P2_26,PE10
P3_1,PF1
P3_2,PF0
P3_3,PC15
P3_4,PC14
P3_5,PC13
P3_6,PE6
P3_7,PE5
P3_8,PE4
P3_9,PE3
P3_10,PE2
P3_11,PE1
P3_12,PE0
#P4_1,GND
#P4_2,GND
#P4_3,VCC_3V3
#P4_4,VCC_3V3
P4_5,PB9
P4_6,PB8
P4_7,PB7
P4_8,PB6
P4_9,PB5
P4_10,PB4
P4_11,PB3
P4_12,PG15
P4_13,PG14
P4_14,PG13
P4_15,PG12
P4_16,PG11
P4_17,PG10
P4_18,PG9
P4_19,PD7
P4_20,PD6
P4_21,PD5
P4_22,PD4
P4_23,PD3
P4_24,PD2
P4_25,PD1
P4_26,PD0
P4_27,PC12
P4_28,PC11
P4_29,PC10
P4_30,PA15
P4_31,PA14
P4_32,PA13
P4_33,PA12
P4_34,PA11
P4_35,PA10
P4_36,PA9
P4_37,PA8
P4_38,PC9
P4_39,PC8
P4_40,PC7
P4_41,PC6
P4_42,PG8
#P4_43,GND
#P4_44,GND
DAC1,PA4
DAC2,PA5
SRAM_CS,PG10
SF_CS,PB12
BLUE_LED,PG15
BOOT1,PB2
USB_VBUS,PA9
USB_ID,PA10
USB_DM,PA11
USB_DP,PA12
SWCLK,PA14
SWDIO,PA13
OSC32_IN,PC14
OSC32_OUT,PC15
SD_D0,PC8
SD_D1,PC9
SD_D2,PC10
SD_D3,PC11
SD_CK,PC12
SD_CMD,PD2
SD,PF10
SD_SW,PF10
ETH_MDC,PC1
ETH_MDIO,PA2
ETH_RMII_REF_CLK,PA1
ETH_RMII_CRS_DV,PA7
ETH_RMII_RXD0,PC4
ETH_RMII_RXD1,PC5
ETH_RMII_TX_EN,PB11
ETH_RMII_TXD0,PB12
ETH_RMII_TXD1,PB13
