USB1_TX,PA9
USB1_RX,PA10
USB2_TX,PC10
USB2_RX,PC11
CAN_RX,PD0
CAN_TX,PD1
LED3,PE10
SW1,PD8
OLED_SCL,PE5
OLED_SDA,PE6
OLED_RES,PE7
OLED_DC,PE8
BT_TX,PD5
BT_RX,PD6
CCD_1,PC1
CCD_2,PC2
CCD_3,PC3
PS2_3,PE15
PS2_4,PD3
PS2_5,PB13
PS2_6,PB12
U11_2,PB10
U11_3,PA14
U11_6,PC0
U11_7,PA13
U11_8,PD4
U11_9,PD11
U11_10,PD8
U11_11,PD10
U11_12,PD9
U11_13,PC15
U11_14,PD12
U11_15,PD14
U11_16,PD13
U11_17,PD15
U11_18,PA8
U11_19,PA12
U11_20,PA11
U11_23,PC12
U11_24,PD2
IMU_SCL,PB8
IMU_SDA,PB9
SW_SPDT1,PE0
POT,PB0
H1_1,PB4
H1_2,PE9
H2_1,PB5
H2_2,PE11
H3_1,PD4
H3_2,PE13
H4_1,PD7
H4_2,PE14
MA_PWM,PC6
MA_IN1,PA3
MA_IN2,PA2
MA_PHA,PB3
MA_PHB,PA15
MB_PWM,PC7
MB_IN1,PA4
MB_IN2,PA5
MB_PHA,PA7
MB_PHB,PA6
MC_PWM,PC8
MC_IN1,PE12
MC_IN2,PC5
MC_PHA,PB7
MC_PHB,PB6
MD_PWM,PC9
MD_IN1,PB11
MD_IN2,PB15
MD_PHA,PA1
MD_PHB,PA0
VIN_DIV_10,PC4
