Port ,Pin ,AF0          ,AF1              ,AF2           ,AF3             ,AF4           ,AF5                          ,AF6                ,AF7                    ,AF8      ,AF9      ,AF10       ,AF11,AF12    ,AF13,AF14,AF15    ,ADC
     ,    ,SYS_AF       ,TIM1/TIM2        ,TIM3/TIM4/TIM5,TIM9/TIM10/TIM11,I2C1/I2C2/I2C3,SPI1/SPI2/I2S2/SPI3/I2S3/SPI4,SPI2/I2S2/SPI3/I2S3,SPI3/I2S3/USART1/USART2,USART6   ,I2C2/I2C3,OTG1_FS    ,    ,SDIO    ,    ,    ,        ,ADC
PortA,PA0 ,             ,TIM2_CH1/TIM2_ETR,TIM5_CH1      ,                ,              ,                             ,                   ,USART2_CTS             ,         ,         ,           ,    ,        ,    ,    ,EVENTOUT,ADC1_IN0
PortA,PA1 ,             ,TIM2_CH2         ,TIM5_CH2      ,                ,              ,                             ,                   ,USART2_RTS             ,         ,         ,           ,    ,        ,    ,    ,EVENTOUT,ADC1_IN1
PortA,PA2 ,             ,TIM2_CH3         ,TIM5_CH3      ,TIM9_CH1        ,              ,                             ,                   ,USART2_TX              ,         ,         ,           ,    ,        ,    ,    ,EVENTOUT,ADC1_IN2
PortA,PA3 ,             ,TIM2_CH4         ,TIM5_CH4      ,TIM9_CH2        ,              ,                             ,                   ,USART2_RX              ,         ,         ,           ,    ,        ,    ,    ,EVENTOUT,ADC1_IN3
PortA,PA4 ,             ,                 ,              ,                ,              ,SPI1_NSS                     ,SPI3_NSS/I2S3_WS   ,USART2_CK              ,         ,         ,           ,    ,        ,    ,    ,EVENTOUT,ADC1_IN4
PortA,PA5 ,             ,TIM2_CH1/TIM2_ETR,              ,                ,              ,SPI1_SCK                     ,                   ,                       ,         ,         ,           ,    ,        ,    ,    ,EVENTOUT,ADC1_IN5
PortA,PA6 ,             ,TIM1_BKIN        ,TIM3_CH1      ,                ,              ,SPI1_MISO                    ,                   ,                       ,         ,         ,           ,    ,        ,    ,    ,EVENTOUT,ADC1_IN6
PortA,PA7 ,             ,TIM1_CH1N        ,TIM3_CH2      ,                ,              ,SPI1_MOSI                    ,                   ,                       ,         ,         ,           ,    ,        ,    ,    ,EVENTOUT,ADC1_IN7
PortA,PA8 ,MCO_1        ,TIM1_CH1         ,              ,                ,I2C3_SCL      ,                             ,                   ,USART1_CK              ,         ,         ,OTG_FS_SOF ,    ,        ,    ,    ,EVENTOUT,
