#  STM32F446  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0        ,AF1         ,AF2     ,AF3             ,AF4                 ,AF5                ,AF6               ,AF7                                   ,AF8                        ,AF9                       ,AF10               ,AF11,AF12            ,AF13       ,AF14,AF15    ,ADC        ,SYS
     ,    ,MCO/RTC/SYS,TIM1/2      ,TIM3/4/5,CEC/TIM8/9/10/11,CEC/I2C1/2/3/I2CFMP1,I2S1/2/3/SPI1/2/3/4,I2S2/3/SAI1/SPI3/4,I2S2/3/SPDIFRX/SPI2/3/UART5/USART1/2/3,SAI2/SPDIFRX/UART4/5/USART6,CAN1/2/QUADSPI/TIM12/13/14,QUADSPI/SAI2/USB   ,    ,FMC/SDIO/USB    ,DCMI       ,    ,EVENTOUT,ADC        ,BOOT1/DAC/OSC1/32/RTC/SYS/USB
PortA,PA0 ,           ,TIM2_CH1_ETR,TIM5_CH1,TIM8_ETR        ,                    ,                   ,                  ,USART2_CTS                            ,UART4_TX                   ,                          ,                   ,    ,                ,           ,    ,EVENTOUT,ADC123_IN0 ,RTC_TAMP1/RTC_TAMP2/RTC_TS/(RTC_AF2)/WKUP0
PortA,PA1 ,           ,TIM2_CH2    ,TIM5_CH2,                ,                    ,                   ,                  ,USART2_RTS                            ,UART4_RX                   ,QUADSPI_BK1_IO3           ,SAI2_MCLK_B        ,    ,                ,           ,    ,EVENTOUT,ADC123_IN1 ,
PortA,PA2 ,           ,TIM2_CH3    ,TIM5_CH3,TIM9_CH1        ,                    ,                   ,                  ,USART2_TX                             ,SAI2_SCK_B                 ,                          ,                   ,    ,                ,           ,    ,EVENTOUT,ADC123_IN2 ,
PortA,PA3 ,           ,TIM2_CH4    ,TIM5_CH4,TIM9_CH2        ,                    ,                   ,SAI1_FS_A         ,USART2_RX                             ,                           ,                          ,USB_OTG_HS_ULPI_D0 ,    ,                ,           ,    ,EVENTOUT,ADC123_IN3 ,
PortA,PA4 ,           ,            ,        ,                ,                    ,SPI1_NSS/I2S1_WS   ,SPI3_NSS/I2S3_WS  ,USART2_CK                             ,                           ,                          ,                   ,    ,USB_OTG_HS_SOF  ,DCMI_HSYNC ,    ,EVENTOUT,ADC12_IN4  ,DAC_OUT1
PortA,PA5 ,           ,TIM2_CH1_ETR,        ,TIM8_CH1N       ,                    ,SPI1_SCK/I2S1_CK   ,                  ,                                      ,                           ,                          ,USB_OTG_HS_ULPI_CK ,    ,                ,           ,    ,EVENTOUT,ADC12_IN5  ,DAC_OUT2
PortA,PA6 ,           ,TIM1_BKIN   ,TIM3_CH1,TIM8_BKIN       ,                    ,SPI1_MISO          ,I2S2_MCK          ,                                      ,                           ,TIM13_CH1                 ,                   ,    ,                ,DCMI_PIXCLK,    ,EVENTOUT,ADC12_IN6  ,
PortA,PA7 ,           ,TIM1_CH1N   ,TIM3_CH2,TIM8_CH1N       ,                    ,SPI1_MOSI/I2S1_SD  ,                  ,                                      ,                           ,TIM14_CH1                 ,                   ,    ,FMC_SDNWE       ,           ,    ,EVENTOUT,ADC12_IN7  ,
PortA,PA8 ,MCO_1      ,TIM1_CH1    ,        ,                ,I2C3_SCL            ,                   ,                  ,USART1_CK                             ,                           ,                          ,USB_OTG_FS_SOF     ,    ,                ,           ,    ,EVENTOUT,           ,
