Port ,Pin ,AF0          ,AF1              ,AF2     ,AF3                ,AF4            ,AF5                                 ,AF6                                     ,AF7                                 ,AF8                            ,AF9                                 ,AF10                               ,AF11      ,AF12                    ,AF13,AF14,AF15    ,ADC
     ,    ,SYS          ,TIM1/2           ,TIM3/4/5,TIM8/9/10/11/LPTIM1,I2C1/2/3/USART1,SPI1/I2S1/SPI2/I2S2/SPI3/I2S3/SPI4/5,SPI2/I2S2/SPI3/I2S3/SPI3/I2S3/SAI1/UART4,SPI2/I2S2/SPI3/I2S3/USART1/2/3/UART5,SAI2/USART6/UART4/5/7/8/OTG1_FS,CAN1/TIM12/13/14/QUADSPI/FMC/OTG2_HS,SAI2/QUADSPI/SDMMC2/OTG2_HS/OTG1_FS,SDMMC2    ,UART7/FMC/SDMMC1/OTG2_FS,    ,    ,SYS     ,ADC
PortA,PA0 ,             ,TIM2_CH1/TIM2_ETR,TIM5_CH1,TIM8_ETR           ,               ,                                    ,                                        ,USART2_CTS                          ,UART4_TX                       ,                                    ,SAI2_SD_B                          ,          ,                        ,    ,    ,EVENTOUT,ADC123_IN0
PortA,PA1 ,             ,TIM2_CH2         ,TIM5_CH2,                   ,               ,                                    ,                                        ,USART2_RTS                          ,UART4_RX                       ,QUADSPI_BK1_IO3                     ,SAI2_MCK_B                         ,          ,                        ,    ,    ,EVENTOUT,ADC123_IN1
PortA,PA2 ,             ,TIM2_CH3         ,TIM5_CH3,TIM9_CH1           ,               ,                                    ,                                        ,USART2_TX                           ,SAI2_SCK_B                     ,                                    ,                                   ,          ,                        ,    ,    ,EVENTOUT,ADC123_IN2
PortA,PA3 ,             ,TIM2_CH4         ,TIM5_CH4,TIM9_CH2           ,               ,                                    ,                                        ,USART2_RX                           ,                               ,                                    ,OTG_HS_ULPI_D0                     ,          ,                        ,    ,    ,EVENTOUT,ADC123_IN3
PortA,PA4 ,             ,                 ,        ,                   ,               ,SPI1_NSS/I2S1_WS                    ,SPI3_NSS/I2S3_WS                        ,USART2_CK                           ,                               ,                                    ,                                   ,          ,OTG_HS_SOF              ,    ,    ,EVENTOUT,ADC12_IN4
PortA,PA5 ,             ,TIM2_CH1/TIM2_ETR,        ,TIM8_CH1N          ,               ,SPI1_SCK/I2S1_CK                    ,                                        ,                                    ,                               ,                                    ,OTG_HS_ULPI_CK                     ,          ,                        ,    ,    ,EVENTOUT,ADC12_IN5
PortA,PA6 ,             ,TIM1_BKIN        ,TIM3_CH1,TIM8_BKIN          ,               ,SPI1_MISO                           ,                                        ,                                    ,                               ,TIM13_CH1                           ,                                   ,          ,                        ,    ,    ,EVENTOUT,ADC12_IN6
PortA,PA7 ,             ,TIM1_CH1N        ,TIM3_CH2,TIM8_CH1N          ,               ,SPI1_MOSI/I2S1_SD                   ,                                        ,                                    ,                               ,TIM14_CH1                           ,                                   ,          ,FMC_SDNWE               ,    ,    ,EVENTOUT,ADC12_IN7
PortA,PA8 ,MCO1         ,TIM1_CH1         ,        ,TIM8_BKIN2         ,I2C3_SCL       ,                                    ,                                        ,USART1_CK                           ,                               ,                                    ,OTG_FS_SOF                         ,          ,                        ,    ,    ,EVENTOUT,
