# This was auto-generated by make-af.csv.py
Port ,Pin ,AF0                                                                                  ,AF1                                                                         ,AF2                              ,AF3                           ,AF4                                           ,AF5                                      ,AF6                         ,AF7               ,AF8                           ,AF9           ,AF10                  ,AF11,AF12,AF13,AF14,AF15,ADC
,    ,CEC/CRS1/EVENTOUT/I2S1/2/IR/LPTIM1/RCC/SPI1/2/SYS/TIM14/15/16/17/UCPD1/2/USART1/2/3/4,CEC/EVENTOUT/I2S1/2/IR/LPTIM2/LPUART1/2/RCC/SPI1/2/TIM1/3/UCPD1/2/USART1/2/4,LPTIM1/2/TIM1/2/4/14/15/16/17/USB,FDCAN1/2/LPUART2/RCC/USART5/6 ,CRS1/I2S2/SPI2/3/TIM14/15/UCPD1/2/USART1/3/4/6,I2S1/2/LPTIM1/2/SPI2/TIM1/15/16/17/USART3,I2C1/2/3/LPUART1/UCPD1/2/USB,COMP1/2/3/EVENTOUT,I2C2/USART5/6                 ,I2C3/SPI3/TIM4,LPUART2               ,    ,    ,    ,    ,    ,ADC
PortA,PA0 ,I2S2_CK/SPI2_SCK                                                                     ,USART2_CTS/USART2_NSS                                                       ,TIM2_CH1/TIM2_ETR                ,                              ,USART4_TX                                     ,LPTIM1_OUT                               ,UCPD2_FRSTX1/UCPD2_FRSTX2   ,COMP1_OUT         ,                              ,              ,                      ,    ,    ,    ,    ,    ,ADC1_IN0
PortA,PA1 ,I2S1_CK/SPI1_SCK                                                                     ,USART2_CK/USART2_DE/USART2_RTS                                              ,TIM2_CH2                         ,                              ,USART4_RX                                     ,TIM15_CH1N                               ,I2C1_SMBA                   ,EVENTOUT          ,                              ,              ,                      ,    ,    ,    ,    ,    ,ADC1_IN1
PortA,PA2 ,I2S1_SD/SPI1_MOSI                                                                    ,USART2_TX                                                                   ,TIM2_CH3                         ,                              ,UCPD1_FRSTX1/UCPD1_FRSTX2                     ,TIM15_CH1                                ,LPUART1_TX                  ,COMP2_OUT         ,                              ,              ,                      ,    ,    ,    ,    ,    ,ADC1_IN2
PortA,PA3 ,I2S2_MCK/SPI2_MISO                                                                   ,USART2_RX                                                                   ,TIM2_CH4                         ,                              ,UCPD2_FRSTX1/UCPD2_FRSTX2                     ,TIM15_CH2                                ,LPUART1_RX                  ,EVENTOUT          ,                              ,              ,                      ,    ,    ,    ,    ,    ,ADC1_IN3
PortA,PA4 ,I2S1_WS/SPI1_NSS                                                                     ,I2S2_SD/SPI2_MOSI                                                           ,USB_NOE                          ,USART6_TX                     ,TIM14_CH1                                     ,LPTIM2_OUT                               ,UCPD2_FRSTX1/UCPD2_FRSTX2   ,EVENTOUT          ,                              ,SPI3_NSS      ,                      ,    ,    ,    ,    ,    ,ADC1_IN4
PortA,PA5 ,I2S1_CK/SPI1_SCK                                                                     ,CEC                                                                         ,TIM2_CH1/TIM2_ETR                ,USART6_RX                     ,USART3_TX                                     ,LPTIM2_ETR                               ,UCPD1_FRSTX1/UCPD1_FRSTX2   ,EVENTOUT          ,                              ,              ,                      ,    ,    ,    ,    ,    ,ADC1_IN5
PortA,PA6 ,I2S1_MCK/SPI1_MISO                                                                   ,TIM3_CH1                                                                    ,TIM1_BK                          ,USART6_CTS/USART6_NSS         ,USART3_CTS/USART3_NSS                         ,TIM16_CH1                                ,LPUART1_CTS                 ,COMP1_OUT         ,I2C2_SDA                      ,I2C3_SDA      ,                      ,    ,    ,    ,    ,    ,ADC1_IN6
PortA,PA7 ,I2S1_SD/SPI1_MOSI                                                                    ,TIM3_CH2                                                                    ,TIM1_CH1N                        ,USART6_CK/USART6_DE/USART6_RTS,TIM14_CH1                                     ,TIM17_CH1                                ,UCPD1_FRSTX1/UCPD1_FRSTX2   ,COMP2_OUT         ,I2C2_SCL                      ,I2C3_SCL      ,                      ,    ,    ,    ,    ,    ,ADC1_IN7
PortA,PA8 ,RCC_MCO                                                                              ,I2S2_WS/SPI2_NSS                                                            ,TIM1_CH1                         ,                              ,CRS1_SYNC                                     ,LPTIM2_OUT                               ,                            ,EVENTOUT          ,I2C2_SMBA                     ,              ,                      ,    ,    ,    ,    ,    ,
PortA,PA9 ,RCC_MCO                                                                              ,USART1_TX                                                                   ,TIM1_CH2                         ,                              ,I2S2_MCK/SPI2_MISO                            ,TIM15_BK                                 ,I2C1_SCL                    ,EVENTOUT          ,I2C2_SCL                      ,              ,                      ,    ,    ,    ,    ,    ,
PortA,PA10,I2S2_SD/SPI2_MOSI                                                                    ,USART1_RX                                                                   ,TIM1_CH3                         ,RCC_MCO_2                     ,                                              ,TIM17_BK                                 ,I2C1_SDA                    ,EVENTOUT          ,I2C2_SDA                      ,              ,                      ,    ,    ,    ,    ,    ,
PortA,PA11,I2S1_MCK/SPI1_MISO                                                                   ,USART1_CTS/USART1_NSS                                                       ,TIM1_CH4                         ,FDCAN1_RX                     ,                                              ,TIM1_BK2                                 ,I2C2_SCL                    ,COMP1_OUT         ,                              ,              ,                      ,    ,    ,    ,    ,    ,
PortA,PA12,I2S1_SD/SPI1_MOSI                                                                    ,USART1_CK/USART1_DE/USART1_RTS                                              ,TIM1_ETR                         ,FDCAN1_TX                     ,                                              ,I2S1_CKIN                                ,I2C2_SDA                    ,COMP2_OUT         ,                              ,              ,                      ,    ,    ,    ,    ,    ,
PortA,PA13,SWDIO                                                                                ,IR_OUT                                                                      ,USB_NOE                          ,                              ,                                              ,                                         ,                            ,EVENTOUT          ,                              ,              ,LPUART2_RX            ,    ,    ,    ,    ,    ,
PortA,PA14,SWCLK                                                                                ,USART2_TX                                                                   ,                                 ,                              ,                                              ,                                         ,                            ,EVENTOUT          ,                              ,              ,LPUART2_TX            ,    ,    ,    ,    ,    ,
PortA,PA15,I2S1_WS/SPI1_NSS                                                                     ,USART2_RX                                                                   ,TIM2_CH1/TIM2_ETR                ,RCC_MCO_2                     ,USART4_CK/USART4_DE/USART4_RTS                ,USART3_CK/USART3_DE/USART3_RTS           ,USB_NOE                     ,EVENTOUT          ,I2C2_SMBA                     ,SPI3_NSS      ,                      ,    ,    ,    ,    ,    ,
PortB,PB0 ,I2S1_WS/SPI1_NSS                                                                     ,TIM3_CH3                                                                    ,TIM1_CH2N                        ,FDCAN2_RX                     ,USART3_RX                                     ,LPTIM1_OUT                               ,UCPD1_FRSTX1/UCPD1_FRSTX2   ,COMP1_OUT         ,USART5_TX                     ,              ,LPUART2_CTS           ,    ,    ,    ,    ,    ,ADC1_IN8
PortB,PB1 ,TIM14_CH1                                                                            ,TIM3_CH4                                                                    ,TIM1_CH3N                        ,FDCAN2_TX                     ,USART3_CK/USART3_DE/USART3_RTS                ,LPTIM2_IN1                               ,LPUART1_DE/LPUART1_RTS      ,COMP3_OUT         ,USART5_RX                     ,              ,LPUART2_DE/LPUART2_RTS,    ,    ,    ,    ,    ,ADC1_IN9
PortB,PB2 ,                                                                                     ,I2S2_MCK/SPI2_MISO                                                          ,                                 ,RCC_MCO_2                     ,USART3_TX                                     ,LPTIM1_OUT                               ,                            ,EVENTOUT          ,                              ,              ,                      ,    ,    ,    ,    ,    ,ADC1_IN10
PortB,PB3 ,I2S1_CK/SPI1_SCK                                                                     ,TIM1_CH2                                                                    ,TIM2_CH2                         ,USART5_TX                     ,USART1_CK/USART1_DE/USART1_RTS                ,                                         ,I2C3_SCL                    ,EVENTOUT          ,I2C2_SCL                      ,SPI3_SCK      ,                      ,    ,    ,    ,    ,    ,
