Port ,Pin ,AF0         ,AF1                   ,AF2                              ,AF3                                             ,AF4                    ,AF5                                                  ,AF6                                        ,AF7                     ,AF8                                     ,AF9                 ,AF10                  ,AF11                ,AF12                        ,AF13                  ,AF14                      ,AF15    ,ADC
     ,    ,I2C4/SYS_AF ,LPTIM1/TIM2/5/15/16/17,I2C1/3/TIM1/2/3/4/5/8/20/15/COMP1,QUADSPI1/I2C3/4/SAI1/USB/HRTIM1/TIM8/20/15/COMP3,I2C1/2/3/4/TIM1/8/16/17,QUADSPI1/SPI1/2/3/4/I2S2/3/I2C4/UART4/5/TIM8/Infrared,QUADSPI1/SPI2/3/I2S2/3/TIM1/5/8/20/Infrared,USART1/2/3/CAN/COMP7/5/6,I2C3/4/UART4/5/LPUART1/COMP1/2/7/4/5/6/3,CAN/TIM1/8/15/CAN1/2,QUADSPI1/TIM2/3/4/8/17,LPTIM1/TIM1/8/CAN1/3,FMC/LPUART1/SAI1/HRTIM1/TIM1,SAI1SAI1/HRTIM1/OPAMP2,UART4/5/SAI1/TIM2/15/UCPD1,SYS     ,ADC
PortA,PA0 ,            ,TIM2_CH1              ,TIM5_CH1                         ,                                                ,                       ,                                                     ,                                           ,USART2_CTS              ,COMP1_OUT                               ,TIM8_BKIN           ,TIM8_ETR              ,                    ,                            ,                      ,TIM2_ETR                  ,EVENTOUT,ADC12_IN1
PortA,PA1 ,RTC_REFIN   ,TIM2_CH2              ,TIM5_CH2                         ,                                                ,                       ,                                                     ,                                           ,USART2_RTS_DE           ,                                        ,TIM15_CH1N          ,                      ,                    ,                            ,                      ,                          ,EVENTOUT,ADC12_IN2
PortA,PA2 ,            ,TIM2_CH3              ,TIM5_CH3                         ,                                                ,                       ,                                                     ,                                           ,USART2_TX               ,COMP2_OUT                               ,TIM15_CH1           ,QUADSPI_BK1_NCS      ,                    ,LPUART1_TX                  ,                      ,UCPD1_FRSTX               ,EVENTOUT,ADC1_IN3
PortA,PA3 ,            ,TIM2_CH4              ,TIM5_CH4                         ,SAI1_CK1                                        ,                       ,                                                     ,                                           ,USART2_RX               ,                                        ,TIM15_CH2           ,QUADSPI_CLK          ,                    ,LPUART1_RX                  ,SAI1_MCLK_A           ,                          ,EVENTOUT,ADC1_IN4
PortA,PA4 ,            ,                      ,TIM3_CH2                         ,                                                ,                       ,SPI1_NSS                                             ,SPI3_NSS/I2S3_WS                           ,USART2_CK               ,                                        ,                    ,                      ,                    ,                            ,SAI1_FS_B             ,                          ,EVENTOUT,ADC2_IN17
PortA,PA5 ,            ,TIM2_CH1              ,TIM2_ETR                         ,                                                ,                       ,SPI1_SCK                                             ,                                           ,                        ,                                        ,                    ,                      ,                    ,                            ,                      ,UCPD1_FRSTX               ,EVENTOUT,ADC2_IN13
PortA,PA6 ,            ,TIM16_CH1             ,TIM3_CH1                         ,                                                ,TIM8_BKIN              ,SPI1_MISO                                            ,TIM1_BKIN                                  ,                        ,COMP1_OUT                               ,                    ,QUADSPI_BK1_IO3      ,                    ,LPUART1_CTS                 ,                      ,                          ,EVENTOUT,ADC2_IN3
PortA,PA7 ,            ,TIM17_CH1             ,TIM3_CH2                         ,                                                ,TIM8_CH1N              ,SPI1_MOSI                                            ,TIM1_CH1N                                  ,                        ,COMP2_OUT                               ,                    ,QUADSPI_BK1_IO2      ,                    ,                            ,                      ,UCPD1_FRSTX               ,EVENTOUT,ADC2_IN4
PortA,PA8 ,MCO         ,                      ,I2C3_SCL                         ,                                                ,I2C2_SDA               ,I2S2_MCK                                             ,TIM1_CH1                                   ,USART1_CK               ,COMP7_OUT                               ,                    ,TIM4_ETR              ,CAN3_RX             ,SAI1_CK2                    ,HRTIM1_CHA1           ,SAI1_SCK_A                ,EVENTOUT,ADC5_IN1
