# This was auto-generated by make-af.csv.py
Port ,Pin ,AF0              ,AF1                ,AF2                       ,AF3                                  ,AF4                                           ,AF5                                             ,AF6                                                  ,AF7                                                 ,AF8                               ,AF9                                  ,AF10                                 ,AF11                                 ,AF12            ,AF13                 ,AF14                   ,AF15    ,ADC
,    ,DEBUG/PWR/RCC/RTC,LPTIM1/TIM1/2/16/17,LPTIM3/SAI1/TIM3/4/5/12/15,I3C1/LPTIM2/3/LPUART1/OCTOSPI1/TIM1/8,CEC/I2C1/2/3/4/LPTIM1/2/PSSI/SPI1/TIM15/USART1,AUDIOCLK/CEC/I2S1/2/3/I3C1/LPTIM1/SPI1/2/3/4/5/6,I2C4/I2S3/OCTOSPI1/SAI1/SPI3/4/UART4/12/UCPD1/USART10,I2S2/3/SDMMC1/SPI2/3/6/UART7/8/12/USART1/2/3/6/10/11,LPUART1/SAI2/SDMMC1/SPI6/UART4/5/8,FDCAN1/2/FMC/OCTOSPI1/SDMMC2/TIM13/14,CRS/FMC/OCTOSPI1/SAI2/SDMMC2/TIM8/USB,ETH/FMC/OCTOSPI1/SDMMC2/UART7/9/UCPD1,FMC/SDMMC1      ,DCMI/FMC/LPTIM5/PSSI ,LPTIM3/4/5/6/TIM2/UART5,EVENTOUT,ADC
PortA,PA0 ,                 ,TIM2_CH1           ,TIM5_CH1                  ,TIM8_ETR                             ,TIM15_BKIN                                    ,SPI6_NSS                                        ,SPI3_RDY                                             ,USART2_CTS/USART2_NSS                               ,UART4_TX                          ,SDMMC2_CMD                           ,SAI2_SD_B                            ,ETH_MII_CRS                          ,                ,                     ,TIM2_ETR               ,EVENTOUT,ADC12_INN1/ADC12_INP0
PortA,PA1 ,                 ,TIM2_CH2           ,TIM5_CH2                  ,                                     ,TIM15_CH1N                                    ,LPTIM1_IN1                                      ,OCTOSPI1_DQS                                         ,USART2_RTS                                          ,UART4_RX                          ,OCTOSPI1_IO3                         ,SAI2_MCLK_B                          ,ETH_RMII_REF_CLK/ETH_MII_RX_CLK      ,                ,                     ,                       ,EVENTOUT,ADC12_INP1
PortA,PA2 ,                 ,TIM2_CH3           ,TIM5_CH3                  ,                                     ,TIM15_CH1                                     ,LPTIM1_IN2                                      ,                                                     ,USART2_TX                                           ,SAI2_SCK_B                        ,                                     ,                                     ,ETH_MDIO                             ,                ,                     ,                       ,EVENTOUT,ADC12_INP14
PortA,PA3 ,                 ,TIM2_CH4           ,TIM5_CH4                  ,OCTOSPI1_CLK                         ,TIM15_CH2                                     ,I2S2_WS/SPI2_NSS                                ,SAI1_SD_B                                            ,USART2_RX                                           ,                                  ,                                     ,                                     ,ETH_MII_COL                          ,                ,                     ,                       ,EVENTOUT,ADC12_INP15
PortA,PA4 ,                 ,                   ,TIM5_ETR                  ,LPTIM2_CH1                           ,                                              ,I2S1_WS/SPI1_NSS                                ,I2S3_WS/SPI3_NSS                                     ,USART2_CK                                           ,SPI6_NSS                          ,                                     ,                                     ,                                     ,                ,DCMI_HSYNC/PSSI_DE   ,                       ,EVENTOUT,ADC12_INP18
PortA,PA5 ,                 ,TIM2_CH1           ,                          ,TIM8_CH1N                            ,                                              ,I2S1_CK/SPI1_SCK                                ,                                                     ,                                                    ,SPI6_SCK                          ,                                     ,                                     ,ETH_MII_TX_EN/ETH_RMII_TX_EN         ,                ,PSSI_D14             ,TIM2_ETR               ,EVENTOUT,ADC12_INN18/ADC12_INP19
PortA,PA6 ,                 ,TIM1_BKIN          ,TIM3_CH1                  ,TIM8_BKIN                            ,                                              ,I2S1_SDI/SPI1_MISO                              ,OCTOSPI1_IO3                                         ,USART11_TX                                          ,SPI6_MISO                         ,TIM13_CH1                            ,                                     ,                                     ,                ,DCMI_PIXCLK/PSSI_PDCK,                       ,EVENTOUT,ADC12_INP3
PortA,PA7 ,                 ,TIM1_CH1N          ,TIM3_CH2                  ,TIM8_CH1N                            ,                                              ,I2S1_SDO/SPI1_MOSI                              ,                                                     ,USART11_RX                                          ,SPI6_MOSI                         ,TIM14_CH1                            ,OCTOSPI1_IO2                         ,ETH_RMII_CRS_DV/ETH_MII_RX_DV        ,FMC_SDNWE       ,FMC_NWE              ,                       ,EVENTOUT,ADC12_INN3/ADC12_INP7
PortA,PA8 ,RCC_MCO_1        ,TIM1_CH1           ,                          ,TIM8_BKIN2                           ,I2C3_SCL                                      ,SPI1_RDY                                        ,                                                     ,USART1_CK                                           ,                                  ,                                     ,USB_SOF                              ,UART7_RX                             ,FMC_NOE         ,DCMI_D3/PSSI_D3      ,                       ,EVENTOUT,
