#  STM32H743  This was auto-generated by make-af-csv.py
Port ,Pin  ,AF0              ,AF1                      ,AF2                   ,AF3                                   ,AF4                                      ,AF5                        ,AF6                               ,AF7                                      ,AF8                                          ,AF9                                                   ,AF10                                  ,AF11                                            ,AF12                             ,AF13                           ,AF14     ,AF15    ,ADC                      ,SYS
     ,     ,DEBUG/MCO/PWR/RTC,HRTIM/LPTIM1/TIM1/2/16/17,HRTIM/SAI1/TIM3/4/5/12,DFSDM1/HRTIM/LPTIM2/3/4/5/LPUART1/TIM8,CEC/DFSDM1/I2C1/2/3/4/LPTIM2/TIM15/USART1,CEC/I2S1/2/3/SPI1/2/3/4/5/6,DFSDM1/I2C4/I2S3/SAI1/3/SPI3/UART4,I2S2/3/SDMMC1/SPI2/3/6/UART7/USART1/2/3/6,LPUART1/SAI2/4/SDMMC1/SPDIFRX1/SPI6/UART4/5/8,FDCAN1/2/FMC/LCD/QUADSPI/SAI4/SDMMC2/SPDIFRX1/TIM13/14,CRS/LCD/QUADSPI/SAI2/4/SDMMC2/TIM8/USB,DFSDM1/ETH/I2C4/MDIOS/SDMMC2/SWPMI1/TIM1/8/UART7,FMC/LCD/MDIOS/SDMMC1/TIM1/8/USB  ,COMP1/2/DCMI/LCD/TIM1          ,LCD/UART5,EVENTOUT,ADC                      ,DAC1/OSC1/32/PWR/RTC/USB
PortA,PA0  ,                 ,TIM2_CH1_ETR             ,TIM5_CH1              ,TIM8_ETR                              ,TIM15_BKIN                               ,                           ,                                  ,USART2_CTS/USART2_NSS                    ,UART4_TX                                     ,SDMMC2_CMD                                            ,SAI2_SD_B                             ,ETH_MII_CRS                                     ,                                 ,                               ,         ,EVENTOUT,ADC1_INP16               ,PWR_WKUP1
PortA,PA0_C,                 ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,        ,ADC12_INP0/ADC12_INN1    ,
PortA,PA0_C,                 ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,        ,ADC12_INP0/ADC12_INN1    ,
PortA,PA1  ,                 ,TIM2_CH2                 ,TIM5_CH2              ,LPTIM3_OUT                            ,TIM15_CH1N                               ,                           ,                                  ,USART2_RTS/USART2_DE                     ,UART4_RX                                     ,QUADSPI_BK1_IO3                                       ,SAI2_MCLK_B                           ,ETH_MII_RX_CLK/ETH_RMII_REF_CLK                 ,                                 ,                               ,LCD_R2   ,EVENTOUT,ADC1_INP17/ADC1_INN16    ,
PortA,PA1_C,                 ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,        ,ADC12_INP1               ,
PortA,PA1_C,                 ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,        ,ADC12_INP1               ,
PortA,PA2  ,                 ,TIM2_CH3                 ,TIM5_CH3              ,LPTIM4_OUT                            ,TIM15_CH1                                ,                           ,                                  ,USART2_TX                                ,SAI2_SCK_B                                   ,                                                      ,                                      ,ETH_MDIO                                        ,MDIOS_MDIO                       ,                               ,LCD_R1   ,EVENTOUT,ADC12_INP14              ,PWR_WKUP2
PortA,PA3  ,                 ,TIM2_CH4                 ,TIM5_CH4              ,LPTIM5_OUT                            ,TIM15_CH2                                ,                           ,                                  ,USART2_RX                                ,                                             ,LCD_B2                                                ,USB_OTG_HS_ULPI_D0                    ,ETH_MII_COL                                     ,                                 ,                               ,LCD_B5   ,EVENTOUT,ADC12_INP15              ,
PortA,PA4  ,                 ,                         ,TIM5_ETR              ,                                      ,                                         ,SPI1_NSS/I2S1_WS           ,SPI3_NSS/I2S3_WS                  ,USART2_CK                                ,SPI6_NSS                                     ,                                                      ,                                      ,                                                ,USB_OTG_HS_SOF                   ,DCMI_HSYNC                     ,LCD_VSYNC,EVENTOUT,ADC12_INP18              ,DAC1_OUT1
