#  STM32L072  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0                                                                ,AF1                 ,AF2                                                              ,AF3              ,AF4                                   ,AF5                             ,AF6                                   ,AF7                 ,AF8 ,AF9 ,AF10,AF11,AF12,AF13,AF14,AF15,ADC      ,SYS
     ,    ,CRS/EVENTOUT/I2S2/LPTIM1/LPUART1/MCO/SPI1/2/SYS/TIM2/21/22/USART1/2,I2C1/I2S2/SPI2/TIM21,CRS/EVENTOUT/I2S2/LPTIM1/LPUART1/MCO/RTC/SPI1/2/TIM2/3/USART5/USB,EVENTOUT/I2C1/TSC,EVENTOUT/I2C1/LPUART1/TIM3/22/USART1/2,I2C2/I2S2/SPI2/TIM2/21/22/USART1,EVENTOUT/I2C1/2/LPUART1/TIM21/USART4/5,COMP1/2/I2C3/LPUART1,    ,    ,    ,    ,    ,    ,    ,    ,ADC      ,DAC/OSC1/32/RTC/SYS
PortA,PA0 ,                                                                   ,                    ,TIM2_CH1                                                         ,TSC_G1_IO1       ,USART2_CTS                            ,TIM2_ETR                        ,USART4_TX                             ,COMP1_OUT           ,    ,    ,    ,    ,    ,    ,    ,    ,ADC1_IN0 ,RTC_TAMP2/WKUP1
PortA,PA1 ,EVENTOUT                                                           ,                    ,TIM2_CH2                                                         ,TSC_G1_IO2       ,USART2_RTS/USART2_DE                  ,TIM21_ETR                       ,USART4_RX                             ,                    ,    ,    ,    ,    ,    ,    ,    ,    ,ADC1_IN1 ,
PortA,PA2 ,TIM21_CH1                                                          ,                    ,TIM2_CH3                                                         ,TSC_G1_IO3       ,USART2_TX                             ,                                ,LPUART1_TX                            ,COMP2_OUT           ,    ,    ,    ,    ,    ,    ,    ,    ,ADC1_IN2 ,
PortA,PA3 ,TIM21_CH2                                                          ,                    ,TIM2_CH4                                                         ,TSC_G1_IO4       ,USART2_RX                             ,                                ,LPUART1_RX                            ,                    ,    ,    ,    ,    ,    ,    ,    ,    ,ADC1_IN3 ,
PortA,PA4 ,SPI1_NSS                                                           ,                    ,                                                                 ,TSC_G2_IO1       ,USART2_CK                             ,TIM22_ETR                       ,                                      ,                    ,    ,    ,    ,    ,    ,    ,    ,    ,ADC1_IN4 ,DAC_OUT1
PortA,PA5 ,SPI1_SCK                                                           ,                    ,TIM2_ETR                                                         ,TSC_G2_IO2       ,                                      ,TIM2_CH1                        ,                                      ,                    ,    ,    ,    ,    ,    ,    ,    ,    ,ADC1_IN5 ,DAC_OUT2
PortA,PA6 ,SPI1_MISO                                                          ,                    ,TIM3_CH1                                                         ,TSC_G2_IO3       ,LPUART1_CTS                           ,TIM22_CH1                       ,EVENTOUT                              ,COMP1_OUT           ,    ,    ,    ,    ,    ,    ,    ,    ,ADC1_IN6 ,
PortA,PA7 ,SPI1_MOSI                                                          ,                    ,TIM3_CH2                                                         ,TSC_G2_IO4       ,                                      ,TIM22_CH2                       ,EVENTOUT                              ,COMP2_OUT           ,    ,    ,    ,    ,    ,    ,    ,    ,ADC1_IN7 ,
PortA,PA8 ,MCO                                                                ,                    ,CRS_SYNC                                                         ,EVENTOUT         ,USART1_CK                             ,                                ,                                      ,I2C3_SCL            ,    ,    ,    ,    ,    ,    ,    ,    ,         ,
