Port ,Pin ,AF0          ,AF1                       ,AF2                     ,AF3             ,AF4           ,AF5            ,AF6          ,AF7                 ,AF8                   ,AF9       ,AF10           ,AF11                        ,AF12                         ,AF13           ,AF14                         ,AF15    ,ADC
     ,    ,SYS_AF       ,TIM1/TIM2/TIM5/TIM8/LPTIM1,TIM1/TIM2/TIM3/TIM4/TIM5,TIM8            ,I2C1/I2C2/I2C3,SPI1/SPI2      ,SPI3/DFSDM   ,USART1/USART2/USART3,UART4/UART5/LPUART1   ,CAN1/TSC  ,OTG_FS/QUADSPI ,LCD                         ,SDMMC1/COMP1/COMP2/FMC/SWPMI1,SAI1/SAI2      ,TIM2/TIM15/TIM16/TIM17/LPTIM2,EVENTOUT,ADC
PortA,PA0 ,             ,TIM2_CH1                  ,TIM5_CH1                ,TIM8_ETR        ,              ,               ,             ,USART2_CTS          ,UART4_TX              ,          ,               ,                            ,                             ,SAI1_EXTCLK    ,TIM2_ETR                     ,EVENTOUT,ADC12_IN5
PortA,PA1 ,             ,TIM2_CH2                  ,TIM5_CH2                ,                ,I2C1_SMBA     ,SPI1_SCK       ,             ,USART2_RTS/USART2_DE,UART4_RX              ,          ,               ,LCD_SEG0                    ,                             ,               ,TIM15_CH1N                   ,EVENTOUT,ADC12_IN6
PortA,PA2 ,             ,TIM2_CH3                  ,TIM5_CH3                ,                ,              ,               ,             ,USART2_TX           ,LPUART1_TX            ,          ,QUADSPI_BK1_NCS,LCD_SEG1                    ,                             ,SAI2_EXTCLK    ,TIM15_CH1                    ,EVENTOUT,ADC12_IN7
PortA,PA3 ,             ,TIM2_CH4                  ,TIM5_CH4                ,                ,              ,               ,             ,USART2_RX           ,LPUART1_RX            ,          ,QUADSPI_CLK    ,LCD_SEG2                    ,                             ,SAI1_MCLK_A    ,TIM15_CH2                    ,EVENTOUT,ADC12_IN8
PortA,PA4 ,             ,                          ,                        ,                ,              ,SPI1_NSS       ,SPI3_NSS     ,USART2_CK           ,                      ,          ,DCMI_HSYNC     ,                            ,                             ,SAI1_FS_B      ,LPTIM2_OUT                   ,EVENTOUT,ADC12_IN9
PortA,PA5 ,             ,TIM2_CH1                  ,TIM2_ETR                ,TIM8_CH1N       ,              ,SPI1_SCK       ,             ,                    ,                      ,          ,               ,                            ,                             ,               ,LPTIM2_ETR                   ,EVENTOUT,ADC12_IN10
PortA,PA6 ,             ,TIM1_BKIN                 ,TIM3_CH1                ,TIM8_BKIN       ,DCMI_PIXCLK   ,SPI1_MISO      ,             ,USART3_CTS          ,LPUART1_CTS           ,          ,QUADSPI_BK1_IO3,LCD_SEG3                    ,TIM1_BKIN_COMP2              ,TIM8_BKIN_COMP2,TIM16_CH1                    ,EVENTOUT,ADC12_IN11
PortA,PA7 ,             ,TIM1_CH1N                 ,TIM3_CH2                ,TIM8_CH1N       ,I2C3_SCL      ,SPI1_MOSI      ,             ,                    ,                      ,          ,QUADSPI_BK1_IO2,LCD_SEG4                    ,                             ,               ,TIM17_CH1                    ,EVENTOUT,ADC12_IN12
PortA,PA8 ,MCO          ,TIM1_CH1                  ,                        ,                ,              ,               ,             ,USART1_CK           ,                      ,          ,OTG_FS_SOF     ,LCD_COM0                    ,SWPMI1_IO                    ,SAI1_SCK_A     ,LPTIM2_OUT                   ,EVENTOUT,
