#  STM32N657  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0                    ,AF1                  ,AF2                             ,AF3                                ,AF4                              ,AF5                                    ,AF6                                      ,AF7                                                  ,AF8                                       ,AF9                                ,AF10                                                          ,AF11                                               ,AF12                      ,AF13         ,AF14           ,AF15        ,ADC                    ,SYS
     ,    ,BOOT1/DEBUG/MCO/PWR/RTC,LPTIM1/5/TIM1/2/16/17,GFXTIM/I3C2/SAI1/TIM2/3/4/5/8/12,ADF1/LPTIM2/3/4/LPUART1/TIM9/USART3,I2C1/2/3/4/I3C1/MDF1/TIM15/USART1,AUDIOCLK/I2S1/2/3/6/I3C1/SPI1/2/3/4/5/6,FDCAN1/2/3/I2S3/SAI1/SPI3/4/UCPD1/USART10,I2S2/3/6/I3C1/SPI2/3/6/TIM15/UART9/UCPD1/USART1/2/3/6,GFXTIM/I2S6/SPDIFRX1/SPI6/UART4/7/8/USART2,DCMI/DCMIPP/PSSI/SPI5/TIM11/XSPIM  ,DCMI/DCMIPP/FMC/LCD/MDIOS/PSSI/SAI2/SDMMC1/SPI1/TIM10/13/UART7,ETH1/MDIOS/SDMMC2/TIM14/UART5                      ,ETH1/FMC/GFXTIM/LCD/SDMMC1,GFXTIM/TIM1  ,FMC/LCD        ,EVENTOUT/HDP,ADC                    ,OSC1/32/PWR/RTC/TAMP
PortA,PA0 ,                       ,TIM2_CH1             ,TIM5_CH1                        ,TIM9_CH1                           ,TIM15_BKIN                       ,SPI6_NSS/I2S6_WS                       ,                                         ,USART2_CTS/USART2_NSS                                ,UART4_TX                                  ,                                   ,SAI2_SD_B                                                     ,SDMMC2_CMD                                         ,FMC_D7/FMC_DA7            ,             ,LCD_G3         ,HDP_HDP0    ,ADC12_INP0/ADC12_INN1  ,PWR_WKUP1
PortA,PA1 ,                       ,TIM2_CH2             ,TIM5_CH2                        ,LPTIM3_IN1                         ,TIM15_CH1N                       ,                                       ,                                         ,USART2_RTS/USART2_DE                                 ,UART4_RX                                  ,DCMIPP_D0/DCMI_D0/PSSI_D0          ,SAI2_MCLK_B                                                   ,                                                   ,FMC_D6/FMC_DA6            ,             ,LCD_G2         ,HDP_HDP1    ,ADC12_INP1             ,
PortA,PA2 ,                       ,TIM2_CH3             ,TIM5_CH3                        ,LPTIM3_IN2                         ,TIM15_CH1                        ,                                       ,                                         ,USART2_TX                                            ,                                          ,                                   ,SAI2_SCK_B                                                    ,MDIOS_MDIO                                         ,FMC_D5/FMC_DA5            ,             ,LCD_B7         ,HDP_HDP2    ,ADC12_INP14            ,PWR_WKUP2
PortA,PA3 ,                       ,TIM16_CH1            ,                                ,                                   ,                                 ,SPI5_NSS                               ,SAI1_SD_B                                ,                                                     ,UART7_RX                                  ,                                   ,                                                              ,                                                   ,FMC_A17/FMC_ALE           ,             ,               ,EVENTOUT    ,                       ,
PortA,PA4 ,                       ,                     ,                                ,                                   ,                                 ,SPI5_MOSI                              ,                                         ,USART6_RX                                            ,                                          ,DCMIPP_D3/DCMI_D3/PSSI_D3          ,                                                              ,                                                   ,FMC_A13                   ,             ,               ,EVENTOUT    ,                       ,
PortA,PA5 ,PWR_CSTOP              ,TIM2_CH1             ,TIM2_ETR                        ,TIM9_CH2                           ,I3C1_SCL                         ,SPI1_SCK/I2S1_CK                       ,                                         ,                                                     ,SPI6_SCK/I2S6_CK                          ,DCMIPP_D8/DCMI_D8/PSSI_D8          ,TIM10_CH1                                                     ,                                                   ,FMC_NOE                   ,             ,LCD_CLK        ,HDP_HDP5    ,ADC2_INP18             ,
PortA,PA6 ,BOOT1                  ,TIM1_BKIN            ,TIM3_CH1                        ,LPTIM3_ETR                         ,I3C1_SDA                         ,SPI1_MISO/I2S1_SDI                     ,                                         ,                                                     ,SPI6_MISO/I2S6_SDI                        ,DCMIPP_PIXCLK/DCMI_PIXCLK/PSSI_PDCK,TIM13_CH1                                                     ,MDIOS_MDC                                          ,LCD_B7                    ,             ,LCD_HSYNC      ,HDP_HDP6    ,ADC12_INP3             ,
PortA,PA7 ,                       ,TIM1_CH1N            ,TIM3_CH2                        ,                                   ,                                 ,SPI1_MOSI/I2S1_SDO                     ,                                         ,USART1_RX                                            ,SPI6_MOSI/I2S6_SDO                        ,                                   ,LCD_R4                                                        ,TIM14_CH1                                          ,                          ,             ,LCD_B1         ,HDP_HDP7    ,                       ,
PortA,PA8 ,MCO_1                  ,TIM1_CH1             ,I3C2_SCL                        ,                                   ,I2C3_SCL                         ,                                       ,                                         ,USART1_CK                                            ,                                          ,TIM11_CH1                          ,UART7_RX                                                      ,                                                   ,FMC_D4/FMC_DA4            ,             ,LCD_B6         ,HDP_HDP0    ,ADC12_INP5             ,
