#  STM32U5A5  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0                         ,AF1                 ,AF2                           ,AF3                                       ,AF4                          ,AF5                                  ,AF6               ,AF7                 ,AF8                   ,AF9       ,AF10                      ,AF11            ,AF12                      ,AF13                    ,AF14                  ,AF15    ,ADC                 ,SYS
     ,    ,CRS/DEBUG/LPTIM1/MCO/PWR/RTC,IR/LPTIM1/TIM1/2/5/8,I2C5/6/LPTIM1/2/3/TIM1/2/3/4/5,ADF1/I2C4/OCTOSPIM/SAI1/SPI2/TIM1/8/USART2,DCMI/I2C1/2/3/4/5/LPTIM3/PSSI,DCMI/I2C4/MDF1/OCTOSPIM/PSSI/SPI1/2/3,MDF1/OCTOSPIM/SPI3,USART1/2/3/6        ,LPUART1/SDMMC1/UART4/5,FDCAN1/TSC,CRS/DCMI/OCTOSPIM/PSSI/USB,FMC/SDMMC2/UCPD1,COMP1/2/DEBUG/FMC/SDMMC1/2,AUDIOCLK/LPTIM2/4/SAI1/2,LPTIM2/3/TIM2/15/16/17,EVENTOUT,ADC                 ,BOOT0/DAC1/LSCO/OSC1/32/PWR/RTC/TAMP/USB
PortA,PA0 ,                            ,TIM2_CH1            ,TIM5_CH1                      ,TIM8_ETR                                  ,                             ,                                     ,SPI3_RDY          ,USART2_CTS          ,UART4_TX              ,          ,OCTOSPIM_P2_NCS           ,                ,SDMMC2_CMD                ,AUDIOCLK                ,TIM2_ETR              ,EVENTOUT,ADC12_IN5           ,PWR_WKUP1/TAMP_IN2/TAMP_OUT1
PortA,PA1 ,LPTIM1_CH2                  ,TIM2_CH2            ,TIM5_CH2                      ,                                          ,I2C1_SMBA                    ,SPI1_SCK                             ,                  ,USART2_RTS/USART2_DE,UART4_RX              ,          ,OCTOSPIM_P1_DQS           ,                ,                          ,                        ,TIM15_CH1N            ,EVENTOUT,ADC12_IN6           ,PWR_WKUP3/TAMP_IN5/TAMP_OUT4
PortA,PA2 ,                            ,TIM2_CH3            ,TIM5_CH3                      ,                                          ,                             ,SPI1_RDY                             ,                  ,USART2_TX           ,LPUART1_TX            ,          ,OCTOSPIM_P1_NCS           ,UCPD1_FRSTX     ,                          ,                        ,TIM15_CH1             ,EVENTOUT,ADC12_IN7           ,PWR_WKUP4/LSCO
PortA,PA3 ,                            ,TIM2_CH4            ,TIM5_CH4                      ,SAI1_CK1                                  ,                             ,                                     ,                  ,USART2_RX           ,LPUART1_RX            ,          ,OCTOSPIM_P1_CLK           ,                ,                          ,SAI1_MCLK_A             ,TIM15_CH2             ,EVENTOUT,ADC12_IN8           ,PWR_WKUP5
PortA,PA4 ,                            ,                    ,                              ,OCTOSPIM_P1_NCS                           ,                             ,SPI1_NSS                             ,SPI3_NSS          ,USART2_CK           ,                      ,          ,PSSI_DE/DCMI_HSYNC        ,                ,                          ,SAI1_FS_B               ,LPTIM2_CH1            ,EVENTOUT,ADC124_IN9          ,DAC1_OUT1/PWR_WKUP2
PortA,PA5 ,PWR_CSLEEP                  ,TIM2_CH1            ,TIM2_ETR                      ,TIM8_CH1N                                 ,PSSI_D14                     ,SPI1_SCK                             ,                  ,USART3_RX           ,                      ,          ,                          ,                ,                          ,                        ,LPTIM2_ETR            ,EVENTOUT,ADC124_IN10         ,DAC1_OUT2/PWR_WKUP6
PortA,PA6 ,PWR_CDSTOP                  ,TIM1_BKIN           ,TIM3_CH1                      ,TIM8_BKIN                                 ,DCMI_PIXCLK/PSSI_PDCK        ,SPI1_MISO                            ,                  ,USART3_CTS          ,LPUART1_CTS           ,          ,OCTOSPIM_P1_IO3           ,                ,                          ,                        ,TIM16_CH1             ,EVENTOUT,ADC124_IN11         ,PWR_WKUP7
PortA,PA7 ,PWR_SRDSTOP                 ,TIM1_CH1N           ,TIM3_CH2                      ,TIM8_CH1N                                 ,I2C3_SCL                     ,SPI1_MOSI                            ,                  ,USART3_TX           ,                      ,          ,OCTOSPIM_P1_IO2           ,                ,                          ,LPTIM2_CH2              ,TIM17_CH1             ,EVENTOUT,ADC12_IN12/ADC4_IN20,PWR_WKUP8
PortA,PA8 ,MCO                         ,TIM1_CH1            ,                              ,SAI1_CK2                                  ,                             ,SPI1_RDY                             ,                  ,USART1_CK           ,                      ,          ,USB_OTG_HS_SOF            ,                ,DEBUG_TRACECLK            ,SAI1_SCK_A              ,LPTIM2_CH1            ,EVENTOUT,                    ,
