#  STM32WB55  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0             ,AF1          ,AF2       ,AF3           ,AF4      ,AF5      ,AF6             ,AF7                  ,AF8                   ,AF9       ,AF10           ,AF11                        ,AF12        ,AF13       ,AF14             ,AF15,ADC      ,SYS
     ,    ,LSCO/MCO/RTC/SYS,LPTIM1/TIM1/2,TIM1/2    ,SAI1/SPI2/TIM1,I2C1/3   ,SPI1/2   ,LSCO/MCO/RF     ,USART1               ,IR/LPUART1            ,TSC       ,CRS/QUADSPI/USB,LCD                         ,COMP1/2/TIM1,SAI1       ,LPTIM2/TIM2/16/17,    ,ADC      ,BOOT0/OSC32/RTC/SYS
PortA,PA0 ,                ,TIM2_CH1     ,          ,              ,         ,         ,                ,                     ,                      ,          ,               ,                            ,COMP1_OUT   ,SAI1_EXTCLK,TIM2_ETR         ,    ,ADC1_IN5 ,RTC_TAMP2/WKUP1
PortA,PA1 ,                ,TIM2_CH2     ,          ,              ,I2C1_SMBA,SPI1_SCK ,                ,                     ,                      ,          ,               ,LCD_SEG0                    ,            ,           ,                 ,    ,ADC1_IN6 ,
PortA,PA2 ,LSCO            ,TIM2_CH3     ,          ,              ,         ,         ,                ,                     ,LPUART1_TX            ,          ,QUADSPI_BK1_NCS,LCD_SEG1                    ,COMP2_OUT   ,           ,                 ,    ,ADC1_IN7 ,WKUP4
PortA,PA3 ,                ,TIM2_CH4     ,          ,SAI1_CK1      ,         ,         ,                ,                     ,LPUART1_RX            ,          ,QUADSPI_CLK    ,LCD_SEG2                    ,            ,SAI1_MCLK_A,                 ,    ,ADC1_IN8 ,
PortA,PA4 ,                ,             ,          ,              ,         ,SPI1_NSS ,                ,                     ,                      ,          ,               ,LCD_SEG5                    ,            ,SAI1_FS_B  ,LPTIM2_OUT       ,    ,ADC1_IN9 ,
PortA,PA5 ,                ,TIM2_CH1     ,TIM2_ETR  ,              ,         ,SPI1_SCK ,                ,                     ,                      ,          ,               ,                            ,            ,SAI1_SD_B  ,LPTIM2_ETR       ,    ,ADC1_IN10,
PortA,PA6 ,                ,             ,          ,              ,         ,SPI1_MISO,                ,                     ,LPUART1_CTS           ,          ,QUADSPI_BK1_IO3,LCD_SEG3                    ,TIM1_BKIN   ,           ,TIM16_CH1        ,    ,ADC1_IN11,
PortA,PA7 ,                ,TIM1_CH1N    ,          ,              ,I2C3_SCL ,SPI1_MOSI,                ,                     ,                      ,          ,QUADSPI_BK1_IO2,LCD_SEG4                    ,COMP2_OUT   ,           ,TIM17_CH1        ,    ,ADC1_IN12,
PortA,PA8 ,MCO             ,TIM1_CH1     ,          ,SAI1_CK2      ,         ,         ,                ,USART1_CK            ,                      ,          ,               ,LCD_COM0                    ,            ,SAI1_SCK_A ,LPTIM2_OUT       ,    ,ADC1_IN15,
PortA,PA9 ,                ,TIM1_CH2     ,          ,SAI1_D2       ,I2C1_SCL ,SPI2_SCK ,                ,USART1_TX            ,                      ,          ,               ,LCD_COM1                    ,            ,SAI1_FS_A  ,                 ,    ,ADC1_IN16,
PortA,PA10,                ,TIM1_CH3     ,          ,SAI1_D1       ,I2C1_SDA ,         ,                ,USART1_RX            ,                      ,          ,CRS_SYNC       ,LCD_COM2                    ,            ,SAI1_SD_A  ,TIM17_BKIN       ,    ,         ,
PortA,PA11,                ,TIM1_CH4     ,          ,              ,         ,SPI1_MISO,                ,USART1_CTS/USART1_NSS,                      ,          ,USB_DM         ,                            ,TIM1_BKIN2  ,           ,                 ,    ,         ,
PortA,PA12,                ,TIM1_ETR     ,          ,              ,         ,SPI1_MOSI,                ,USART1_RTS/USART1_DE ,LPUART1_RX            ,          ,USB_DP         ,                            ,            ,           ,                 ,    ,         ,
PortA,PA13,JTMS_SWDIO      ,             ,          ,              ,         ,         ,                ,                     ,IR_OUT                ,          ,USB_NOE        ,                            ,            ,SAI1_SD_B  ,                 ,    ,         ,
PortA,PA14,JTCK_SWCLK      ,LPTIM1_OUT   ,          ,              ,I2C1_SMBA,         ,                ,                     ,                      ,          ,               ,LCD_SEG5                    ,            ,SAI1_FS_B  ,                 ,    ,         ,
PortA,PA15,JTDI            ,TIM2_CH1     ,TIM2_ETR  ,              ,         ,SPI1_NSS ,MCO             ,                     ,                      ,TSC_G3_IO1,               ,LCD_SEG17                   ,            ,           ,                 ,    ,         ,
PortB,PB0 ,                ,             ,          ,              ,         ,         ,RF_TX_MOD_EXT_PA,                     ,                      ,          ,               ,                            ,COMP1_OUT   ,           ,                 ,    ,         ,
PortB,PB1 ,                ,             ,          ,              ,         ,         ,                ,                     ,LPUART1_RTS/LPUART1_DE,          ,               ,                            ,            ,           ,LPTIM2_IN1       ,    ,         ,
PortB,PB2 ,                ,LPTIM1_OUT   ,          ,              ,I2C3_SMBA,SPI1_NSS ,                ,                     ,                      ,          ,               ,LCD_VLCD                    ,            ,SAI1_EXTCLK,                 ,    ,         ,RTC_OUT2
PortB,PB3 ,JTDO_SWO        ,TIM2_CH2     ,          ,              ,         ,SPI1_SCK ,                ,USART1_RTS/USART1_DE ,                      ,          ,               ,LCD_SEG7                    ,            ,SAI1_SCK_B ,                 ,    ,         ,
PortB,PB4 ,JTRST           ,             ,          ,              ,I2C3_SDA ,SPI1_MISO,                ,USART1_CTS/USART1_NSS,                      ,TSC_G2_IO1,               ,LCD_SEG8                    ,            ,SAI1_MCLK_B,TIM17_BKIN       ,    ,         ,
PortB,PB5 ,                ,LPTIM1_IN1   ,          ,              ,I2C1_SMBA,SPI1_MOSI,                ,USART1_CK            ,LPUART1_TX            ,TSC_G2_IO2,               ,LCD_SEG9                    ,COMP2_OUT   ,SAI1_SD_B  ,TIM16_BKIN       ,    ,         ,
PortB,PB6 ,MCO             ,LPTIM1_ETR   ,          ,              ,I2C1_SCL ,         ,                ,USART1_TX            ,                      ,TSC_G2_IO3,               ,LCD_SEG6                    ,            ,SAI1_FS_B  ,TIM16_CH1N       ,    ,         ,
PortB,PB7 ,                ,LPTIM1_IN2   ,          ,TIM1_BKIN     ,I2C1_SDA ,         ,                ,USART1_RX            ,                      ,TSC_G2_IO4,               ,LCD_SEG21                   ,            ,           ,TIM17_CH1N       ,    ,         ,
PortB,PB8 ,                ,TIM1_CH2N    ,          ,SAI1_CK1      ,I2C1_SCL ,         ,                ,                     ,                      ,          ,QUADSPI_BK1_IO1,LCD_SEG16                   ,            ,SAI1_MCLK_A,TIM16_CH1        ,    ,         ,
PortB,PB9 ,                ,TIM1_CH3N    ,          ,SAI1_D2       ,I2C1_SDA ,SPI2_NSS ,                ,                     ,IR_OUT                ,TSC_G7_IO4,QUADSPI_BK1_IO0,LCD_COM3                    ,            ,SAI1_FS_A  ,TIM17_CH1        ,    ,         ,
PortB,PB10,                ,TIM2_CH3     ,          ,              ,I2C3_SCL ,SPI2_SCK ,                ,                     ,LPUART1_RX            ,TSC_SYNC  ,QUADSPI_CLK    ,LCD_SEG10                   ,COMP1_OUT   ,SAI1_SCK_A ,                 ,    ,         ,
PortB,PB11,                ,TIM2_CH4     ,          ,              ,I2C3_SDA ,         ,                ,                     ,LPUART1_TX            ,          ,QUADSPI_BK1_NCS,LCD_SEG11                   ,COMP2_OUT   ,           ,                 ,    ,         ,
PortB,PB12,                ,             ,          ,TIM1_BKIN     ,I2C3_SMBA,SPI2_NSS ,                ,                     ,LPUART1_RTS/LPUART1_DE,TSC_G1_IO1,               ,LCD_SEG12                   ,            ,SAI1_FS_A  ,                 ,    ,         ,
PortB,PB13,                ,TIM1_CH1N    ,          ,              ,I2C3_SCL ,SPI2_SCK ,                ,                     ,LPUART1_CTS           ,TSC_G1_IO2,               ,LCD_SEG13                   ,            ,SAI1_SCK_A ,                 ,    ,         ,
PortB,PB14,                ,TIM1_CH2N    ,          ,              ,I2C3_SDA ,SPI2_MISO,                ,                     ,                      ,TSC_G1_IO3,               ,LCD_SEG14                   ,            ,SAI1_MCLK_A,                 ,    ,         ,
PortB,PB15,RTC_REFIN       ,TIM1_CH3N    ,          ,              ,         ,SPI2_MOSI,                ,                     ,                      ,TSC_G1_IO4,               ,LCD_SEG15                   ,            ,SAI1_SD_A  ,                 ,    ,         ,
PortC,PC0 ,                ,LPTIM1_IN1   ,          ,              ,I2C3_SCL ,         ,                ,                     ,LPUART1_RX            ,          ,               ,LCD_SEG18                   ,            ,           ,LPTIM2_IN1       ,    ,ADC1_IN1 ,
PortC,PC1 ,                ,LPTIM1_OUT   ,          ,SPI2_MOSI     ,I2C3_SDA ,         ,                ,                     ,LPUART1_TX            ,          ,               ,LCD_SEG19                   ,            ,           ,                 ,    ,ADC1_IN2 ,
PortC,PC2 ,                ,LPTIM1_IN2   ,          ,              ,         ,SPI2_MISO,                ,                     ,                      ,          ,               ,LCD_SEG20                   ,            ,           ,                 ,    ,ADC1_IN3 ,
PortC,PC3 ,                ,LPTIM1_ETR   ,          ,SAI1_D1       ,         ,SPI2_MOSI,                ,                     ,                      ,          ,               ,LCD_VLCD                    ,            ,SAI1_SD_A  ,LPTIM2_ETR       ,    ,ADC1_IN4 ,
PortC,PC4 ,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,          ,               ,LCD_SEG22                   ,            ,           ,                 ,    ,ADC1_IN13,
PortC,PC5 ,                ,             ,          ,SAI1_D3       ,         ,         ,                ,                     ,                      ,          ,               ,LCD_SEG23                   ,            ,           ,                 ,    ,ADC1_IN14,WKUP5
PortC,PC6 ,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G4_IO1,               ,LCD_SEG24                   ,            ,           ,                 ,    ,         ,
PortC,PC7 ,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G4_IO2,               ,LCD_SEG25                   ,            ,           ,                 ,    ,         ,
PortC,PC8 ,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G4_IO3,               ,LCD_SEG26                   ,            ,           ,                 ,    ,         ,
PortC,PC9 ,                ,             ,          ,TIM1_BKIN     ,         ,         ,                ,                     ,                      ,TSC_G4_IO4,USB_NOE        ,LCD_SEG27                   ,            ,SAI1_SCK_B ,                 ,    ,         ,
PortC,PC10,TRACED1         ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G3_IO2,               ,LCD_COM4/LCD_SEG28/LCD_SEG40,            ,           ,                 ,    ,         ,
PortC,PC11,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G3_IO3,               ,LCD_COM5/LCD_SEG29/LCD_SEG41,            ,           ,                 ,    ,         ,
PortC,PC12,TRACED3         ,             ,          ,              ,         ,         ,LSCO            ,                     ,                      ,TSC_G3_IO4,               ,LCD_COM6/LCD_SEG30/LCD_SEG42,            ,           ,                 ,    ,         ,RTC_TAMP3/WKUP3
PortC,PC13,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,          ,               ,                            ,            ,           ,                 ,    ,         ,RTC_OUT1/RTC_TAMP1/RTC_TS/WKUP2
PortC,PC14,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,          ,               ,                            ,            ,           ,                 ,    ,         ,OSC32_IN
PortC,PC15,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,          ,               ,                            ,            ,           ,                 ,    ,         ,OSC32_OUT
PortD,PD0 ,                ,             ,          ,              ,         ,SPI2_NSS ,                ,                     ,                      ,          ,               ,                            ,            ,           ,                 ,    ,         ,
PortD,PD1 ,                ,             ,          ,              ,         ,SPI2_SCK ,                ,                     ,                      ,          ,               ,                            ,            ,           ,                 ,    ,         ,
PortD,PD2 ,TRACED2         ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_SYNC  ,               ,LCD_COM7/LCD_SEG31/LCD_SEG43,            ,           ,                 ,    ,         ,
PortD,PD3 ,                ,             ,          ,SPI2_SCK      ,         ,SPI2_MISO,                ,                     ,                      ,          ,QUADSPI_BK1_NCS,                            ,            ,           ,                 ,    ,         ,
PortD,PD4 ,                ,             ,          ,              ,         ,SPI2_MOSI,                ,                     ,                      ,TSC_G5_IO1,QUADSPI_BK1_IO0,                            ,            ,           ,                 ,    ,         ,
PortD,PD5 ,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G5_IO2,QUADSPI_BK1_IO1,                            ,            ,SAI1_MCLK_B,                 ,    ,         ,
PortD,PD6 ,                ,             ,          ,SAI1_D1       ,         ,         ,                ,                     ,                      ,TSC_G5_IO3,QUADSPI_BK1_IO2,                            ,            ,SAI1_SD_A  ,                 ,    ,         ,
PortD,PD7 ,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G5_IO4,QUADSPI_BK1_IO3,LCD_SEG39                   ,            ,           ,                 ,    ,         ,
PortD,PD8 ,                ,             ,TIM1_BKIN2,              ,         ,         ,                ,                     ,                      ,          ,               ,LCD_SEG28                   ,            ,           ,                 ,    ,         ,
PortD,PD9 ,TRACED0         ,             ,          ,              ,         ,         ,                ,                     ,                      ,          ,               ,LCD_SEG29                   ,            ,           ,                 ,    ,         ,
PortD,PD10,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G6_IO1,               ,LCD_SEG30                   ,            ,           ,                 ,    ,         ,
PortD,PD11,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G6_IO2,               ,LCD_SEG31                   ,            ,           ,LPTIM2_ETR       ,    ,         ,
PortD,PD12,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G6_IO3,               ,LCD_SEG32                   ,            ,           ,LPTIM2_IN1       ,    ,         ,
PortD,PD13,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G6_IO4,               ,LCD_SEG33                   ,            ,           ,LPTIM2_OUT       ,    ,         ,
PortD,PD14,                ,TIM1_CH1     ,          ,              ,         ,         ,                ,                     ,                      ,          ,               ,LCD_SEG34                   ,            ,           ,                 ,    ,         ,
PortD,PD15,                ,TIM1_CH2     ,          ,              ,         ,         ,                ,                     ,                      ,          ,               ,LCD_SEG35                   ,            ,           ,                 ,    ,         ,
PortE,PE0 ,                ,TIM1_ETR     ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G7_IO3,               ,LCD_SEG36                   ,            ,           ,TIM16_CH1        ,    ,         ,
PortE,PE1 ,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,TSC_G7_IO2,               ,LCD_SEG37                   ,            ,           ,TIM17_CH1        ,    ,         ,
PortE,PE2 ,TRACECLK        ,             ,          ,SAI1_CK1      ,         ,         ,                ,                     ,                      ,TSC_G7_IO1,               ,LCD_SEG38                   ,            ,SAI1_MCLK_A,                 ,    ,         ,
PortE,PE3 ,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,          ,               ,                            ,            ,           ,                 ,    ,         ,
PortE,PE4 ,                ,             ,          ,              ,         ,         ,                ,                     ,                      ,          ,               ,                            ,            ,           ,                 ,    ,         ,
