#  STM32WL55  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0               ,AF1          ,AF2     ,AF3                  ,AF4      ,AF5              ,AF6          ,AF7                  ,AF8                   ,AF9 ,AF10,AF11,AF12        ,AF13                   ,AF14             ,AF15,ADC      ,SYS
     ,    ,DEBUG/LSCO/MCO/RTC,LPTIM1/TIM1/2,TIM2    ,I2S2/LPTIM3/SPI2/TIM1,I2C1/2/3 ,I2S1/2/SPI1/2    ,DEBUG        ,USART1/2             ,IR/LPUART1            ,    ,    ,    ,COMP1/2/TIM1,DEBUG                  ,LPTIM2/TIM2/16/17,    ,ADC      ,BOOT0/DAC/OSC32/PWR/RTC
PortA,PA0 ,                  ,TIM2_CH1     ,        ,                     ,I2C3_SMBA,I2S_CKIN         ,             ,USART2_CTS/USART2_NSS,                      ,    ,    ,    ,COMP1_OUT   ,DEBUG_PWR_REGLP1S      ,TIM2_ETR         ,    ,         ,PWR_WKUP1/RTC_TAMP_IN2
PortA,PA1 ,                  ,TIM2_CH2     ,        ,LPTIM3_OUT           ,I2C1_SMBA,SPI1_SCK         ,             ,USART2_RTS/USART2_DE ,LPUART1_RTS           ,    ,    ,    ,            ,DEBUG_PWR_REGLP2S      ,                 ,    ,         ,
PortA,PA2 ,LSCO              ,TIM2_CH3     ,        ,                     ,         ,                 ,             ,USART2_TX            ,LPUART1_TX            ,    ,    ,    ,COMP2_OUT   ,DEBUG_PWR_LDORDY       ,                 ,    ,         ,
PortA,PA3 ,                  ,TIM2_CH4     ,        ,                     ,         ,I2S2_MCK         ,             ,USART2_RX            ,LPUART1_RX            ,    ,    ,    ,            ,                       ,                 ,    ,         ,
PortA,PA4 ,                  ,LPTIM1_OUT   ,        ,                     ,         ,SPI1_NSS         ,             ,USART2_CK            ,                      ,    ,    ,    ,            ,DEBUG_SUBGHZSPI_NSSOUT ,LPTIM2_OUT       ,    ,         ,RTC_OUT2
PortA,PA5 ,                  ,TIM2_CH1     ,TIM2_ETR,SPI2_MISO            ,         ,SPI1_SCK         ,             ,                     ,                      ,    ,    ,    ,            ,DEBUG_SUBGHZSPI_SCKOUT ,LPTIM2_ETR       ,    ,         ,
PortA,PA6 ,                  ,             ,        ,                     ,I2C2_SMBA,SPI1_MISO        ,             ,                     ,LPUART1_CTS           ,    ,    ,    ,TIM1_BKIN   ,DEBUG_SUBGHZSPI_MISOOUT,TIM16_CH1        ,    ,         ,
PortA,PA7 ,                  ,TIM1_CH1N    ,        ,                     ,I2C3_SCL ,SPI1_MOSI        ,             ,                     ,                      ,    ,    ,    ,COMP2_OUT   ,DEBUG_SUBGHZSPI_MOSIOUT,TIM17_CH1        ,    ,         ,
PortA,PA8 ,MCO               ,TIM1_CH1     ,        ,                     ,         ,SPI2_SCK/I2S2_CK ,             ,USART1_CK            ,                      ,    ,    ,    ,            ,                       ,LPTIM2_OUT       ,    ,         ,
PortA,PA9 ,                  ,TIM1_CH2     ,        ,SPI2_NSS/I2S2_WS     ,I2C1_SCL ,SPI2_SCK/I2S2_CK ,             ,USART1_TX            ,                      ,    ,    ,    ,            ,                       ,                 ,    ,         ,
PortA,PA10,RTC_REFIN         ,TIM1_CH3     ,        ,                     ,I2C1_SDA ,SPI2_MOSI/I2S2_SD,             ,USART1_RX            ,                      ,    ,    ,    ,            ,DEBUG_RF_HSE32RDY      ,TIM17_BKIN       ,    ,ADC1_IN6 ,DAC_OUT1
