Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,,SYS,TIM1/TIM2,TIM3,I2C1,SPI1,USART1/USART2,CAN1,USB,,,,,,,,,ADC
PortA,PA0,SYS_WKUP,TIM2_CH1/TIM2_ETR,,,,USART2_CTS,,,,,,,,,,EVENTOUT,ADC12_IN0
PortA,PA1,,TIM2_CH2,,,,USART2_RTS,,,,,,,,,,EVENTOUT,ADC12_IN1
PortA,PA2,,TIM2_CH3,,,,USART2_TX,,,,,,,,,,EVENTOUT,ADC12_IN2
PortA,PA3,,TIM2_CH4,,,,USART2_RX,,,,,,,,,,EVENTOUT,ADC12_IN3
PortA,PA4,,,,,SPI1_NSS,USART2_CK,,,,,,,,,,EVENTOUT,ADC12_IN4
PortA,PA5,,,,,SPI1_SCK,,,,,,,,,,,EVENTOUT,ADC12_IN5
PortA,PA6,,TIM1_BKIN,TIM3_CH1,,SPI1_MISO,,,,,,,,,,,EVENTOUT,ADC12_IN6
PortA,PA7,,TIM1_CH1N,TIM3_CH2,,SPI1_MOSI,,,,,,,,,,,EVENTOUT,ADC12_IN7
PortA,PA8,RCC_MCO,TIM1_CH1,,,,USART1_CK,,,,,,,,,,EVENTOUT,
PortA,PA9,,TIM1_CH2,,,,USART1_TX,,,,,,,,,,EVENTOUT,
PortA,PA10,,TIM1_CH3,,,,USART1_RX,,,,,,,,,,EVENTOUT,
PortA,PA11,,TIM1_CH4,,,,USART1_CTS,CAN1_RX,USB_DM,,,,,,,,EVENTOUT,
PortA,PA12,,TIM1_ETR,,,,USART1_RTS,CAN1_TX,USB_DP,,,,,,,,EVENTOUT,
PortA,PA13,JTMS/SWDIO,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA14,JTCK/SWCLK,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA15,JTDI,TIM2_CH1/TIM2_ETR,,,SPI1_NSS,,,,,,,,,,,EVENTOUT,
PortB,PB0,,TIM1_CH2N,TIM3_CH3,,,,,,,,,,,,,EVENTOUT,ADC12_IN8
PortB,PB1,,TIM1_CH3N,TIM3_CH4,,,,,,,,,,,,,EVENTOUT,ADC12_IN9
PortB,PB2,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB3,JTDO/TRACESWO,TIM2_CH2,,,SPI1_SCK,,,,,,,,,,,EVENTOUT,
PortB,PB4,NJTRST,,TIM3_CH1,,SPI1_MISO,,,,,,,,,,,EVENTOUT,
PortB,PB5,,,TIM3_CH2,I2C1_SMBA,SPI1_MOSI,,,,,,,,,,,EVENTOUT,
PortB,PB6,,,,I2C1_SCL,,USART1_TX,,,,,,,,,,EVENTOUT,
PortB,PB7,,,,I2C1_SDA,,USART1_RX,,,,,,,,,,EVENTOUT,
PortB,PB8,,,,I2C1_SCL,,,CAN1_RX,,,,,,,,,EVENTOUT,
PortB,PB9,,,,I2C1_SDA,,,CAN1_TX,,,,,,,,,EVENTOUT,
PortB,PB10,,TIM2_CH3,,,,,,,,,,,,,,EVENTOUT,
PortB,PB11,,TIM2_CH4,,,,,,,,,,,,,,EVENTOUT,
PortB,PB12,,TIM1_BKIN,,,,,,,,,,,,,,EVENTOUT,
PortB,PB13,,TIM1_CH1N,,,,,,,,,,,,,,EVENTOUT,
PortB,PB14,,TIM1_CH2N,,,,,,,,,,,,,,EVENTOUT,
PortB,PB15,,TIM1_CH3N,,,,,,,,,,,,,,EVENTOUT,
PortC,PC0,,,,,,,,,,,,,,,,EVENTOUT,ADC12_IN10
PortC,PC1,,,,,,,,,,,,,,,,EVENTOUT,ADC12_IN11
PortC,PC2,,,,,,,,,,,,,,,,EVENTOUT,ADC12_IN12
PortC,PC3,,,,,,,,,,,,,,,,EVENTOUT,ADC12_IN13
PortC,PC4,,,,,,,,,,,,,,,,EVENTOUT,ADC12_IN14
PortC,PC5,,,,,,,,,,,,,,,,EVENTOUT,ADC12_IN15
PortC,PC6,,,TIM3_CH1,,,,,,,,,,,,,EVENTOUT,
PortC,PC7,,,TIM3_CH2,,,,,,,,,,,,,EVENTOUT,
PortC,PC8,,,TIM3_CH3,,,,,,,,,,,,,EVENTOUT,
PortC,PC9,,,TIM3_CH4,,,,,,,,,,,,,EVENTOUT,
PortC,PC10,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC11,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC12,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC13,RTC_OUT/RTC_TAMPER,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC14,RCC_OSC32_IN,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC15,RCC_OSC32_OUT,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD0,RCC_OSC_IN,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD1,RCC_OSC_OUT,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD2,,,TIM3_ETR,,,,,,,,,,,,,EVENTOUT,
