Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,,,
,,SYS,TIM1/2,TIM3/4/5,TIM8/9/10/11,I2C1/2/3,SPI1/SPI2/I2S2/I2S2ext,SPI3/I2Sext/I2S3,USART1/2/3/I2S3ext,UART4/5/6/7/USART6,CAN1/CAN2/TIM12/13/14,USB/OTG_FS/OTG_HS,ETH,FSMC/SDIO/OTG_FS,DVP ,,,ADC1,OPA,DAC
PortE,PE2,,,,TIM10_BKIN_2,,,,,,,,,FSMC_A23,,,EVENTOUT,,,
PortE,PE3,,,,TIM10_CH1N_2,,,,,,,,,FSMC_A19,,,EVENTOUT,,,
PortE,PE4,,,,TIM10_CH2N_2,,,,,,,,,FSMC_A20,,,EVENTOUT,,,
PortE,PE5,,,,TIM10_CH3N_2,,,,,,,,,FSMC_A21,,,EVENTOUT,,,
PortE,PE6,,,,,,,,,,,,,FSMC_A22,,,EVENTOUT,,,
PortC,PC13,TAMPER-RTC,,,TIM8_CH4_1,,,,,,,,,,,,EVENTOUT,,,
PortC,PC14,OSC32_IN,,,TIM9_CH4_1,,,,,,,,,,,,EVENTOUT,,,
PortC,PC15,OSC32_OUT,,,TIM10_CH4_1,,,,,,,,,,,,EVENTOUT,,,
PortD,PD0,OSC_IN,,,,,,,,,,,,,,,EVENTOUT,,,
PortD,PD1,OSC_OUT,,,,,,,,,,,,,,,EVENTOUT,,,
PortC,PC0,,,,TIM9_CH1N,,,,,UART6_TX,,,ETH_RGMII_RXC,,,,EVENTOUT,ADC1_IN10,,
PortC,PC1,,,,TIM9_CH2N,,,,,UART6_RX,,,ETH_MII_MDC/ETH_RMII_MDC / ETH_RGMII_RXCTL,,,,EVENTOUT,ADC1_IN11,,
PortC,PC2,,,,TIM9_CH3N,,,,,UART7_TX,,,ETH_MII_TXD2/ETH_RGMII_RXD0,,,,EVENTOUT,ADC1_IN12,OPA3_CH1N,
PortC,PC3,,,,TIM10_CH3,,,,,UART7_RX,,,ETH_MII_TX_CLK/ETH_RGMII_RXD1,,,,EVENTOUT,ADC1_IN13,OPA4_CH1N,
