Pin,Name,Default,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,ADC
1,GND,GND,GND,GND,,,,,,,,,,,,,,,
2,CHIP_EN,CHIP_EN,CHIP_EN,,,,,,,,,,,,,,,,
3,PD_4,PD_4,PD_4,,,,,,,,,,,,,,,,
4,PD_5,PD_5,PD_5,,,,,,,,,,,,,,,,
5,PD_6,PD_6,PD_6,,,,,,,,,,,,,,,,
6,PD_7,PD_7,PD_7,,,,,,,,,,,,,,,,
7,VDD_WIFI,VDD_WIFI,VDD_WIFI,,,,,,,,,,,,,,,,
8,PE_5,PE_5,PE_5,,,,,,,,,,,,,,,,
9,PE_4,PE_4,PE_4,,,,,,,,,,,,,,,,
10,PE_3,PE_3,PE_3,,,,,,,,,,,,,,,,
11,PE_2,PE_2,PE_2,,,,,,,,,,,,,,,,
12,PE_1,PE_1,PE_1,,,,,,,,,,,,,,,,
13,PE_0,PE_0,PE_0,,,,,,,,,,,,,,,,
14,ADC_CH1,ADC_CH1,ADC_CH1,,,,,,,,,,,,,,,,
15,ADC_CH2,ADC_CH2,ADC_CH2,,,,,,,,,,,,,,,,
16,DAC_CH0,DAC_CH0,DAC_CH0,,,,,,,,,,,,,,,,
17,GND,GND,GND,,,,,,,,,,,,,,,,
18,NC,NC,NC,,,,,,,,,,,,,,,,
19,PA_0,PA_0,PA_0,,,,,,,,,,,,,,,,
20,PA_1,PA_1,PA_1,,,,,,,,,,,,,,,,
21,PA_2,PA_2,PA_2,,,,,,,,,,,,,,,,
22,PA_3,PA_3,PA_3,,,,,,,,,,,,,,,,
23,PA_4,PA_4,PA_4,,,,,,,,,,,,,,,,
24,PA_5,PA_5,PA_5,,,,,,,,,,,,,,,,
25,PA_7,PA_7,PA_7,,,,,,,,,,,,,,,,
26,PA_6,PA_6,PA_6,,,,,,,,,,,,,,,,
27,GND_USB,GND_USB,GND_USB,,,,,,,,,,,,,,,,
28,HSDM,HSDM,HSDM,,,,,,,,,,,,,,,,
29,HSDP,HSDP,HSDP,,,,,,,,,,,,,,,,
30,GND,GND,GND,,,,,,,,,,,,,,,,
31,NC,NC,NC,,,,,,,,,,,,,,,,
32,NC,NC,NC,,,,,,,,,,,,,,,,
33,GND,GND,GND,,,,,,,,,,,,,,,,
34,VDD,VDD,VDD,,,,,,,,,,,,,,,,
35,GND,GND,GND,,,,,,,,,,,,,,,,
36,PC_3,PC_3,PC_3,,,,,,,,,,,,,,,,
37,PC_2,PC_2,PC_2,,,,,,,,,,,,,,,,
38,PC_1,PC_1,PC_1,,,,,,,,,,,,,,,,
39,PC_0,PC_0,PC_0,,,,,,,,,,,,,,,,
40,PC_4,PC_4,PC_4,,,,,,,,,,,,,,,,
41,PC_5,PC_5,PC_5,,,,,,,,,,,,,,,,
42,PB_3,PB_3,PB_3,,,,,,,,,,,,,,,,
43,PB_2,PB_2,PB_2,,,,,,,,,,,,,,,,
44,PB_1,PB_1,PB_1,,,,,,,,,,,,,,,,
45,PB_0,PB_0,PB_0,,,,,,,,,,,,,,,,
46,PB_4,PB_4,PB_4,,,,,,,,,,,,,,,,
47,PB_5,PB_5,PB_5,,,,,,,,,,,,,,,,
48,GND,GND,GND,,,,,,,,,,,,,,,,
49,NFCIP,NFCIP,NFCIP,,,,,,,,,,,,,,,,
50,NFCIN,NFCIN,NFCIN,,,,,,,,,,,,,,,,
51,RFOUT,RFOUT,RFOUT,,,,,,,,,,,,,,,,
52,GND,GDN,GND,,,,,,,,,,,,,,,,
53,GND,GDN,GND,,,,,,,,,,,,,,,,
54,GND,GND,GND,,,,,,,,,,,,,,,,
