X1_1,3.3V
X1_2,5V
X1_3,PB15
X1_4,PC8
X1_5,PC9
X1_6,PD2
X1_7,PC10
X1_8,PC11
X1_9,PC12
X1_10,GND
X2_1,3.3V
X2_2,5V
X2_3,PC5
X2_4,PA10
X2_5,PB12
X2_6,PC7
X2_7,NC
X2_8,PB7
X2_9,PB6
X2_10,GND
X3_1,3.3V
X3_2,5V
X3_3,PB8
X3_4,PB10
X3_5,PB11
X3_6,PA0
X3_7,PB5
X3_8,PB4
X3_9 PB3
X3_10,GND
X4_1,3.3V
X4_2,5V
X4_3,PC0
X4_4,PC1
X4_5,PA4
X4_6,PA1
X4_7,NC
X4_8,PB7
X4_9,PB6
X4_10,GND
X5_1,3.3V
X5_2,5V
X5_3,PC14
X5_4,PA2
X5_5,PA3
X5_6,PC15
X5_7,NC
X5_8,PB7
X5_9,PB6
X5_10,GND
X6_1,3.3V
X6_2,5V
X6_3,PC13
X6_4,NC
X6_5,NC
X6_6,PC3
X6_7,PA9
X6_8,PB9
X6_9,PA8
X6_10,GND
SENSOR_L_LED,PB13
SENSOR_L_DETECT,PA5
SENSOR_R_LED,PB14
SENSOR_R_DETECT,PC2
SERVO,PA7
PIEZO,PC6
JTAG_7,PA13
JTAG_8,PA14
LED,PA14
LED_DATA,PB5
LED_CLK,PB3
LED_LATCH,PB2
LED_OE,PA15
MOTOR_L_DIR,PA6
MOTOR_L_PWM,PB0
MOTOR_R_DIR,PC4
MOTOR_R_PWM,PB1
UNUSED1,PA10
