X1,PA0
X2,PA1
X3,PA2
X4,PB11
X5,PB12
X6,PB2
X7,PB10
X8,PB14
X9,PB15
Y2,PB9
Y3,PB8
Y4,PA5
Y5,PC4
Y6,PC5
Y7,PB0
Y8,PE11
Y9,PE14
PA4,PA4
PA6,PA6
PA7,PA7
PA9,PA9
PA10,PA10
PA11,PA11
PA12,PA12
PB3,PB3
PB4,PB4
PB5,PB5
PB6,PB6
PB7,PB7
PB13,PB13
PC0,PC0
PC1,PC1
PC2,PC2
PC3,PC3
PC6,PC6
PC13,PC13
PC14,PC14
PC15,PC15
PD0,PD0
PD1,PD1
PD4,PD4
PD5,PD5
PD7,PD7
PD13,PD13
PD14,PD14
PD15,PD15
PE0,PE0
PE2,PE2
PE3,PE3
PE4,PE4
PE5,PE5
PE6,PE6
PE7,PE7
PE8,PE8
PE9,PE9
PE10,PE10
PE13,PE13
PH0,PH0
PH1,PH1
LED_GREEN,PE12
LED_RED,PE15
LED_TORCH,PC7
LED_BACKLIGHT,PE1
BUZZ,PD12
BTN_A,PA15
BTN_B,PD11
BTN_MENU,PD3
JOY_UP,PD8
JOY_DOWN,PD9
JOY_RIGHT,PD10
JOY_LEFT,PD6
JOY_CENTER,PE0
ADC_UNREG,PA3
ADC_LIGHT,PB1
SD_D0,PC8
SD_D1,PC9
SD_D2,PC10
SD_D3,PC11
SD_CMD,PD2
SD_CK,PC12
SD_SW,PA8
TEAR,PE5
