LQFP,Pin Name,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
,RTC_WAKEIP_B,RTC_WAKEIP_B,RTC_WAKEIP_B,,,,,,,,
,PTB12,DISABLED,,PTB12,UART3_RTS_b,FTM1_CH0,FTM0_CH4,,FTM1_QD_PHA,,
,PTB13,DISABLED,,PTB12,UART3_CTS_b,FTM1_CH1,CTM0_CH5,,FTM1_QD_PHB,,
1,PTE0,ADC1_SE4a,ADC1_SE4a,PTE0,SPI1_PCS1,UART1_TX,SDHC0_D1,TRACE_CLKOUT,I2C1_SDA,RTC_CLKOUT,
2,PTE1/LLWU_P0,ADC1_SE5a,ADC1_SE5a,PTE1/LLWU_P0,SPI1_SOUT,UART1_RX,SDHC0_D0,TRACE_D3,I2C1_SCL,SPI1_SIN,
3,PTE2/LLWU_P1,ADC0_DP2/ADC1_SE6a,ADC0_DP2/ADC1_SE6a,PTE2/LLWU_P1,SPI1_SCK,UART1_CTS_b,SDHC0_DCLK,TRACE_D2,,,
4,PTE3,ADC0_DM2/ADC1_SE7a,ADC0_DM2/ADC1_SE7a,PTE3,SPI1_SIN,UART1_RTS_b,SDHC0_CMD,TRACE_D1,SPI1_SOUT,,
5,VDD,VDD,VDD,,,,,,,,
6,VSS,VSS,VSS,,,,,,,,
7,PTE4/LLWU_P2,DISABLED,,PTE4/LLWU_P2,SPI1_PCS0,UART3_TX,SDHC0_D3,TRACE_D0,,,
8,PTE5,DISABLED,,PTE5,SPI1_PCS2,UART3_RX,SDHC0_D2,,FTM3_CH0,,
9,PTE6,DISABLED,,PTE6,SPI1_PCS3,UART3_CTS_b,I2S0_MCLK,,FTM3_CH1,USB_SOF_OUT,
10,PTE7,DISABLED,,PTE7,,UART3_RTS_b,I2S0_RXD0,,FTM3_CH2,,
11,PTE8,DISABLED,,PTE8,I2S0_RXD1,UART5_TX,I2S0_RX_FS,,FTM3_CH3,,
12,PTE9,DISABLED,,PTE9,I2S0_TXD1,UART5_RX,I2S0_RX_BCLK,,FTM3_CH4,,
13,PTE10,DISABLED,,PTE10,,UART5_CTS_b,I2S0_TXD0,,FTM3_CH5,,
14,PTE11,DISABLED,,PTE11,,UART5_RTS_b,I2S0_TX_FS,,FTM3_CH6,,
15,PTE12,DISABLED,,PTE12,,,I2S0_TX_BCLK,,FTM3_CH7,,
16,VDD,VDD,VDD,,,,,,,,
17,VSS,VSS,VSS,,,,,,,,
18,VSS,VSS,VSS,,,,,,,,
19,USB0_DP,USB0_DP,USB0_DP,,,,,,,,
20,USB0_DM,USB0_DM,USB0_DM,,,,,,,,
21,VOUT33,VOUT33,VOUT33,,,,,,,,
22,VREGIN,VREGIN,VREGIN,,,,,,,,
23,ADC0_DP1,ADC0_DP1,ADC0_DP1,,,,,,,,
24,ADC0_DM1,ADC0_DM1,ADC0_DM1,,,,,,,,
25,ADC1_DP1,ADC1_DP1,ADC1_DP1,,,,,,,,
26,ADC1_DM1,ADC1_DM1,ADC1_DM1,,,,,,,,
27,ADC0_DP0/ADC1_DP3,ADC0_DP0/ADC1_DP3,ADC0_DP0/ADC1_DP3,,,,,,,,
28,ADC0_DM0/ADC1_DM3,ADC0_DM0/ADC1_DM3,ADC0_DM0/ADC1_DM3,,,,,,,,
29,ADC1_DP0/ADC0_DP3,ADC1_DP0/ADC0_DP3,ADC1_DP0/ADC0_DP3,,,,,,,,
30,ADC1_DM0/ADC0_DM3,ADC1_DM0/ADC0_DM3,ADC1_DM0/ADC0_DM3,,,,,,,,
31,VDDA,VDDA,VDDA,,,,,,,,
32,VREFH,VREFH,VREFH,,,,,,,,
33,VREFL,VREFL,VREFL,,,,,,,,
34,VSSA,VSSA,VSSA,,,,,,,,
35,ADC1_SE16/CMP2_IN2/ADC0_SE22,ADC1_SE16/CMP2_IN2/ADC0_SE22,ADC1_SE16/CMP2_IN2/ADC0_SE22,,,,,,,,
36,ADC0_SE16/CMP1_IN2/ADC0_SE21,ADC0_SE16/CMP1_IN2/ADC0_SE21,ADC0_SE16/CMP1_IN2/ADC0_SE21,,,,,,,,
37,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,,,,,,,,
38,DAC0_OUT/CMP1_IN3/ADC0_SE23,DAC0_OUT/CMP1_IN3/ADC0_SE23,DAC0_OUT/CMP1_IN3/ADC0_SE23,,,,,,,,
39,DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23,DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23,DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23,,,,,,,,
40,XTAL32,XTAL32,XTAL32,,,,,,,,
41,EXTAL32,EXTAL32,EXTAL32,,,,,,,,
42,VBAT,VBAT,VBAT,,,,,,,,
43,VDD,VDD,VDD,,,,,,,,
44,VSS,VSS,VSS,,,,,,,,
45,PTE24,ADC0_SE17,ADC0_SE17,PTE24,,UART4_TX,,I2C0_SCL,EWM_OUT_b,,
46,PTE25,ADC0_SE18,ADC0_SE18,PTE25,,UART4_RX,,I2C0_SDA,EWM_IN,,
47,PTE26,DISABLED,,PTE26,ENET_1588_CLKIN,UART4_CTS_b,,,RTC_CLKOUT,USB_CLKIN,
48,PTE27,DISABLED,,PTE27,,UART4_RTS_b,,,,,
49,PTE28,DISABLED,,PTE28,,,,,,,
50,PTA0,JTAG_TCLK/SWD_CLK/EZP_CLK,,PTA0,UART0_CTS_b/UART0_COL_b,FTM0_CH5,,,,JTAG_TCLK/SWD_CLK,EZP_CLK
51,PTA1,JTAG_TDI/EZP_DI,,PTA1,UART0_RX,FTM0_CH6,,,,JTAG_TDI,EZP_DI
52,PTA2,JTAG_TDO/TRACE_SWO/EZP_DO,,PTA2,UART0_TX,FTM0_CH7,,,,JTAG_TDO/TRACE_SWO,EZP_DO
53,PTA3,JTAG_TMS/SWD_DIO,,PTA3,UART0_RTS_b,FTM0_CH0,,,,JTAG_TMS/SWD_DIO,
54,PTA4/LLWU_P3,NMI_b/EZP_CS_b,,PTA4/LLWU_P3,,FTM0_CH1,,,,NMI_b,EZP_CS_b
55,PTA5,DISABLED,,PTA5,USB_CLKIN,FTM0_CH2,RMII0_RXER/MII0_RXER,CMP2_OUT,I2S0_TX_BCLK,JTAG_TRST_b,
56,VDD,VDD,VDD,,,,,,,,
57,VSS,VSS,VSS,,,,,,,,
58,PTA6,DISABLED,,PTA6,,FTM0_CH3,,CLKOUT,,TRACE_CLKOUT,
59,PTA7,ADC0_SE10,ADC0_SE10,PTA7,,FTM0_CH4,,,,TRACE_D3,
60,PTA8,ADC0_SE11,ADC0_SE11,PTA8,,FTM1_CH0,,,FTM1_QD_PHA,TRACE_D2,
61,PTA9,DISABLED,,PTA9,,FTM1_CH1,MII0_RXD3,,FTM1_QD_PHB,TRACE_D1,
62,PTA10,DISABLED,,PTA10,,FTM2_CH0,MII0_RXD2,,FTM2_QD_PHA,TRACE_D0,
63,PTA11,DISABLED,,PTA11,,FTM2_CH1,MII0_RXCLK,I2C2_SDA,FTM2_QD_PHB,,
64,PTA12,CMP2_IN0,CMP2_IN0,PTA12,CAN0_TX,FTM1_CH0,RMII0_RXD1/MII0_RXD1,I2C2_SCL,I2S0_TXD0,FTM1_QD_PHA,
65,PTA13/LLWU_P4,CMP2_IN1,CMP2_IN1,PTA13/LLWU_P4,CAN0_RX,FTM1_CH1,RMII0_RXD0/MII0_RXD0,I2C2_SDA,I2S0_TX_FS,FTM1_QD_PHB,
66,PTA14,DISABLED,,PTA14,SPI0_PCS0,UART0_TX,RMII0_CRS_DV/MII0_RXDV,I2C2_SCL,I2S0_RX_BCLK,I2S0_TXD1,
67,PTA15,DISABLED,,PTA15,SPI0_SCK,UART0_RX,RMII0_TXEN/MII0_TXEN,,I2S0_RXD0,,
68,PTA16,DISABLED,,PTA16,SPI0_SOUT,UART0_CTS_b/UART0_COL_b,RMII0_TXD0/MII0_TXD0,,I2S0_RX_FS,I2S0_RXD1,
69,PTA17,ADC1_SE17,ADC1_SE17,PTA17,SPI0_SIN,UART0_RTS_b,RMII0_TXD1/MII0_TXD1,,I2S0_MCLK,,
70,VDD,VDD,VDD,,,,,,,,
71,VSS,VSS,VSS,,,,,,,,
72,PTA18,EXTAL0,EXTAL0,PTA18,,FTM0_FLT2,FTM_CLKIN0,,,,
73,PTA19,XTAL0,XTAL0,PTA19,,FTM1_FLT0,FTM_CLKIN1,,LPTMR0_ALT1,,
74,RESET_b,RESET_b,RESET_b,,,,,,,,
75,PTA24,DISABLED,,PTA24,,,MII0_TXD2,,FB_A29,,
76,PTA25,DISABLED,,PTA25,,,MII0_TXCLK,,FB_A28,,
77,PTA26,DISABLED,,PTA26,,,MII0_TXD3,,FB_A27,,
78,PTA27,DISABLED,,PTA27,,,MII0_CRS,,FB_A26,,
79,PTA28,DISABLED,,PTA28,,,MII0_TXER,,FB_A25,,
80,PTA29,DISABLED,,PTA29,,,MII0_COL,,FB_A24,,
81,PTB0/LLWU_P5,ADC0_SE8/ADC1_SE8,ADC0_SE8/ADC1_SE8,PTB0/LLWU_P5,I2C0_SCL,FTM1_CH0,RMII0_MDIO/MII0_MDIO,,FTM1_QD_PHA,,
82,PTB1,ADC0_SE9/ADC1_SE9,ADC0_SE9/ADC1_SE9,PTB1,I2C0_SDA,FTM1_CH1,RMII0_MDC/MII0_MDC,,FTM1_QD_PHB,,
